# https://www.listal.com/list/25-greatest-batman-graphic-novels, 2005
Ranking,Title
1,Batman: Year One
2,Batman: The Dark Knight Returns
3,Batman: The Killing Joke
4,Batman: Arkham Asylum
5,Batman: The Long Halloween
6,Batman: The Cult
7,Batman: Son of the Demon
8,Batman: Dark Victory
9,Batman & Dracula: Red Rain
10,Batman: Hush
11,Batman: Blind Justice
12,Batman Adventures: Mad Love
13,Gotham by Gaslight
14,Batman Black and White
15,Batman: A Death in the Family
16,Batman: Gothic
17,Batman: Strange Apparitions
18,Batman: A Lonely Place of Dying
19,Batman: Tales of the Demon
20,JLA: Tower of Babel
21,Batman: Thrillkiller
22,Batman: The Man Who Laughs
23,The Batman in Nine Lives
24,"Batman: Knightfall, Part One: Broken Bat"
25,Batman: Venom
