# https://www.outerplaces.com/science-fiction/item/9624-the-15-best-batman-stories-of-all-time,2015
Ranking,Title
15,Batman: The Man Who Laughs
14,Batman: Earth One Vol. 1
13,Batman: Death of the Family
12,Batman: Earth One Vol. 2
11,"Batman: Detective Comics, Volume 5: Gothtopia"
10,Batman: Endgame
9,Batman: The Black Mirror
8,Batman: Under the [Red] Hood
7,Batman: Hush
6,Batman: Zero Year
5,Batman: Year One
4,Batman Volume 1: The Court of Owls
3,Batman: The Dark Knight Returns
2,Batman: The Killing Joke
1,Batman: The Long Halloween
