# https://deffinition.co.uk/ranking-batman-graphic-novels-best-worst/, 2017
#           ranks 117, only included top 25
Ranking,Title
1,Batman: The Cult
2,Batman: The Dark Knight Returns
3,Batman: The Long Halloween
4,Batman: The Killing Joke
5,Batman: Arkham Asylum
6,Batman and the Monster Men
7,Gotham by Gaslight
8,Batman: The Last Arkham
9,The Flash: Flashpoint
10,Injustice: Gods Among Us: Year One: Volume 2
11,Injustice: Gods Among Us: Year One: Volume 1
13,Justice League Origin
14,All Star Batman Vol. 2: Ends Of The Earth
15,Batman: The Last Arkham
16,Batman: Dark Victory
17,Batman: The Man Who Laughs
18,JLA: Rock Of Ages
19,Dark Nights: Metal
20,All Star Batman Vol. 3: The First Ally
21,Injustice: Gods Among Us: Year Three: Volume 1
12,Batman: No Man's Land
22,Batman: No Man's Land
23,Justice League VS Suicide Squad
24,Batman: Vengeance Of Bane
# ,Trinity
# ,Batman Bride Of The Demon
# ,Batman: Year One
# ,Batman: Venom
# ,Justice League: Darkseid War Part 1
# ,All Star Batman: My Own Worst Enemy
# ,Injustice: Gods Among Us: Year Two: Volume 1
# ,Batman: I Am Bane
# ,Batman: Bruce Wayne: Fugitive
# ,Earth 2: The Kryptonian 
# ,Batman I Am Suicide
# ,Batman Birth Of The Demon
# ,JLA New World Order Review (Vol 1)
# ,Justice League: Injustice League
# ,Justice League: Power Of The Gods
# ,Batman Legacy Volume 2 Review
# ,Batman Legacy Volume 1 Review
# ,Batman Cataclysm
# ,DC Rebirth 
# ,Batman A Death In The Family
# ,Batman: Night Cries
# ,Batman: Gothic
# ,Batman Rooftops
# ,Batman: White Knight Review
# ,Batman Snow
# ,Earth 2: World’s End
# ,Batman Knightfall
# ,Earth 2 The Dark Age
# ,Batman And The Mad Monk
# ,Justice League Throne Of Atlantis
# ,Justice League The Villain’s Journey
# ,Batman/The Flash: The Button
# ,Batman/Catwoman: The Wedding Album
# ,Batman: I Am Gotham
# ,Batman: Fears
# ,Batman: Prey
# ,Robin Year One
# ,Batman: Son Of The Demon
# ,Batman Blind Justice
# ,Batman Ego
# ,Batman: Shaman
# ,Crisis On Infinite Earths
# ,Batman: No Man’s Land Volume 3
# ,Earth 2 Battle Cry
# ,Dark Days: The Road To Metal Review
# ,Batman: Contagion
# ,Batman: The War Of Jokes And Riddles
# ,Convergence Review
# ,Year One: Batman/Ra’s Al Ghul Review
# ,Batman: Rules Of Engagement
# ,Batman: Harley Quinn
# ,Batman: Road To No Man’s Land Volume 2
# ,Batman: Road To No Man’s Land Volume 1
# ,Batman: Terror
# ,Batman A Lonely Place Of Dying
# ,JLA Secret Files #1
# ,Batman Sword Of Azrael
# ,Batman The Black Spider
# ,Batman: Bruce Wayne: Murderer Review
# ,Batman: Faces
# ,Batgirl: Year One
# ,Batman Prodigal
# ,The Death Of Superman
# ,Batman: Bride Or Burglar
# ,Justice League: Forever Heroes
# ,Batman: Night Of The Monster Men
# ,Justice League: The Grid
# ,JLA Imaginary Stories
# ,Catwoman: When In Rome
# ,Batman: Madness
# ,Batman: Ghosts
# ,JLA Secret Files #2
# ,Batman Knightsquest
# ,JLA Woman Of Tomorrow
# ,Batman/The Shadow: The Murder Geniuses
# ,Batman Rebirth #1
# ,Batman Doug Moench and Kelley Jones Volume 1
# ,Batman: Strange Apparitions
# ,Batman No Man’s Land Volume 2 Review (New Edition)
# ,Batman Second Chances
# ,Justice League: The Extinction Machine Review
# ,Earth 2 The Gathering
# ,Injustice: Gods Among Us: Year Four: Volume 1 Review
# ,JLA Fire In The Sky
# ,Earth 2: Collision Review
# ,Injustice: Gods Among Us: Year Three: Volume 2 Review
# ,The Dark Knight Strikes Again
# ,Batman The Ugly American
25,Batman: KnightsEnd
