# https://list25.com/25-top-batman-comics-enthusiast/, 2014
Ranking,Title
25,Batman: Hush
24,Batman and the Monster Men
23,Batman: Legends of the Dark Knight: Shaman
22,Batman: Birth of the Demon
21,Batman: The Black Mirror
20,Batman: The Last Arkham
19,Batman: Ego
18,Batman: The Eye of the Beholder
17,Batman Volume 1: The Court of Owls
17,Batman: Night of the Owls
16,Batman: Prey
15,Batman: Year 100
14,Gotham by Gaslight
13,Batman and Robin: Batman Reborn
12,Batman: Whatever Happened to the Caped Crusader?
11,Batman Black and White
10,Batman: The Man Who Laughs
9,Batman: Strange Apparitions
8,Batman: A Death in the Family
7,Batman: Dark Victory
6,Batman: The Cult
5,Batman: The Long Halloween
4,Batman: Arkham Asylum
3,Batman: The Killing Joke
2,Batman: Year One
1,Batman: The Dark Knight Returns
