# http://shareranks.com/410,Top-20-Batman-Graphic-Novels,2009
Ranking,Title
1,Batman: The Killing Joke
2,Batman: The Dark Knight Returns
3,Batman: Year One
4,Batman: The Long Halloween
5,Batman: Hush
6,Batman: Dark Victory
7,Batman: Arkham Asylum
8,Batman: The Man Who Laughs
9,JLA: Tower of Babel
10,Batman: A Death in the Family
11,Batman: Blind Justice
12,Batman: Son of the Demon
13,Batman: The Cult
14,Batman: Gothic
15,Batman Adventures: Mad Love
16,"Batman: Knightfall, Part One: Broken Bat"
17,Batman: Haunted Knight
18,Batman: Venom
19,Batman: A Lonely Place of Dying
20,Batman: R.I.P.
21,Batman: No Man's Land
22,"All Star Batman and Robin, the Boy Wonder"
23,Batman: War Games
24,Gotham by Gaslight
25,Batman: Prey
26,Batman & Dracula: Red Rain
27,Batman Black and White
