Title,Script,Cover,Pencils,Inks,Colors,Letters
Batman: A Death in the Family,Jim Starlin,Jim Aparo,Jim Aparo/Mike Mignola/Mike DeCarlo,Jim Aparo/Mike Mignola,Adrienne Roy/Anthony Tollin,John Costanza
Batman: Year One,Frank Miller,David Mazzucchelli,David Mazzucchelli,David Mazzucchelli,Richmond Lewis,Todd Klein
Batman: Arkham Asylum,Grant Morrison,Dave McKean,Dave McKean,Dave McKean,Dave McKean,Gaspar Saladino
Batman: The Dark Knight Returns,Frank Miller,Klaus Janson,Frank Miller,Klaus Janson,Lynn Varley,John Costanza
Batman: The Killing Joke,Alan Moore,Brian Bolland,Brian Bolland,Brian Bolland,John Higgins,Richard Starkings
Batman: Hush,Jeph Loeb,Jim Lee,Jim Lee,Scott Williams,Alex Sinclair,Richard Starkings
Batman: Son of the Demon,Mike W. Barr,Jerry Bingham,Jerry Bingham,Jerry Bingham,Jerry Bingham,John Costanza
Batman: Birth of the Demon,Dennis O'Neil,Norm Breyfogle,Norm Breyfogle,Norm Breyfogle,Norm Breyfogle,Ken Bruzenak
Batman and Son,Grant Morrison,Andy Kubert,Andy Kubert/John Van Fleet,Andy Kubert/Jesse Delperdang/John Van Fleet/Joe Kubert,Dave Stewart/Guy Major/John Van Fleet/Moose Baumann,Nick J. Napolitano/Todd Klein/Jared K. Fletcher
Batman: The Long Halloween,Jeph Loeb,Tim Sale,Tim Sale,Tim Sale,Gregory Wright,Richard Starkings
Batman: Tales of the Demon,Denny O'Neil,Brian Stelfreeze,Bob Brown/Neal Adams/Irv Novick/Don Newton/Michael Golden,Dick Giordano/Dan Adkins,Cory Adams/Adrienne Roy,Ben Oda/John Costanza/Ray Holloway/Milt Snapinn
Batman Volume 1: The Court of Owls,Scott Snyder,Greg Capullo,Greg Capullo,Greg Capullo/Jonathan Glapion,FCO Plascencia,Richard Starkings/Jimmy Betancourt/Comicraft
Batman Black and White,Ted McKeever/Bruce Timm/Joe Kubert/Howard Chaykin/Archie Goodwin,Jim Lee/Scott Williams,Mike Allred/Ted McKeever/Bruce Timm/Joe Kubert/Howard Chaykin/José Muñoz/Moebius,Ted McKeever/Bruce Timm/Joe Kubert/Howard Chaykin/José Muñoz/Moebius,na,John Workman/Todd Klein/Joe Kubert/Ken Bruzenak/Phil Felix
"Batman: Knightfall, Part One: Broken Bat",Chuck Dixon/Jo Duffy/Alan Grant/Dennis O'Neil/Doug Moench,Kelley Jones/Bob LeRose/Sam Kieth,various,various,various,various
Batman: The Black Mirror,Scott Snyder,Jock/Francesco Francavilla,Jock/Francesco Francavilla,Jock/Francesco Francavilla,David Baron/Francesco Francavilla,Todd Klein/Jared K. Fletcher/Sal Cipriano
Batman: Dark Victory,Jeph Loeb,Tim Sale,Tim Sale,Tim Sale,Gregory Wright/Mark Chiarello,Richard Starkings
Robin: Year One,Chuck Dixon/Scott Beatty,Javier Pulido/Robert Campanella/Lee Loughridge,Javier Pulido/Marcos Martin,Robert Campanella,Lee Loughridge,Sean Konot
Batman and the Monster Men,Matt Wagner,Matt Wagner,Matt Wagner,Matt Wagner,Matt Wagner/Dave Stewart,Rob Leigh
Batman: Whatever Happened to the Caped Crusader?,Neil Gaiman,Andy Kubert/Alex Sinclair,Andy Kubert/Simon Bisley/Mark Buckingham/Mike Hoffman/Bernie Mireault,Andy Kubert/Scott Williams/Scott Williams/Simon Bisley/Mark Buckingham/Kevin Nowlan/Matt Wagner,Alex Sinclair/Nansi Hoolahan/Tom McCraw/Joe Matt,Robbin Brosterman/Jared K. Fletcher/John Costanza/Agustin Mas/Todd Klein/Bernie Mireault
Batman: Thrillkiller,Howard Chaykin,Dan Brereton,Dan Brereton,Dan Brereton,Dan Brereton,Bill Oakley
Batman: Night of the Owls,Jimmy Palmiotti/Justin Gray/Judd Winick/Gail Simone/Scott Snyder/James Tynion IV/Peter J. Tomasi/Kyle Higgins/Scott Lobdell/Tony S. Daniel/Duane Swierczynski/Kyle Higgins,Greg Capullo,Greg Capullo/José Ladrönn/Moritat/Marcus To/Ardian Syaf/Jason Fabok/Rafael Albuquerque/Lee Garbett/Eddy Barrows/Kenneth Rocafort/Dale Keown/Tony S. Daniel/Jesús Saiz/Travel Foreman/Andres Guinaldo/David Finch/Jason Fabok/Guillem March,Greg Capullo/José Ladrönn/Moritat/Marcus To/Vicente Cifuentes/Jason Fabok/Eddy Barrows/Ryan Winn/Jason Fabok/Jonathan Glapion/Rafael Albuquerque/Patrick Gleason/Ray McCarthy/Keith Champagne/Eddy Barrows/Eber Ferreira/Ruy José/Kenneth Rocafort/Dale Keown/Sandu Florea/Jesús Saiz/Jeff Huet/Eber Ferreira/Ruy José/Mark Irwin/Richard Friend/Jason Fabok/Guillem March,Greg Capullo/José Ladrönn/Gabriel Bautista/FCO Plascencia/Brian Reber/Ulises Arreola/Peter Steigerwald/Nathan Fairbairn/Mick Gray/John Kalisz/Rod Reis/Kevin Senft/Francisco Plascencia/Tomeu Morey/June Chung/Gabe Eltaeb/Peter Pantazis/Jeromy Cox/Sonia Oback/Peter Steigerwald/Dave McCaig,Rob Leigh/Dezi Sienty/Dave Sharpe/Richard Starkings/Pat Brosseau/John Kalisz/Dezi Sienty/Jimmy Betancourt/Jared K. Fletcher/Dave Sharpe/Carlos M. Mangual/Steve Wands/Sal Cipriano
Batman By Azzarello And Risso,Brian Azzarello,various,Eduardo Risso,Eduardo Risso,Patricia Mulvihill,Clem Robins
Batman and Robin: Batman Reborn,Grant Morrison,Frank Quitely,Frank Quitely,Frank Quitely,Alex Sinclair,Pat Brosseau
Batman and Robin: Requiem for Damian,Peter J. Tomasi,Mick Gray/Patrick Gleason,Patrick Gleason/Cliff Richards,Mick Gray/Mark Irwin/Marlo Alquiza,John Kalisz,Taylor Esposito/Carlos M. Mangual
The Greatest Batman Stories Ever Told,various,various,various,various,various,various
Batman: Under the [Red] Hood,Judd Winick,Matt Wagner/Jock,Doug Mahnke/Paul Lee/Shane Davis/Eric Battle/Eric Battle,Tom Nguyen/Cam Smith/Rodney Ramos/Wayne Faucher/Lary Stucker,Alex Sinclair/Jason Wright,Pat Brosseau/Rob Leigh/Ken Lopez/Phil Balsman/Nick J. Napolitano/Jared K. Fletcher
Gotham by Gaslight,Brian Augustyn,Mike Mignola,Mike Mignola,P. Craig Russell,David Hornung,John Workman
