Cover,Borda,Dowdall,Power (alpha=0.5),N,Average (power)
Klaus Janson,2825,13.671999999999999,18.999000000000002,2,9.499500000000001
David Mazzucchelli,2547,12.684,17.622,1,17.622
Tim Sale,3119,8.982,16.688,2,8.344
Brian Bolland,2180,8.436,13.478,1,13.478
Dave McKean,1970,5.143,10.214,1,10.214
Jim Lee,1547,2.537,6.61,1,6.61
Jim Aparo,1310,2.395,5.804,1,5.804
Greg Capullo,1258,2.655,5.593,2,2.7965
Kelley Jones/Bob LeRose/Sam Kieth,1172,1.614,4.616,1,4.616
Jock/Francesco Francavilla,1089,1.614,4.396,1,4.396
Doug Mahnke/David Baron,1069,1.254,3.933,1,3.933
Bernie Wrightson/Todd Klein,758,1.9,3.604,1,3.604
Jim Lee/Scott Williams,735,0.78,2.608,1,2.608
Brian Stelfreeze,651,1.0110000000000001,2.5700000000000003,2,1.2850000000000001
Mike Mignola,720,0.72,2.495,1,2.495
Kelley Jones,583,0.623,2.098,2,1.049
Andy Kubert/Alex Sinclair,510,0.658,1.959,1,1.959
Paul Pope/José Villarrubia,558,0.538,1.906,1,1.906
Norm Breyfogle,490,0.579,1.809,1,1.809
Jim Aparo/Tatjana Wood,544,0.473,1.783,1,1.783
Howard Porter,465,0.453,1.606,1,1.606
Gary Frank,461,0.395,1.511,2,0.7555
Matt Wagner/Jock,326,0.52,1.378,1,1.378
Frank Quitely,379,0.352,1.294,1,1.294
George Pérez/Anthony Tollin,386,0.303,1.218,1,1.218
Matt Wagner,369,0.331,1.217,1,1.217
Dick Giordano/Edward Hannigan,94,1,1,1,1
Michael Lark,257,0.334,0.996,1,0.996
Bruce Timm,313,0.251,0.996,1,0.996
Denys Cowan/Malcolm Jones III,251,0.265,0.892,1,0.892
Paul Gulacy/Terry Austin,296,0.202,0.892,1,0.892
Jerry Bingham,228,0.253,0.829,1,0.829
Tim Sale/Gregory Wright,243,0.221,0.811,1,0.811
José Luis García-López,271,0.164,0.8,1,0.8
Dave McCaig/Guy Major/Alex Ross,240,0.21,0.79,1,0.79
Greg Capullo/Danny Miki/FCO Plascencia,174,0.267,0.724,2,0.362
Simone Bianchi,93,0.5,0.707,1,0.707
Lee Bermejo,171,0.21100000000000002,0.649,2,0.3245
Jason Fabok,168,0.182,0.604,2,0.302
Dan Brereton,197,0.113,0.575,1,0.575
Michael Lark/Christopher Moeller,192,0.105,0.5579999999999999,2,0.27899999999999997
José García-López/Dick Giordano,135,0.187,0.551,1,0.551
Andy Kubert,158,0.145,0.529,1,0.529
Tony S. Daniel,154,0.111,0.471,1,0.471
Darwyn Cooke,152,0.105,0.459,1,0.459
Mick Gray/Patrick Gleason,87,0.125,0.354,1,0.354
Rod Reis/Nei Ruffino/Alex Sinclair,86,0.111,0.333,1,0.333
Javier Pulido/Robert Campanella/Lee Loughridge,85,0.1,0.316,1,0.316
Matthew Hollingsworth/Michael Lark/Stefano Gaudiano,85,0.1,0.316,1,0.316
Dustin Nguyen,84,0.091,0.302,1,0.302
J.H. Williams III/Dave Stewart,84,0.091,0.302,1,0.302
Jim Lee/Scott Williams/Alex Sinclair,82,0.077,0.277,1,0.277
Jock,81,0.071,0.267,1,0.267
Mikel Janín,81,0.071,0.267,1,0.267
Howard Porter/John Dell,77,0.056,0.236,1,0.236
Greg Capullo/Jonathan Glapion/FCO Plascencia,76,0.053,0.229,1,0.229
Rafael Albuquerque,75,0.05,0.224,1,0.224
Neil Googe,74,0.048,0.218,1,0.218
Ed Hannigan/George Pratt/Dean Motter,72,0.043,0.209,1,0.209
Glenn Fabry,71,0.042,0.204,1,0.204
Dave Johnson,71,0.042,0.204,1,0.204
Frank Miller/Lynn Varley,70,0.04,0.2,1,0.2
Denys Cowan/John Floyd,69,0.038,0.196,1,0.196
Scott Hampton/José Villarrubia,59,0.028,0.167,1,0.167
Seth Fisher/Dave Stewart,58,0.027,0.164,1,0.164
Brian Ashmore,56,0.026,0.16,1,0.16
Kelley Jones/Bob LeRose,45,0.02,0.141,1,0.141
