Name,CreatorType,Score,Number
Richard Starkings,Letters,36.78,4
Frank Miller,Script,35.74,3
John Costanza,Letters,31.56,8
Jeph Loeb,Script,24.11,4
Todd Klein,Letters,23.44,8
Klaus Janson,Cover,19.00,2
Klaus Janson,Inks,19.00,2
Frank Miller,Pencils,17.85,2
Lynn Varley,Colors,17.85,2
Richmond Lewis,Colors,17.83,2
David Mazzucchelli,Pencils,17.62,1
David Mazzucchelli,Cover,17.62,1
David Mazzucchelli,Inks,17.62,1
Tim Sale,Pencils,17.50,3
Tim Sale,Inks,17.50,3
Tim Sale,Cover,16.69,2
Grant Morrison,Script,14.41,6
Gregory Wright,Colors,14.36,2
Alan Moore,Script,13.48,1
Brian Bolland,Pencils,13.48,1
Brian Bolland,Cover,13.48,1
Brian Bolland,Inks,13.48,1
John Higgins,Colors,13.48,1
Scott Snyder,Script,10.54,6
Dave McKean,Pencils,10.21,1
Dave McKean,Cover,10.21,1
Dave McKean,Inks,10.21,1
Dave McKean,Colors,10.21,1
Gaspar Saladino,Letters,10.21,1
Jim Starlin,Script,9.41,2
Alex Sinclair,Colors,8.38,3
Jim Lee,Pencils,7.36,3
Scott Williams,Inks,7.08,2
Rob Leigh,Letters,6.87,5
Jim Lee,Cover,6.61,1
Jim Aparo/Mike Mignola/Mike DeCarlo,Pencils,5.80,1
Jim Aparo,Cover,5.80,1
Jim Aparo/Mike Mignola,Inks,5.80,1
Adrienne Roy/Anthony Tollin,Colors,5.80,1
Greg Capullo,Pencils,5.65,3
FCO Plascencia,Colors,5.65,3
Greg Capullo,Cover,5.59,2
Greg Capullo/Jonathan Glapion,Inks,5.11,1
Richard Starkings/Jimmy Betancourt/Comicraft,Letters,5.11,1
Kelley Jones/Bob LeRose/Sam Kieth,Cover,4.62,1
Jock/Francesco Francavilla,Pencils,4.40,1
Jock/Francesco Francavilla,Cover,4.40,1
Jock/Francesco Francavilla,Inks,4.40,1
David Baron/Francesco Francavilla,Colors,4.40,1
Todd Klein/Jared K. Fletcher/Sal Cipriano,Letters,4.40,1
Ed Brubaker,Script,3.93,1
Tim Sale/Doug Mahnke/Patrick Zircher,Pencils,3.93,1
David Baron,Colors,3.93,1
Bernie Wrightson,Inks,3.60,1
Dennis O'Neil,Script,2.82,3
Doug Moench,Script,2.82,2
Brian Augustyn,Script,2.50,1
John Workman,Letters,2.50,1
Jared K. Fletcher/John Workman,Letters,1.91,1
Ken Lopez,Letters,1.84,2
