Name,CreatorTypes,Score,Number
Frank Miller,"Script,Pencils",53.59,5
David Mazzucchelli,"Pencils,Cover,Inks",52.87,3
Tim Sale,"Pencils,Inks,Cover",51.69,8
Dave McKean,"Pencils,Cover,Inks,Colors",40.86,4
Brian Bolland,"Pencils,Cover,Inks",40.43,3
Klaus Janson,"Cover,Inks",38.00,4
Richard Starkings,Letters,36.78,4
John Costanza,Letters,31.56,8
Jeph Loeb,Script,24.11,4
Todd Klein,Letters,23.44,8
Lynn Varley,Colors,17.85,2
Richmond Lewis,Colors,17.83,2
Grant Morrison,Script,14.41,6
Gregory Wright,Colors,14.36,2
Jim Lee,"Pencils,Cover",13.97,4
Alan Moore,Script,13.48,1
John Higgins,Colors,13.48,1
Jock/Francesco Francavilla,"Pencils,Cover,Inks",13.19,3
Greg Capullo,"Pencils,Cover",11.25,5
Scott Snyder,Script,10.54,6
Gaspar Saladino,Letters,10.21,1
Jim Starlin,Script,9.41,2
Alex Sinclair,Colors,8.38,3
Scott Williams,Inks,7.08,2
Rob Leigh,Letters,6.87,5
Jim Aparo/Mike Mignola/Mike DeCarlo,Pencils,5.80,1
Jim Aparo,Cover,5.80,1
Jim Aparo/Mike Mignola,Inks,5.80,1
Adrienne Roy/Anthony Tollin,Colors,5.80,1
FCO Plascencia,Colors,5.65,3
Greg Capullo/Jonathan Glapion,Inks,5.11,1
Richard Starkings/Jimmy Betancourt/Comicraft,Letters,5.11,1
Kelley Jones/Bob LeRose/Sam Kieth,Cover,4.62,1
David Baron/Francesco Francavilla,Colors,4.40,1
Todd Klein/Jared K. Fletcher/Sal Cipriano,Letters,4.40,1
Ed Brubaker,Script,3.93,1
Tim Sale/Doug Mahnke/Patrick Zircher,Pencils,3.93,1
David Baron,Colors,3.93,1
Bernie Wrightson,Inks,3.60,1
Dennis O'Neil,Script,2.82,3
Doug Moench,Script,2.82,2
Brian Augustyn,Script,2.50,1
John Workman,Letters,2.50,1
Jared K. Fletcher/John Workman,Letters,1.91,1
Ken Lopez,Letters,1.84,2
