Inks,Borda,Dowdall,Power (alpha=0.5),N,Average (power)
Klaus Janson,2825,13.671999999999999,18.999000000000002,2,9.499500000000001
David Mazzucchelli,2547,12.684,17.622,1,17.622
Tim Sale,3362,9.203,17.499,3,5.832999999999999
Brian Bolland,2180,8.436,13.478,1,13.478
Dave McKean,1970,5.143,10.214,1,10.214
Scott Williams,1700,2.649,7.081,2,3.5405
Jim Aparo/Mike Mignola,1310,2.395,5.804,1,5.804
Greg Capullo/Jonathan Glapion,1102,2.537,5.108,1,5.108
Jock/Francesco Francavilla,1089,1.614,4.396,1,4.396
Bernie Wrightson,758,1.9,3.604,1,3.604
Norm Breyfogle,892,0.971,3.184,2,1.592
P. Craig Russell,720,0.72,2.495,1,2.495
Malcolm Jones III,521,0.593,1.924,1,1.924
Paul Pope,558,0.538,1.906,1,1.906
Dick Giordano/Al Milgrom/Terry Austin,544,0.473,1.783,1,1.783
Drew Geraci/Mark Propst,465,0.453,1.606,1,1.606
Michael Lark,449,0.439,1.554,3,0.518
Gary Frank,461,0.395,1.511,2,0.7555
Frank Quitely,379,0.352,1.294,1,1.294
Mike DeCarlo/Bob McLeod,386,0.303,1.218,1,1.218
Matt Wagner,369,0.331,1.217,1,1.217
Dick Giordano/Dan Adkins,249,0.619,1.195,1,1.195
Bruce Timm,313,0.251,0.996,1,0.996
Dick Giordano/Frank McLaughlin,251,0.265,0.892,1,0.892
Terry Austin,296,0.202,0.892,1,0.892
Jerry Bingham,228,0.253,0.829,1,0.829
José Luis García-López,271,0.164,0.8,1,0.8
Robert K. Washington III/Trevor Scott/Sandu Florea,240,0.21,0.79,1,0.79
Danny Miki,174,0.267,0.724,2,0.362
Andy Clarke/Dick Grayson,93,0.5,0.707,1,0.707
Eduardo Risso,159,0.185,0.582,2,0.291
Dan Brereton,197,0.113,0.575,1,0.575
Jim Aparo,135,0.187,0.551,1,0.551
Darwyn Cooke,152,0.105,0.459,1,0.459
Mick Gray/Mark Irwin/Marlo Alquiza,87,0.125,0.354,1,0.354
Mick Gray/Lee Bermejo,86,0.111,0.333,1,0.333
Jesse Delperdang/Andy Kubert/Sandra Hope,86,0.111,0.333,1,0.333
Robert Campanella,85,0.1,0.316,1,0.316
Lee Bermejo,85,0.1,0.316,1,0.316
Derek Fridolfs/Dustin Nguyen,84,0.091,0.302,1,0.302
J.H. Williams III,84,0.091,0.302,1,0.302
Jock/Tula Lotay/Mark Morales,81,0.071,0.267,1,0.267
John Dell/Bob McLeod,77,0.056,0.236,1,0.236
Jonathan Glapion,76,0.053,0.229,1,0.229
Rafael Albuquerque,75,0.05,0.224,1,0.224
John Beatty,72,0.043,0.209,1,0.209
Eduardo Barreto,71,0.042,0.204,1,0.204
Frank Miller,70,0.04,0.2,1,0.2
John Floyd,69,0.038,0.196,1,0.196
Scott Hampton,59,0.028,0.167,1,0.167
Seth Fisher,58,0.027,0.164,1,0.164
Brian Ashmore,56,0.026,0.16,1,0.16
