# primary source https://www.comics.org/
Title,Robin
Batman: A Death in the Family,Jason Todd
Batman: Year One,-
Batman: Arkham Asylum,?
Batman: The Dark Knight Returns,?
Batman: The Killing Joke,-
Batman: Hush,Tim Drake/Jason Todd
Batman: Son of the Demon,-
Batman: Birth of the Demon,-
Batman and Son,Tim Drake/Damian Wayne
Batman: The Long Halloween,-
Batman: Tales of the Demon,Dick Grayson
Batman Volume 1: The Court of Owls,Tim Drake/Damian Wayne
Batman Black and White,-
Batman: The Black Mirror,Dick Grayson
Batman: Dark Victory,Dick Grayson
Robin: Year One,Dick Grayson
Batman and the Monster Men,Red Hood
Batman: Whatever Happened to the Caped Crusader?,Dick Grayson/Tim Drake
Batman: Thrillkiller,Dick Grayson
Batman: Night of the Owls,Dick Grayson/Damian Wayne
Batman By Azzarello And Risso,?
Batman and Robin: Batman Reborn,Damian Wayne
Batman and Robin: Requiem for Damian,Damian Wayne
The Greatest Batman Stories Ever Told,various
Batman: Under the [Red] Hood,Jason Todd
Gotham by Gaslight,?
Batman: No Man's Land,?
Batman: Zero Year,?
Batman: The Last Arkham,-
Batman: Endgame,-
The Batman in Nine Lives,-
Batman: Haunted Knight,-
Batman: Earth One Vol. 1,-
Batman: Earth One Vol. 2,-
JLA: Rock Of Ages,-
Batman: Second Chances,Dick Grayson/Jason Todd
The Untold Legend of the Batman,Dick Grayson
Batman: Face the Face,Timothy Drake
"Batman: Detective Comics, Volume 5: Gothtopia",?
Gotham Central Vol. 1: In the Line of Duty,-
Gotham Central Vol. 2: Jokers and Madmen,-
"All Star Batman Vol. 3: The First Ally",
"All Star Batman Vol. 2: Ends Of The Earth",-
"All Star Batman and Robin, the Boy Wonder",Dick Grayson
The Batman Chronicles Vol. 1,-
Batman: Heart of Hush,-
Batman 75th Anniversary Box Set,mixed
Batman: Cataclysm,Timothy Drake/Nightwing
Injustice: Gods Among Us: Year One: Volume 1,-
Injustice: Gods Among Us: Year One: Volume 2,-
Injustice: Gods Among Us: Year Three: Volume 1,-
Batman: Legends of the Dark Knight: Shaman,-
Batman: War Games,Stephanie Brown/Tim Drake
Joker,-
Batman: KnightsEnd,Timothy Drake
Batman: Vengeance Of Bane,-
Justice League VS Suicide Squad,-
Batman: Scarecrow Tales,various
Batman: The Dark Knight Strikes Again,Dick Grayson
Batman: Snow,-
Dark Nights: Metal,?
Justice League Origin,-
The Flash: Flashpoint,-
Batman: Lovers and Madmen,-
"Batman: Knightfall, Part One: Broken Bat",-
"Batman: Knightfall, Part Two: Who Rules The Night",Timothy Drake
Batman: Knightquest: The Crusade,Timothy Drake
Batman: Absolution,-
Batman: Gotham County Line,-
The Greatest Joker Stories Ever Told,?
Batman: Death of the Family,Nightwing/Damien Wayne/Timothy Drake/Red Hood
Batman: Noël,Jason Todd
Batman: Nine Lives,Dick Grayson
Batman: Strange Apparitions,Richard Grayson
Batman: Year 100,-
Batman: Venom,-
Batman: A Lonely Place of Dying,Nightwing/Timothy Drake
Batman: The War of Jokes and Riddles,-
Batman: R.I.P.,Timothy Drake
Batman: Blind Justice,-
Batman Adventures: Mad Love,-
Batman & Dracula: Red Rain,-
Flashpoint: Batman - Knight of Vengeance,-
JLA: Tower of Babel,-
Batwoman: Elegy,-
"Batman Eternal, Vol. 1",Red Hood/Red Robin
Batman: The Man Who Laughs,-
Batman: The Cult,Jason Todd
Batman: Gothic,-
Batman: Ego,Dick Grayson
Batman: The Eye of the Beholder,Damian Wayne
Batman: Prey,-
Bruce Wayne: Murderer?,Nightwing/Tim Drake
Bruce Wayne: Fugitive,Nightwing/Tim Drake
