# http://www.comicsbackissues.com/best-batman-graphic-novels-of-all-time/
Ranking,Title
25,Batman: Nine Lives
24,Batman: Thrillkiller
23,Batman: Gothic
22,Batman Adventures: Mad Love
21,Batman: Strange Apparitions
20,Batman: Strange Apparitions
19,Batman Black and White
18,Batman: Year 100
17,Batman: The Man Who Laughs
16,"Batman: Knightfall, Part One: Broken Bat"
15,Batman: Tales of the Demon
# 14,Batman: Son of the Demon
14,Batman: Birth of the Demon
13,Batman: Dark Victory
12,Batman: Blind Justice
11,JLA: Tower of Babel
10,Gotham by Gaslight
9,Batman: The Cult
8,Batman: A Death in the Family
7,Batman & Dracula: Red Rain
6,Batman: Hush
5,Batman: Arkham Asylum
4,Batman: The Killing Joke
3,Batman: Year One
2,Batman: The Long Halloween
1,Batman: The Dark Knight Returns
