# https://au.ign.com/articles/the-25-greatest-batman-graphic-novels,2019
Ranking,Title
25,Batman: Earth One Vol. 1
24,Flashpoint: Batman - Knight of Vengeance
23,Batman: The Man Who Laughs
22,Batman: Venom
21,Batman: A Lonely Place of Dying
20,Batman and the Monster Men
19,Batman: The Cult
18,Batman Volume 1: The Court of Owls
17,Batman: Strange Apparitions
16,Batman: Gothic
15,"Batman: Knightfall, Part One: Broken Bat"
14,Batman: The War of Jokes and Riddles
13,JLA: Tower of Babel
12,Gotham by Gaslight
11,Batman: Hush
10,Batman: Whatever Happened to the Caped Crusader?
 9,Batman: The Black Mirror
 8,Batman: Year 100
 7,Batman & Dracula: Red Rain
# 6,Batman: Son of the Demon
 6,Batman: Birth of the Demon
 5,Batman: Arkham Asylum
 4,Batman: The Long Halloween
 3,Batman: The Killing Joke
 2,Batman: Year One
 1,Batman: The Dark Knight Returns
