Title,Borda,Dowdall,Power (alpha=0.5),Copeland
Batman: The Dark Knight Returns,2386,13.36,17.649,93
Batman: Year One,2547,12.684,17.622,91
Batman: The Long Halloween,2345,7.854,13.546,87
Batman: The Killing Joke,2180,8.436,13.478,89
Batman: Arkham Asylum,1970,5.143,10.214,85
Batman: Hush,1547,2.537,6.61,83
Batman: A Death in the Family,1310,2.395,5.804,81
Batman Volume 1: The Court of Owls,1102,2.537,5.108,77
"Batman: Knightfall, Part One: Broken Bat",1100,1.571,4.408,77
Batman: The Black Mirror,1089,1.614,4.396,75
Batman: The Man Who Laughs,1069,1.254,3.933,72
Batman: The Cult,758,1.9,3.604,72
Batman: Dark Victory,774,1.128,3.142,71
Batman Black and White,735,0.78,2.608,66
Gotham by Gaslight,720,0.72,2.495,65
Batman: Whatever Happened to the Caped Crusader?,510,0.658,1.959,59
Batman: Year 100,558,0.538,1.906,60
Batman: Birth of the Demon,490,0.579,1.809,54
Batman: Strange Apparitions,544,0.473,1.783,57
Batman & Dracula: Red Rain,472,0.571,1.777,57
Batman: Death of the Family,427,0.618,1.711,53
JLA: Tower of Babel,465,0.453,1.606,54
Batman: Under the [Red] Hood,326,0.52,1.378,32
Batman: The Last Arkham,402,0.392,1.375,33
Batman: Gothic,439,0.312,1.35,47
Batman and Robin: Batman Reborn,379,0.352,1.294,41
Batman: Earth One Vol. 1,378,0.312,1.222,39
Batman: A Lonely Place of Dying,386,0.303,1.218,42
Batman and the Monster Men,369,0.331,1.217,40
Batman: Tales of the Demon,249,0.619,1.195,22
Batman: Second Chances,94,1,1,-47
Gotham Central Vol. 1: In the Line of Duty,257,0.334,0.996,22
Batman Adventures: Mad Love,313,0.251,0.996,41
Batman: No Man's Land,306,0.229,0.95,23
Batman: Blind Justice,251,0.265,0.892,34
Batman: Prey,296,0.202,0.892,33
Batman: Son of the Demon,228,0.253,0.829,28
Batman: Haunted Knight,243,0.221,0.811,29
Batman: Venom,271,0.164,0.8,25
Batman: R.I.P.,240,0.21,0.79,28
Batman: Face the Face,93,0.5,0.707,-49
The Greatest Joker Stories Ever Told,171,0.211,0.65,5
The Batman Chronicles Vol. 1,137,0.221,0.592,-5
Batman: Thrillkiller,197,0.113,0.575,16
The Untold Legend of the Batman,135,0.187,0.551,-7
Batman and Son,158,0.145,0.529,7
Batman: Cataclysm,91,0.25,0.5,-51
Batman: Night of the Owls,156,0.118,0.485,8
"All Star Batman and Robin, the Boy Wonder",153,0.112,0.471,10
Batman: The Eye of the Beholder,154,0.111,0.471,6
Batman: Ego,152,0.105,0.459,4
Batman: Zero Year,89,0.167,0.408,-46
Batman By Azzarello And Risso,88,0.143,0.378,-49
Batman and Robin: Requiem for Damian,87,0.125,0.354,-49
Batman: Nine Lives,120,0.062,0.349,-3
Joker,86,0.111,0.333,-49
The Flash: Flashpoint,86,0.111,0.333,-38
Robin: Year One,85,0.1,0.316,-49
The Greatest Batman Stories Ever Told,85,0.1,0.316,-49
Gotham Central Vol. 2: Jokers and Madmen,85,0.1,0.316,-49
Batman: Endgame,85,0.1,0.316,-48
Injustice: Gods Among Us: Year One: Volume 2,85,0.1,0.316,-40
Batman: Noël,85,0.1,0.316,-49
Bruce Wayne: Murderer?,85,0.1,0.316,-49
Bruce Wayne: Fugitive,85,0.1,0.316,-49
"Batman: Detective Comics, Volume 5: Gothtopia",84,0.091,0.302,-50
Batman: Heart of Hush,84,0.091,0.302,-36
Batman 75th Anniversary Box Set,84,0.091,0.302,-49
Injustice: Gods Among Us: Year One: Volume 1,84,0.091,0.302,-42
Batwoman: Elegy,84,0.091,0.302,-49
"Batman Eternal, Vol. 1",84,0.091,0.302,-49
Batman: Earth One Vol. 2,83,0.083,0.289,-52
Justice League Origin,82,0.077,0.277,-44
All Star Batman Vol. 2: Ends Of The Earth,81,0.071,0.267,-46
Batman: The War of Jokes and Riddles,81,0.071,0.267,-48
Batman: Scarecrow Tales,78,0.059,0.243,-39
JLA: Rock Of Ages,77,0.056,0.236,-48
Dark Nights: Metal,76,0.053,0.229,-50
All Star Batman Vol. 3: The First Ally,75,0.05,0.224,-52
Injustice: Gods Among Us: Year Three: Volume 1,74,0.048,0.218,-54
The Batman in Nine Lives,72,0.043,0.209,-49
Batman: Legends of the Dark Knight: Shaman,72,0.043,0.209,-49
Batman: War Games,72,0.043,0.209,-49
Justice League VS Suicide Squad,72,0.043,0.209,-56
Batman: Vengeance Of Bane,71,0.042,0.204,-58
Flashpoint: Batman - Knight of Vengeance,71,0.042,0.204,-50
Batman: KnightsEnd,70,0.04,0.2,-60
Batman: The Dark Knight Strikes Again,70,0.04,0.2,-42
Batman: Lovers and Madmen,69,0.038,0.196,-44
Batman: Knightquest: The Crusade,62,0.03,0.174,-46
Batman: Gotham County Line,59,0.028,0.167,-48
Batman: Snow,58,0.027,0.164,-50
Batman: Absolution,56,0.026,0.16,-52
"Batman: Knightfall, Part Two: Who Rules The Night",45,0.02,0.141,-57
