Character,Aliases,Notes
# 
# Bond and allies
James Bond,"James Bond, Bond, Sir James Bond, Ian Fleming's James Bond 007"
Q,"Q, 'Q', 'Q' Algy, Boothroyd, Major Boothroyd"
M,"M, 'M', M."
R,"R"
Moneypenny,"Moneypenny, Miss Moneypenny, Eve"
Felix Leiter,"Felix Leiter, Leiter, Felix"
Bill Tanner,"Bill Tanner, Chief of Staff Bill Tanner, Tanner"
Jack Wade,"Jack Wade"
Tiger Tanaka,"Tiger Tanaka"
Smithers,"Smithers"
Rene Mathis,"Rene Mathis, Inspector Mathis"
Sir Frederick Gray,"Sir Frederick Gray"
Gareth Mallory,"Gareth Mallory, later-becomes-M"
General Gogol,"General Gogol, Gen. Anatol Gogol, General Anatol Gogol,Gogol"
Valentin Zukovsky,"Valentin Zukovsky"
Charles Robinson,"Charles Robinson, Chief of Staff Charles Robinson"
009,"009"
006,"006"
004,"004"
002,"002"
#
# villains
Alec Trevelyan,"Alec Trevelyan"
Aristotle Kristatos,"Aristotle Kristatos,Kristatos"
Blofeld,"Blofeld, Ernst Stavro Blofeld, Ernst Blofeld, Dr. Guntram Shatterhand, Franz Oberhause, Franz Oberhauser / Ernst Stavro Blofeld"
Brad Whitaker,"Brad Whitaker"
Draco,"Draco"
Dominic Greene,"Dominic Greene"
Drax,"Drax, Hugo Drax, Sir Hugo Drax, Graf Hugo von der Drache"
Dr. No,"Dr. No, Dr. Julius No"
Elektra King,"Elektra King"
Elliot Carver,"Elliot Carver"
Emilio Largo,"Emilio Largo, Largo"
General Orlov,"General Orlov,Orlov"
General Georgi Koskov,"General Georgi Koskov"
Gustav Graves / Colonel Moon,"Gustav Graves / Colonel Moon, Colonel Moon, Gustav Graves"
Goldfinger,"Goldfinger,Auric Goldfinger"
Karl Stromberg,"Karl Stromberg"
Le Chiffre,"Le Chiffre"
Max Denbigh,"Max Denbigh,C"
Max Zorin,"Max Zorin"
# not seen on screen: Major Dexter Smythe,"Major Dexter Smythe"
Mr. White,"Mr. White"
Mr. Big,"Mr. Big, Mr Big, Dr. Kananga, Kananga / Mr. Big"
Prince Kamal Khan,"Prince Kamal Khan,Kamal Khan"
Rosa Klebb,"Rosa Klebb"
Scaramanga,"Scaramanga, Francisco Scaramanga, Francisco (Paco) 'Pistols' Scaramanga"
Tiago Rodriguez,"Tiago Rodriguez, Tiago 'Raoul Silva' Rodriguez, Silva"
Victor 'Renard' Zokas,"Victor 'Renard' Zokas, Renard"
#
# bond girls https://www.007james.com/articles/list_of_james_bond_girls.php
Honey Ryder,"Honey Ryder"#                        Dr. No
Sylvia Trench,"Sylvia Trench"#                    Dr. No
Miss Taro,"Miss Taro"#                            Dr. No
Tatiana Romanova,"Tatiana Romanova"#              From Russia With Love
Zora,"Zora"#                                      From Russia With Love
Vida,"Vida"#                                      From Russia With Love
Pussy Galore,"Pussy Galore"#                      Goldfinger
Jill Masterson,"Jill Masterson"#                  Goldfinger
Tilly Masterson,"Tilly Masterson"#                Goldfinger
Bonita,"Bonita"#                                  Goldfinger
Dink,"Dink"#                                      Goldfinger
Domino,"Domino, Dominique 'Domino' Derval, Domino Petachi"# Thunderball
Paula Caplan,"Paula Caplan,Paula"#                Thunderball
Fiona Volpe,"Fiona Volpe"#                        Thunderball
Patricia,"Patricia,Patricia Fearing"#             Thunderball
Madame LaPorte,"Madame LaPorte,Mlle. La Porte"#   Thunderball
Kissy Suzuki,"Kissy Suzuki"#                      You Only Live Twice
Aki,"Aki"#                                        You Only Live Twice
Ling,"Ling,Chinese Girl in Hong Kong Ling"#       You Only Live Twice
Helga Brandt,"Helga Brandt"#                      You Only Live Twice
Contessa Teresa di Vicenzo,"Contessa Teresa di Vicenzo,Tracy,Mrs Tracy Bond"# On Her Majesty's Secret Service
Ruby Bartlett,"Ruby Bartlett,Ruby"#               On Her Majesty's Secret Service
Nancy,"Nancy"#                                    On Her Majesty's Secret Service
Tiffany Case,"Tiffany Case"#                      Diamonds Are Forever
Plenty O'Toole,"Plenty O'Toole"#                  Diamonds Are Forever
Bambi,"Bambi"#                                    Diamonds Are Forever
Thumper,"Thumper"#                                Diamonds Are Forever
Marie,"Marie"#                                    Diamonds Are Forever
Solitaire,"Solitaire"#                            Live and Let Die
Rosie Carver,"Rosie Carver,Rosie"#                Live and Let Die
Miss Caruso,"Miss Caruso,Beautiful Girl"#        Live and Let Die
Mary Goodnight,"Mary Goodnight"#                  The Man with the Golden Gun
Andrea Anders,"Andrea Anders"#                    The Man with the Golden Gun 
Saida,"Saida"#                                    The Man with the Golden Gun 
Chew Mee,"Chew Mee"#                              The Man with the Golden Gun 
Anya Amasova,"Anya Amasova,Maj. Anya Amasova / Agent XXX"# The Spy Who Loved Me
Log Cabin Girl,"Log Cabin Girl"#                  The Spy Who Loved Me
Naomi,"Naomi"#                                    The Spy Who Loved Me
Felicca,"Felicca"#				  The Spy Who Loved Me
Dr. Holly Goodhead,"Dr. Holly Goodhead, Holly Goodhead"# Moonraker
Corinne Dufour,"Corinne Dufour"#                  Moonraker
Manuela,"Manuela"#                                Moonraker
Hostess Private Jet,"Hostess Private Jet"#        Moonraker
Melina Havelock,"Melina Havelock"#                For Your Eyes Only
Bibi Dahl,"Bibi Dahl"#                            For Your Eyes Only
Countess Lisl von Schlaf,"Countess Lisl von Schlaf,Lisl"# For Your Eyes Only
Octopussy,"Octopussy"#                            Octopussy
Magda,"Magda"#                                    Octopussy
Bianca,"Bianca"#				  Octopussy
Stacey Sutton,"Stacey Sutton"#                    A View To a Kill
Kimberley Jones,"Kimberley Jones"#                A View To a Kill
Pola Ivanova,"Pola Ivanova"#                      A View To a Kill
Kara Milovy,"Kara Milovy"#                        The Living Daylights
Linda,"Linda"#                                    The Living Daylights
Pam Bouvier,"Pam Bouvier"#                        License to Kill
Lupe Lamora,"Lupe Lamora"# 			  License to Kill
Natalya Simonova,"Natalya Simonova"# 		  Goldeneye
Caroline,"Caroline"# 	  			  Goldeneye
Wai Lin,"Wai Lin"#				  Tomorrow Never Dies
Paris Carver,"Paris Carver"#                      Tomorrow Never Dies
Professor Inga Bergstrom,"Professor Inga Bergstrom"# Tomorrow Never Dies
Dr. Christmas Jones,"Dr. Christmas Jones"#        The World is Not Enough
Elektra King,"Elektra King"#                      The World is Not Enough
Dr. Molly Warmflash,"Dr. Molly Warmflash"#        The World is Not Enough
Jinx,"Jinx,Jinx Johnson"#     			  Die Another Day
Miranda Frost,"Miranda Frost"# 			  Die Another Day
Peaceful Fountains of Desire,"Peaceful Fountains of Desire,Peaceful"# Die Another Day
Vesper Lynd,"Vesper Lynd"# 	       		  Casino Royale (2006)
Solange Dimitrios,"Solange Dimitrios,Solange"#    Casino Royale (2006)
Camille Montes,"Camille Montes,Camille"#          Quantum of Solace
Strawberry Fields," Strawberry Fields"#           Quantum of Solace
Severine,"Severine"#	       			  Skyfall
Bond's Lover,"Bond's Lover"#			  Skyfall
Dr. Madeleine Swann,"Dr. Madeleine Swann,Madeleine"# Spectre
Estrella,"Estrella"#				  Spectre
Lucia Sciarra,"Lucia Sciarra,Lucia"#		  Spectre
#
# bad guys team
Jaws,"Jaws"
Nick Nack,"Nick Nack"
Oddjob,"Oddjob"
May Day,"May Day"
