first,second
James Bond,26
Moneypenny,24
M,24
Q,23
Felix Leiter,10
Blofeld,8
Bill Tanner,7
General Gogol,6
Mr. White,3
Charles Robinson,3
Rene Mathis,3
Vesper Lynd,3
Smithers,2
Valentin Zukovsky,2
Jaws,2
Jack Wade,2
Sylvia Trench,2
Sir Frederick Gray,2
Le Chiffre,2
Domino,2
Milton Krest,1
Damian Falco,1
Tiger Tanaka,1
Count Lippe,1
Ransome,1
Kincade,1
Gräfin von Wallenstein,1
Santos,1
Mr. Wint,1
Valerian,1
Spoletta,1
Professor Dent,1
Chew Mee,1
Loti,1
Dominic Greene,1
Rodney,1
Miss Taro,1
Shady Tree,1
Kleff,1
Strawberry Fields,1
Vijay,1
Achmed,1
"Patricia, 1",1
Raoul,1
Solo,1
Jenny Flex,1
Madame Wu,1
Sister Rose,1
Braun,1
Guerra,1
Necros,1
Miss Caruso,1
Lupe Lamora,1
Natalya Simonova,1
Aziz Fekkesh,1
Cooper,1
Venz,1
Bob Conley,1
Borchoi,1
Franz Sanchez,1
Sadruddin,1
Grunther,1
Sheriff J.W. Pepper,1
Alec Trevelyan,1
Draco,1
John Strangways,1
Colthorpe,1
Kenniston,1
Benz,1
Jeff Hobbs,1
Nick Nack,1
Prue,1
Iona Havelock,1
Dario,1
Gibson,1
Tiago Rodriguez,1
Erich Kriegler,1
Mitchell,1
Pola Ivanova,1
Leo,1
Fatima,1
Culpepper,1
Fukutu,1
Ed Killifer,1
Steven Obanno,1
Tom Wallace,1
Karageorge,1
Campbell,1
Dr. Molly Warmflash,1
Lippe,1
Rosie Carver,1
Gallo,1
Sir Godfrey Tibbett,1
Colonel Toro,1
Rublevitch,1
Gabor,1
Anna,1
Andrea Anders,1
Cmdr. Carter,1
Kutze,1
Manuel,1
Sharkey,1
Eliza,1
Capt. Benson,1
Marco Sciarra,1
Kaminofsky,1
Brunskill,1
Tilly Masterson,1
Denis Thatcher,1
Naomi,1
General Potter,1
Mr. Karlski,1
Dolly - Jaws' Girlfriend,1
Chang,1
Mendel,1
Sydney,1
Carter,1
Prof. Markovitz,1
Villiers,1
Kra,1
McGregor,1
Ferrara,1
Goldfinger,1
Rosa Klebb,1
Pan Ho,1
Gustav Graves / Colonel Moon,1
Dryden,1
Lt. Orso,1
Marie,1
Moreau,1
Max Kalba,1
Kisch,1
Karl,1
Octopussy,1
Al Capone,1
Cmdr. Talbot,1
Dr Metz,1
Aristotle Kristatos,1
Hostess Private Jet,1
Buttercup,1
