actor,character,named,uncredited,voice
Paul Rudd,Scott Lang / Ant-Man,true,false,false
Evangeline Lilly,Hope Van Dyne / Wasp,true,false,false
Michael Peña,Luis,true,false,false
Walton Goggins,Sonny Burch,true,false,false
Bobby Cannavale,Paxton,true,false,false
Judy Greer,Maggie,true,false,false
T.I.,Dave,true,false,false
David Dastmalchian,Kurt,true,false,false
Hannah John-Kamen,Ava / Ghost,true,false,false
Abby Ryder Fortson,Cassie,true,false,false
Randall Park,Jimmy Woo,true,false,false
Michelle Pfeiffer,Janet Van Dyne / Wasp,true,false,false
Laurence Fishburne,Dr. Bill Foster,true,false,false
Michael Douglas,Dr. Hank Pym,true,false,false
Divian Ladwa,Uzman,true,false,false
Goran Kostic,Anitolov,true,false,false
Rob Archer,Knox,false,false,false
Sean Kleier,Agent Stoltz,true,false,false
Benjamin Byron Davis,Agent Burleigh,true,false,false
Michael Cerveris,Elihas Starr,true,false,false
Riann Steele,Catherine Starr,true,false,false
Dax Griffin,Young Hank,false,false,false
Hayley Lovitt,Young Janet,false,false,false
Langston Fishburne,Young Bill,true,false,false
RaeLynn Bratten,Young Ava,true,false,false
Madeleine McGraw,Young Hope,false,false,false
Tim Heidecker,Whale Boat Captain Daniel Gooobler,true,false,false
Stan Lee,Shrinking Car Owner,false,false,false
Charles Justo,Fireman,false,false,false
Brian Huskey,Elementary School Teacher,false,false,false
Suehyla El-Attar,Agent Pearson,true,false,false
Julia Vera,Luis' Abuelita,true,false,false
Jessica Winther,Tourist Wife,false,false,false
Norwood J. Cheek Jr.,Tourist Husband,false,false,false
Bryan Lugo,Wharf Cop,false,false,false
Ana Maria Quintana,Sister Ana Maria,true,false,false
Darcy Shean,Nanny,false,false,false
Blake Vogt,Online Magic Instructor,false,false,false
Torrey Vogel,Burch's Goon,false,false,false
Simon Potter,Burch's Goon,false,false,false
Jon Wurster,Burch's SUV Driver,false,false,false
Tom Scharpling,Burch's SUV Driver,false,false,false
Virginia Hamilton,San Francisco News Announcer,false,false,false
Jessica Castro,San Francisco News Anchor,false,false,false
Reggie Aqui,San Francisco News Anchor,false,false,false
Natasha Zouves,San Francisco News Anchor,false,false,false
Mike Nicco,San Francisco News Anchor,false,false,false
Alexis Smith,San Francisco News Anchor,false,false,false
Gary Agid,Homeless Man,false,true,false
Halit Alptekin,FBI Agent,false,true,false
Joseph Amey,Pedestrian,false,true,false
Yianni Apostolopolous,Whale Watcher,false,true,false
Cassandra Areff,Pier 39 Tourist,false,true,false
