actor,character,named,uncredited,voice
Brie Larson,Carol Danvers / Captain Marvel,true,false,false
Bradley Cooper,Rocket,true,false,true
Scarlett Johansson,Natasha Romanoff / Black Widow,true,false,false
Chris Hemsworth,Thor,true,false,false
Karen Gillan,Nebula,true,false,false
Evangeline Lilly,Hope van Dyne / The Wasp,true,false,false
Chris Evans,Steve Rogers / Captain America,true,false,false
Josh Brolin,Thanos,true,false,false
Robert Downey Jr.,Tony Stark / Iron Man,true,false,false
Elizabeth Olsen,Wanda Maximoff / Scarlet Witch,true,false,false
Tom Holland,Peter Parker / Spider-Man,true,false,false
Paul Rudd,Scott Lang / Ant-Man,true,false,false
Michelle Pfeiffer,Janet Van Dyne,true,false,false
Sebastian Stan,Bucky Barnes / Winter Soldier,true,false,false
Pom Klementieff,Mantis,true,false,false
Dave Bautista,Drax,true,false,false
Tilda Swinton,The Ancient One,true,false,false
Jeremy Renner,Clint Barton / Hawkeye,true,false,false
Chadwick Boseman,T'Challa / Black Panther,true,false,false
Jon Favreau,Happy Hogan,true,false,false
Gwyneth Paltrow,Pepper Potts,true,false,false
Mark Ruffalo,Bruce Banner / Hulk,true,false,false
Frank Grillo,Brock Rumlow / Crossbones,true,false,false
Katherine Langford,,false,false,false
Winston Duke,M'Baku,true,false,false
Letitia Wright,Shuri,true,false,false
Kerry Condon,Friday,true,false,true
Don Cheadle,James Rhodes / War Machine,true,false,false
Ty Simpkins,Harley Keener,true,false,false
Sean Gunn,On-Set Rocket,false,false,false
Emma Fuhrmann,,false,false,false
Hiroyuki Sanada,,false,false,false
Benedict Wong,Wong,true,false,false
Penelope Kathryn Golden,Midtown High School Student,false,false,false
Terry Notary,Teen Groot,true,false,false
Alexa Whitaker,Jabari Warrior,false,false,false
Maurice P Kerry,King's Guard,false,false,false
Samantha Mishinski,Student,false,false,false
Jennifer 'Ms Fer' Russell,Pedestrian,false,false,false
Kiersten Dolbec,Reporter,false,false,false
Monica Mathis,70's Car Girl #1,false,false,false
Timothy Carr,Soldier in Fatigues,false,false,false
Eric Patrick Cameron,Midtown High Student,false,false,false
Ryan L. Price,NYPD Officer Daniels,false,false,false
Jimmy Ray Pickens,Support Group Man,false,false,false
Khalid Ghajji,Border Tribe,false,false,false
Miles Webb,1970's Scientist / Lab Worker,false,false,false
Michael Pierino Miller,Wounded Business Man,false,false,false
Maria Z. Wilson,NY Jogger,false,false,false
Jamaal Burcher,EMS Worker,false,false,false
Michael A. Cook,S.H.I.E.L.D. Agent,false,false,false
Eric Wallace,Warrior,false,false,false
Floyd Anthony Johns Jr.,Jabari Warrior,false,false,false
Brent McGee,Gate Guard,false,false,false
Brandon Rush,Warrior,false,false,false
Roe Dunkley,King's Guard,false,false,false
Jason m Edwards,Swat Shield agent,false,false,false
Keith Nussbaum,SHIELD Agent,false,false,false
Renah Gallagher,Military Secretary,false,false,false
Greg Tiffan,Cadet,false,false,false
Daniel Callister,Scientist,false,false,false
Benjamin Weaver,Cadet,false,false,false
Jaylen Davis,College Student,false,false,false
Cameron Brumbelow,SHIELD Agent,false,false,false
Daniela Gaskie,National Guard Sgt.,false,false,false
Jay D. Kacho,Grandfather at Memorial Park,false,false,false
Ami Fujimoto,Japanese Woman,false,false,false
Sammy Andred,Soldier,false,false,false
Rufus Vinall,Pub Bartender,false,false,false
Colin Goodwin,Student,false,false,false
Keith Dinkl,High School Student,false,false,false
Camille Kinloch,Midtown High School Student,false,false,false
Tiffany Blair,Woman on bus,false,false,false
Raul Alcantar,College Student,false,true,false
Jacob Evans,S.H.I.E.L.D. Agent,false,true,false
José Alfredo Fernandez,Shield Agent,false,true,false
Brent Moorer Gaskins,Drill Sergeant,false,true,false
Anthony B. Harris,S.H.I.E.L.D. SWAT Member,false,true,false
Maxwell Highsmith,Military Officer,false,true,false
Faith Logan,Student,false,true,false
Shaun McMillan,Army Non-Commissioned Officer,false,true,false
Robert Payen,Security Guard,false,true,false
Paul Pillsbury,Military Cadet,false,true,false
James Robert Taylor,Military Officer,false,true,false
Kris Taylor,Royal Guard,false,true,false
Travis Thompson,Military Mechanic,false,true,false
Robert Tinsley,Military Officer,false,true,false
