actor,character,named,uncredited,voice
Chadwick Boseman,T'Challa / Black Panther,true,false,false
Michael B. Jordan,Erik Killmonger,true,false,false
Lupita Nyong'o,Nakia,true,false,false
Danai Gurira,Okoye,true,false,false
Martin Freeman,Everett K. Ross,true,false,false
Daniel Kaluuya,W'Kabi,true,false,false
Letitia Wright,Shuri,true,false,false
Winston Duke,M'Baku,true,false,false
Sterling K. Brown,N'Jobu,true,false,false
Angela Bassett,Ramonda,true,false,false
Forest Whitaker,Zuri,true,false,false
Andy Serkis,Ulysses Klaue,true,false,false
Florence Kasumba,Ayo,false,false,false
John Kani,T'Chaka,true,false,false
David S. Lee,Limbani,true,false,false
Nabiyah Be,Linda,true,false,false
Isaach De Bankolé,River Tribe Elder,false,false,false
Connie Chiume,Mining Tribe Elder,false,false,false
Dorothy Steel,Merchant Tribe Elder,false,false,false
Danny Sapani,Border Tribe Elder,false,false,false
Sydelle Noel,Dora Milaje,false,false,false
Marija Juliette Abney,Dora Milaje,false,false,false
Zola Williams,Dora Milaje,false,false,false
Janeshia Adams-Ginyard,Dora Milaje,false,false,false
Maria Hippolyte,Dora Milaje,false,false,false
Marie Mouroum,Dora Milaje,false,false,false
Jénel Stevens,Dora Milaje,false,false,false
Sope Aluko,Shaman,false,false,false
Stan Lee,Thirsty Gambler,false,false,false
Atandwa Kani,Young T'Chaka,true,false,false
Ashton Tyler,Young T'Challa,true,false,false
Denzel Whitaker,James / Young Zuri,true,false,false
Shaunette Renée Wilson,Dora Milaje,false,false,false
Christine Hollingsworth,Dora Milaje,false,false,false
Lucy Hockings,BBC Reporter,false,false,false
Bambadjan Bamba,Militant Leader,false,false,false
Roland Kilumbu,Young Militant,false,false,false
Jermaine Holt,Driver,false,false,false
Dominique Elijah Smith,Cargo Truck Militant,false,false,false
Jalil Jay Lynch,Nigerian Militant #1,false,false,false
Vaughndio Forbes,Nigerian Militant #2,false,false,false
Sasha Morfaw,Nigerian Woman #1,false,false,false
Alexis Louder,Nigerian Woman #2,false,false,false
Francesca Faridany,Museum Director,false,false,false
Mark Ashworth,Security Guard,false,false,false
Seth Carr,Young Killmonger,true,false,false
Jeremy Sample,Jabari Fisherman,false,false,false
Chad Crumley,South African Tough,false,false,false
Alexis Rhee,Elderly Woman,false,false,false
Danny Chung,Dealer,false,false,false
Elizabeth Elkins,CIA Agent,false,false,false
Tony Sears,French Ambassador,false,false,false
Alex Riley Hughes,Basketball Kid,false,false,false
Clifford Gay,Basketball Kid,false,false,false
