actor,character,named,uncredited,voice
Chris Evans,Steve Rogers / Captain America,true,false,false
Samuel L. Jackson,Nick Fury,true,false,false
Scarlett Johansson,Natasha Romanoff / Black Widow,true,false,false
Robert Redford,Alexander Pierce,true,false,false
Sebastian Stan,Bucky Barnes / Winter Soldier,true,false,false
Anthony Mackie,Sam Wilson / Falcon,true,false,false
Cobie Smulders,Maria Hill,true,false,false
Frank Grillo,Brock Rumlow,true,false,false
Maximiliano Hernández,Jasper Sitwell,true,false,false
Emily VanCamp,Kate / Agent 13,true,false,false
Hayley Atwell,Peggy Carter,true,false,false
Toby Jones,Dr. Arnim Zola,true,false,false
Stan Lee,Smithsonian Guard,false,false,false
Callan Mulvey,Jack Rollins,true,false,false
Jenny Agutter,Councilwoman Hawley,false,false,false
Bernard White,Councilman Singh,false,false,false
Alan Dale,Councilman Rockwell,false,false,false
Chin Han,Councilman Yen,true,false,false
Garry Shandling,Senator Stern,true,false,false
Georges St-Pierre,Georges Batroc,true,false,false
Salvator Xuereb,French Pirate #1,false,false,false
Brian Duffy,French Pirate #2,false,false,false
Zack Duhame,Engine Pirate,false,false,false
Adetokumboh M'Cormack,French Radio Pirate,false,false,false
Christopher George Sarris,Skinny Steve,true,false,false
Aaron Himelstein,Specialist Cameron Klein,false,false,false
Allan Chanes,Launch Tech #2,false,false,false
Joe Russo,Dr. Fine,true,false,false
Christopher Markus,SHIELD Interrogator #1,false,false,false
Stephen McFeely,SHIELD Interrogator #2,false,false,false
Pat Healy,Scientist #1,false,false,false
Ed Brubaker,Scientist #2,false,false,false
D.C. Pierson,Apple Employee,false,false,false
Danny Pudi,Com Tech #1,false,false,false
Bernard Zilinskas,Com Tech #2,false,false,false
Branka Katic,Renata,true,false,false
Angela Russo-Otstot,Garcia,true,false,false
Jon Sklaroff,Charlie XO,true,false,false
Chad Todhunter,Charlie Weapons Tech,false,false,false
Abigail Marlowe,SHIELD Tech,false,false,false
Jeremy Maxwell,Lead SHIELD Pilot,false,false,false
Emerson Brooks,Senior SHIELD Agent,false,false,false
Evan Parke,SHIELD Agent,false,false,false
Ricardo Chacon,Strike SGT. #1,false,false,false
Griff Allen,Strike SGT. #2,false,false,false
Ann Russo,Strike Agent,false,false,false
Joe Rosalina,Strike Agent,false,false,false
Michael Debeljak,Strike Agent,false,false,false
Eddie J. Fernandez,Strike Agent,false,false,false
Jody Hart,25th Floor Strike Agent,false,false,false
Steven Culp,Scudder,false,false,false
Derek Hughes,Human Resources Executive,false,false,false
Wendy Hoopes,Doctor,false,false,false
Ethan Rains,Lead EMT,false,false,false
Dominic Rains,CIA Instructor,false,false,false
Charles Wittman,Capitol Hill Police,false,false,false
Andy Martinez Jr.,Capitol Hill Police,false,false,false
Michael De Geus,FBI Agent,false,false,false
Terence O'Rourke,FBI Agent,false,false,false
Anne Grimenstein,Committee Member,false,false,false
Dante Rosalina,Little Boy in the Smithsonian,false,false,false
Robert Clotworthy,Fury Car,false,false,true
June Christopher,SHIELD Computer,false,false,true
Gary Sinise,The Smithsonian Narrator,false,false,true
Davis Aguila,SHIELD Strike Agent,false,true,false
Karen Gadson Alexander,ER Nurse,false,true,false
Tex Allen,Diplomat,false,true,false
Dan Anders,DC Cop / Driver,false,false,false
Cullum Andrews,Museum Kid,false,true,false
Diedra Arthur-O'Ree,Pedestrian,false,true,false
Ben Atkins,Military Veteran,false,true,false
Thomas R. Baker,Soldier,false,true,false
Dean Barlage,SHIELD Agent,false,true,false
Dyrell Barnett,SHIELD Strike Agent,false,true,false
Shaira Barton,Tourist,false,true,false
David Biedrzycki,French Mercenary Soldier,false,true,false
