actor,character,named,uncredited,voice
Brie Larson,Carol Danvers / Vers / Captain Marvel,true,false,false
Samuel L. Jackson,Nick Fury,true,false,false
Ben Mendelsohn,Talos / Keller,true,false,false
Jude Law,Yon-Rogg,true,false,false
Annette Bening,Supreme Intelligence,true,false,false
Lashana Lynch,Maria Rambeau,true,false,false
Clark Gregg,Agent Coulson,true,false,false
Rune Temte,Bron-Char,true,false,false
Gemma Chan,Minn-Erva,true,false,false
Algenis Perez Soto,Att-Lass,true,false,false
Djimon Hounsou,Korath,true,false,false
Lee Pace,Ronan,true,false,false
Chuku Modu,Soh-Larr,true,false,false
Matthew Maher,Norex,true,false,false
Akira Akbar,Monica Rambeau,true,false,false
Azari Akbar,Monica Rambeau,true,false,false
Kenneth Mitchell,Carol's Father,false,false,false
Stephen A. Chang,Cadet Officer,false,false,false
Pete Ploszek,Bret Johnson,true,false,false
Mark Daugherty,Skrull Main Tech,false,false,false
Vik Sahay,Hero Torfan,true,false,false
Sharon Blynn,Soren,true,false,false
Mckenna Grace,Young Carol,false,false,false
London Fuller,Young Carol,false,false,false
Colin Ford,Steve Danvers,true,false,false
Stan Lee,Stan Lee,false,false,false
Marilyn Brett,Older Lady on Train,false,false,false
Diana Toshiko,Skrull Tech #1,false,false,false
Robert Kazinsky,Biker,false,false,false
Emily Ozrey,Surfer Girl Talos #1,false,false,false
Abigaille Ozrey,Surfer Girl Talos #2,false,false,false
Gil Jeor De St.,Teenager,false,false,false
Matthew Bellows,Accuser #1,false,false,false
Richard Zeringue,Tom the Neighbor,true,false,false
Barry Curtis,Mall Security Guard,false,false,false
Nelson Franklin,Medical Examiner,false,false,false
Patrick Brennan,Bartender,false,false,false
Patrick Gallagher,Security Chief,false,false,false
Duane Henry,Talos-Kree Soldier,false,false,false
Ana Ayora,Agent Whitcher,false,false,false
Stanley Wong,SHIELD Tech,false,false,false
Auden L. Ophuls,Talos' Daughter,false,false,false
Harriet L. Ophuls,Talos' Daughter,false,false,false
Matthew 'Spider' Kimmel,Spider,false,false,false
Stephen 'Cajun' Del Bagno,Cajun,false,false,false
Lyonetta Flowers,Monica's Grandmother,false,false,false
Rufus Flowers,Monica's Grandfather,false,false,false
Reggie,Goose,true,false,false
Gonzo,Goose,true,false,false
Archie,Goose,true,false,false
Rizzo,Goose,true,false,false
Amir Abdalla,Beachgoer,false,true,false
Jay Arthur,Alien,false,true,false
Gaige Chaturantabut,Kid Student #4,false,true,false
Don Cheadle,James Rhodes,true,true,false
Joey Courteau,Kree Rail Passenger,false,true,false
Kelly Sue DeConnick,Train Station Commuter,false,true,false
Callie Rose Deets,Kree Rail Passenger,false,true,false
Chris Evans,Steve Rogers,true,true,false
Andre Franco,Kree Elite Soldier,false,true,false
John Gettier,S.H.I.E.L.D. Agent,false,true,false
Adam Hart,Skrull Spy,false,true,false
James Hatten,Alien,false,true,false
DJ Jenkins,Air Force Pilot: PYRO,false,true,false
Scarlett Johansson,Natasha Romanoff,true,true,false
Kevin M. Kelly,Coroner,false,true,false
Alvaro Laborin,1990s Metro Subway commuter,false,true,false
Bethany Levy,S.H.I.E.L.D. Agent,false,true,false
Anthony Molinari,S.H.I.E.L.D. Agent,false,true,false
James Morrison,Air Force General,false,true,false
Vinny O'Brien,Skrull Spy 2,false,true,false
Damon O'Daniel,Business Commuter,false,true,false
Mel Powell,Pegasus Guard Ficke,true,true,false
Eddy Rome,Alien,false,true,false
Mark Ruffalo,Bruce Banner,true,true,false
Connor Ryan,Cadet Livanson,false,true,false
