actor,character,named,uncredited,voice
Robert Downey Jr.,Tony Stark,true,false,false
Gwyneth Paltrow,Pepper Potts,true,false,false
Don Cheadle,Colonel James Rhodes,true,false,false
Guy Pearce,Aldrich Killian,true,false,false
Rebecca Hall,Maya Hansen,true,false,false
Jon Favreau,Happy Hogan,true,false,false
Ben Kingsley,Trevor Slattery,true,false,false
James Badge Dale,Savin,true,false,false
Stephanie Szostak,Brandt,true,false,false
Paul Bettany,JARVIS,true,false,true
William Sadler,President Ellis,true,false,false
Dale Dickey,Mrs. Davis,true,false,false
Ty Simpkins,Harley Keener,true,false,false
Miguel Ferrer,Vice President Rodriguez,false,false,false
Xueqi Wang,Doctor Wu,true,false,false
Bingbing Fan,Wu Jiaqi,true,false,false
Si Yu Li,Chinese News Reporter,false,false,false
Shaun Toub,Ho Yinsen,true,false,false
Matthew Sterling Nye,Annoying Conference Guy,false,false,false
Pat Kiernan,Pat Kiernan,true,false,false
Josh Elliott,Josh Elliott,true,false,false
Megan Henderson,Megan Henderson,true,false,false
Thomas Roberts,Thomas Roberts,true,false,false
Bill Maher,Bill Maher,true,false,false
Joan Rivers,Joan Rivers,true,false,false
George Kotsiopoulos,George Kotsiopoulos,true,false,false
Bronte D'Esposito,Neptune's Net Girl,false,false,false
Noah Visconti,Neptune's Net Boy,false,false,false
Ashley Hamilton,Taggart,true,false,false
Brooke Jaye Taylor,Happy's Nurse,false,false,false
Kim Dean,Hospital News Reporter,false,false,false
Glenn Foster,Pushy Tabloid Reporter,false,false,false
Anthony Reynolds,Helicopter Pilot #1,false,false,false
Kendrick Cross,Helicopter Pilot #2,false,false,false
Tom Clark,Reporter at House Wreckage,false,false,false
Brian Schaeffer,Mandarin Studio Technician,false,false,false
John Eddins,Mandarin Look-Out,false,false,false
Rockey Dickey Jr.,Rose Hill Deputy / Extremis Soldier,false,false,false
Drew Michael Hershner,Rose Hill Christmas Tree Shopper,false,false,false
Sarah Burkhardt,Junior Technician,false,false,false
Jan Broberg,Senior Technician,false,false,false
Andrew Lauer,Satellite Technician,false,false,false
Nate Bynum,Technical Director,false,false,false
Andrew Lander,Vice President's Analyst,false,false,false
Tom Virtue,Thomas Richards,true,false,false
Serdar Kalsin,Scared Insurgent,false,false,false
Roy McCrerey,President's Aide,false,false,false
Demetrios Hodges,Laughing Insurgent,false,false,false
Bobby Tisdale,Pageant Emcee,false,false,false
Yvonne Zima,Miss Elk Ridge,false,false,false
Stan Lee,Pageant Judge,false,false,false
Adam Pally,Gary the Cameraman,true,false,false
James Rackley,Chad Davis,true,false,false
Cullen Moss,Extremis Candidate,false,false,false
Jacob Dewitt,Room Service Waiter / Extremis Soldier,false,false,false
Kevin Arnold,Mandarin Guard,false,false,false
Rebecca Mader,Sweat Shop Agent,false,false,false
Juan Bofill,Mandarin Guard,false,false,false
David Anthony Buglione,Mandarin Guard,false,false,false
Adam Lytle,Mandarin Guard,false,false,false
Paul Andrew O'Connor,Mandarin Guard,false,false,false
Phil Ortiz,Mandarin Guard,false,false,false
Gwendalyn Barker,Sleepy Mandarin Girl,false,false,false
Steve Wilder,Annoyed Mandarin Guard,false,false,false
Luciana Faulhaber,Mandarin Party Girl #1,false,false,false
Kary Musa,Mandarin Party Girl #2,false,false,false
Mike Massa,Tony's Guard,false,false,false
Mark Kubr,Ponytail Express,false,false,false
Eric Oram,Reluctant AIM Guard,false,false,false
Naomi Grace,AIM Ping Pong Girl,false,false,false
Aurelia Riley,AIM Ping Pong Girl,false,false,false
Johanna Yunda,AIM Ping Pong Girl,false,false,false
Wesley Thompson,Secret Service Agent,false,false,false
Toochukwu T.C. Anyachonkeya,Iron Patriot Fan #1,false,false,false
Jenna Ortega,Vice President's Daughter,false,false,false
Chad Kurtz,Iron Patriot Fan #2,false,false,false
Corey Hawkins,Navy Op,false,false,false
Cal Johnson,Air Force One Officer,false,false,false
Linden Ashby,Commander,false,false,false
Sarah Farooqui,Heather,true,false,false
Sala Baker,Extremis Soldier,false,false,false
Kial Butler,Extremis Soldier,false,false,false
Nick Brandon,Extremis Soldier,false,false,false
Dan Brown,Extremis Soldier,false,false,false
Fernando Chien,Extremis Soldier,false,false,false
Ilram Choi,Extremis Soldier,false,false,false
Brycen Counts,Extremis Soldier,false,false,false
Kiante Elam,Extremis Soldier,false,false,false
Dane Farwell,Extremis Soldier,false,false,false
Mark Fichera,Extremis Soldier,false,false,false
Colin Follenweider,Extremis Soldier,false,false,false
Aja Frary,Extremis Soldier,false,false,false
Mark Ginther,Extremis Soldier,false,false,false
Adrian Gonzales,Extremis Soldier,false,false,false
Dennis Keiffer,Extremis Soldier,false,false,false
Samuel Le,Extremis Soldier,false,false,false
Tara Macken,Extremis Soldier,false,false,false
William Morts,Extremis Soldier,false,false,false
Jade Quon,Extremis Soldier,false,false,false
J.C. Robaina,Extremis Soldier,false,false,false
Markos Rounthwaite,Extremis Soldier,false,false,false
Philip J Silvera,Extremis Soldier,false,false,false
Brian Simpson,Extremis Soldier,false,false,false
Mark Aaron Wagner,Extremis Soldier,false,false,false
