actor,character,named,uncredited,voice
Robert Downey Jr.,Tony Stark / Iron Man,true,false,false
Chris Evans,Steve Rogers / Captain America,true,false,false
Mark Ruffalo,Bruce Banner / The Hulk,true,false,false
Chris Hemsworth,Thor,true,false,false
Scarlett Johansson,Natasha Romanoff / Black Widow,true,false,false
Jeremy Renner,Clint Barton / Hawkeye,true,false,false
Tom Hiddleston,Loki,true,false,false
Clark Gregg,Agent Phil Coulson,true,false,false
Cobie Smulders,Agent Maria Hill,true,false,false
Stellan Skarsgård,Selvig,true,false,false
Samuel L. Jackson,Nick Fury,true,false,false
Gwyneth Paltrow,Pepper Potts,true,false,false
Paul Bettany,Jarvis,true,false,true
Alexis Denisof,The Other,true,false,false
Tina Benko,NASA Scientist,false,false,false
Jerzy Skolimowski,Georgi Luchkov,true,false,false
Kirill Nikiforov,Weaselly Thug,false,false,false
Jeff Wolfe,Tall Thug,false,false,false
M'laah Kaur Singh,Young Girl,false,false,false
Rashmi Rustagi,Calcutta Woman,false,false,false
Powers Boothe,World Security Council,false,false,false
Jenny Agutter,World Security Council,false,false,false
Arthur Darbinyan,World Security Council,false,false,false
Donald Li,World Security Council,false,false,false
Warren Kole,Carrier Bridge Tech,false,false,false
Alicia Sixtos,Carrier Bridge Tech,false,false,false
Jesse Garcia,Carrier Bridge Tech,false,false,false
Maximiliano Hernández,Agent Jasper Sitwell,true,false,false
Dieter Riesle,Gala Scientist,false,false,false
Kenneth Tigar,German Old Man,false,false,false
Walter Perez,Young Shield Pilot,false,false,false
Harry Dean Stanton,Security Guard,false,false,false
Josh Cowdery,Maintenance Guy,false,false,false
Ashley Johnson,Waitress,false,false,false
Katsumi Komatsu,Japanese Family,false,false,false
Yumiko Komatsu,Japanese Family,false,false,false
Momoko Komatsu,Japanese Family,false,false,false
Robert Clohessy,Police Sergeant,false,false,false
Enver Gjokaj,Young Cop,false,false,false
Fernanda Toker,Office Woman,false,false,false
Andrea Vecchio,News Reporter,false,false,false
Robin Swoboda,News Reporter,false,false,false
Brent McGee,Faceless Pilot,false,false,false
Jamie McShane,Celebration Montage Interviewee,false,false,false
Michael Zhang,Celebration Montage Interviewee,false,false,false
William Christopher Stephens,Celebration Montage Interviewee,false,false,false
Kelley Robins,Celebration Montage Interviewee,false,false,false
Romy Rosemont,Shawna Lynde,true,false,false
James Eckhouse,Senator Boynton,true,false,false
Stan Lee,Stan Lee,false,false,false
Pat Kiernan,Pat Kiernan,true,false,false
Thomas Roberts,Thomas Roberts,true,false,false
Damion Poitier,Man #1,false,false,false
Catherine Anderson,German Pedestrian,false,true,false
Ricardo Andres,Lentil Merchant,false,true,false
Logan Bennett,S.H.I.E.L.D. Agent,false,true,false
Mayank Bhatter,Celebration Montage Man Shaving Beard,false,true,false
Sharita Bone,Gala Guest,false,true,false
Jason Botsford,Museum Gala Patron,false,true,false
Stephen Bullard,Scared Spectator,false,true,false
Mary Kate Campbell,Stuttgart Biergarten patron,false,true,false
Max Cavenham,Mercenary,false,true,false
Gene N. Chavez,S.H.I.E.L.D. Guard,false,true,false
Suzie Coker,Museum Patron,false,true,false
Layla Cushman,Gala Guest,false,true,false
Robert Dean,Soldier,false,true,false
Alex DeCourville,Tourist,false,true,false
Rick Dremann,Museum Gala Guest,false,true,false
