actor,character,named,uncredited,voice
Edward Norton,Bruce Banner,true,false,false
Liv Tyler,Betty Ross,true,false,false
Tim Roth,Emil Blonsky,true,false,false
William Hurt,General 'Thunderbolt' Ross,true,false,false
Tim Blake Nelson,Samuel Sterns,true,false,false
Ty Burrell,Leonard,true,false,false
Christina Cabot,Major Kathleen Sparr,true,false,false
Peter Mensah,General Joe Greller,true,false,false
Lou Ferrigno,Voice of The Incredible Hulk / Security Guard,false,false,false
Paul Soles,Stanley,true,false,false
Débora Nascimento,Martina,true,false,false
Greg Bryk,Commando,false,false,false
Chris Owens,Commando,false,false,false
Al Vrkljan,Commando,false,false,false
Adrian Hein,Commando,false,false,false
John MacDonald,Commando,false,false,false
Shaun McComb,Helicopter Soldier,false,false,false
Simon Wong,Grad Student,false,false,false
Pedro Salvín,Tough Guy Leader,false,false,false
Julio Cesar Torres Dantas,Tough Guy,false,false,false
Raimundo Camargo Nascimento,Tough Guy,false,false,false
Nick Alachiotis,Tough Guy,false,false,false
Jason Burke,Communications Officer,false,false,false
Grant Nickalls,Helicopter Pilot,false,false,false
Joris Jarsky,Soldier,false,false,false
Arnold Pinnock,Soldier,false,false,false
Tig Fong,Cop,false,false,false
Jason Hunter,Cop,false,false,false
Maxwell McCabe-Lokos,Cab Driver,false,false,false
David Collins,Medical Technician,false,false,false
John Carvalho,Plant Manager,false,false,false
Robin Wilcock,Sniper,false,false,false
Wayne Robson,Boat Captain,false,false,false
Javier Lambert,Guatemalan Trucker,false,false,false
Martin Starr,Computer Nerd,false,false,false
Chris Ratz,Young Guy,false,false,false
Todd Hofley,Apache Helicopter Pilot,false,false,false
Joe Lalogga,Soldier,false,false,false
Tamsen McDonough,Colleague,false,false,false
Michael Kenneth Williams,Harlem Bystander,false,false,false
Roberto Bakker,Market Vendor,false,false,false
Ruru Sacha,Supply Driver,false,false,false
James Downing,Army Base Doctor,false,false,false
Rickson Gracie,Aikido Instructor,false,false,false
Stephen Gartner,Ross's Soldier,false,false,false
Nicholas Rose,McGee,true,false,false
Genelle Williams,Terrified Gal,false,false,false
P.J. Kerr,Wilson,false,false,false
Jee-Yun Lee,Reporter,false,false,false
Desmond Campbell,Gunner,false,false,false
DeShaun Clarke,Little Boy,false,false,false
Tony Nappo,Brave Cop,false,false,false
Aaron Berg,Soldier,false,false,false
David Meunier,Soldier,false,false,false
Tre Smith,Soldier,false,false,false
Moses Nyarko,Soldier,false,false,false
Carlos A. González,BOPE Officer,false,false,false
Yan Regis,Medic Soldier,false,false,false
Stephen Broussard,Handsome Soldier,false,false,false
Robert Morse,Command Van Soldier,false,false,false
Matt Purdy,Ross's Aide,false,false,false
Lenka Matuska,Female Medical Assistant,false,false,false
Scott Magee,Humvee Driver,false,false,false
Wes Berger,Sterns Lab Soldier,false,false,false
Carla Nascimento,Large Woman,false,false,false
Krista Vendy,Female Bartender,false,false,false
Mila Stromboni,Hopscotch Girl,false,false,false
Jim Annan,Intelligence Officer,false,true,false
John Atkin,Helicopter Co-Pilot,false,true,false
David Bianchi,,false,true,true
Bill Bixby,Tom Corbett,true,true,false
JB Blanc,The Hulk / Abomination,false,false,false
John Campea,Extra,false,true,false
Rick Cordeiro,Taxi Driver,false,true,false
Brandon Cruz,Eddie Corbett,true,true,false
Scoot DeVille,Bus Driver,false,true,false
Fabio Dorea,Brazilian Liaison Officer,false,true,false
Robert Downey Jr.,Tony Stark,true,true,false
Kieran Gallant,Test Subject,false,true,false
J.D. Hall,The Hulk / Abomination,false,false,false
Jay Hunter,Cop #2,false,true,false
Dave Kiner,Man,false,true,false
Stan Lee,Milwaukee Man Drinking From Bottle,false,true,false
Richard D. Leko,Student / Car Driver,false,false,false
Jonathan Lipow,The Hulk / Abomination,false,false,false
Kevin Lise,Super Soldier Med-Technician,false,true,false
Dan MacDonald,News Crew,false,true,false
François Mequer,NYPD Cop,false,true,false
Ishan Morris,Student,false,true,false
Scott Murphy,Soldier,false,true,false
Billy Parrott,Security Guard,false,true,false
Imali Perera,Female Faculty Member,false,true,false
Kristina Pesic,Sorority Girl,false,true,false
Avi Phillips,Student in Lab,false,true,false
Jeffrey W. Pike,College Student,false,true,false
T.J. Smith,Frightened Harlem Pedestrian,false,true,false
Fred Tatasciore,The Hulk / Abomination,false,false,false
Dylan Taylor,Keg Guy,false,true,false
Max Topplin,Jimmy - Older boy,true,true,false
Miyoshi Umeki,Mrs. Livingston,true,true,false
J.A. Worthington,Student,false,true,false
Russell Yuen,FBI Agent,false,true,false
