actor,character,named,uncredited,voice
Chris Hemsworth,Thor,true,false,false
Tom Hiddleston,Loki,true,false,false
Cate Blanchett,Hela,true,false,false
Idris Elba,Heimdall,true,false,false
Jeff Goldblum,Grandmaster,true,false,false
Tessa Thompson,Valkyrie,true,false,false
Karl Urban,Skurge,true,false,false
Mark Ruffalo,Bruce Banner / Hulk,true,false,false
Anthony Hopkins,Odin,true,false,false
Benedict Cumberbatch,Doctor Strange,true,false,false
Taika Waititi,Korg,true,false,true
Rachel House,Topaz,true,false,false
Clancy Brown,Surtur,true,false,true
Tadanobu Asano,Hogun,true,false,false
Ray Stevenson,Volstagg,true,false,false
Zachary Levi,Fandral,true,false,false
Georgia Blizzard,Asgardian Date #1,false,false,false
Amali Golden,Asgardian Date #2,false,false,false
Luke Hemsworth,Actor Thor,false,false,false
Sam Neill,Actor Odin,false,false,false
Charlotte Nicdao,Actor Sif,false,false,false
Ash Ricardo,Odin's Assistant,false,false,false
Shalom Brune-Franklin,College Girl #1,false,false,false
Taylor Hemsworth,College Girl #2,false,false,false
Cohen Holloway,Lead Scrapper,false,false,false
Alia Seror-O'Neill,Golden Lady #1,false,false,false
Sophia Laryea,Golden Lady #2,false,false,false
Steven Oliver,Cousin Carlo,true,false,false
Hamish Parkinson,Beerbot 5000,false,false,false
Jasper Bagg,Warden,false,false,false
Sky Castanho,Asgardian Daughter,false,false,false
Shari Sebbens,Asgardian Mother,false,false,false
Richard Green,Asgardian Uncle,false,false,false
Sol Castanho,Asgardian Son,false,false,false
Jet Tranter,Valkyrie Sister #1,false,false,false
Samantha Hopper,Valkyrie Sister #2,false,false,false
Eloise Winestock,Asgardian Woman,false,false,false
Rob Mayes,Asgardian Man,false,false,false
Jordan Abbey-Young,Sakaaran Citizen,false,true,false
Bashir Ally,Indra,true,true,false
Martin Sta Ana,Sakarian Citizen,false,true,false
Brenton Ashe,NYPD Officer,false,true,false
David James Austin,Asgardian / NY Passer-By,false,false,false
Sydney Shea Barker,Asgardian,false,true,false
Donnie Baxter,GM Pilot,false,true,false
Lexy Bernardo,Sakaaran Citizen,false,true,false
Hunter Stratton Boland,Sakaaran,false,true,false
Gabby Carbon,Actor Jane Foster,false,true,false
Greta Carew-Johns,Grandmaster VIP,false,true,false
Jo Christiaans,Asgardian,false,true,false
Brodie Cornish,Asgardian Girl,false,true,false
Jacob Crawford,Asgardian Patron #2,false,true,false
Matt Damon,Actor Loki,false,true,false
Melissa Dawe,Asgardian,false,true,false
Cameron Dean,Asgardian Guard,false,true,false
Suzanne Dervish-Ali,Asgardian,false,true,false
Liam Hop Yek Dodds,Asgardian Boy,false,true,false
Liam Donnelly,Asgardian,false,true,false
Sasha Dulics,New York City Passerby,false,true,false
Aimee Duroux,Asgardian,false,true,false
Simon Durrell,Asgardian Noble,false,true,false
Shinaed Evans,Asgardian,false,true,false
Tracie Filmer,Asgardian,false,true,false
Sean Edward Frazer,Asgardian,false,true,false
Daniel Goodwin,Asgardian,false,true,false
Adam Green,New York Businessman,false,true,false
Charles Green,Asgardian Patron #1,false,true,false
Dylan Kai Harris,Asgardian Refugee,false,true,false
Roberto Harrison,Asgardian,false,true,false
Tahlia Jade Holt,Asgardian,false,true,false
Bobby Hoskins,Asgardian,false,true,false
Apollo Jackson,Gladiator,false,true,false
Cale Kampers,Asgardian,false,true,false
Dean Kenny,Trainee Guard,false,true,false
Joel Knights,Sakaaran Citizen / Floatychairan Prisoner,false,false,false
David Knijnenburg,Asgardian Refugee,false,true,false
Stephanie Kutty,Asgardian,false,true,false
Demetri Landell,Asgardian,false,true,false
Stan Lee,Barber,false,true,false
Braden Lewis,Asgardian Child,false,true,false
Jordan Lewis,Asgardian Child,false,true,false
Dan Logovik,Asgardian,false,true,false
Steven Lunavich,Heavy Set Man,false,true,false
Alexandra MacDonald,Sakaarian,false,true,false
Georgia Mae,Asgardian,false,true,false
Mervyn Marriott,Asgardian / New Yorker,false,false,false
Tracey Lee Maxwell,Asgardian Servant,false,true,false
Mollie McGregor,Twin Sakaaran Citizen,false,true,false
Sophia McGregor,Twin Sakaaran Citizen,false,true,false
Andrew S. McMillan,Gladiator,false,true,false
Declan McMurray,Asgardian,false,true,false
Abhishek Mehta,Asgardian,false,true,false
Anthony Miller,Grand Master Guard,false,true,false
Paris Moletti,NYC Passerby,false,true,false
Sam Monaghan,Asguardian,false,true,false
Gideon Mzembe,Asgardian,false,true,false
Winnie Mzembe,Asgardian,false,true,false
Jip Panosot,Asgardian Refugee,false,true,false
Kai Pantano,Soldier of Asgard,false,true,false
Anna Patch,Dancing Sakarian,false,true,false
Samuel Peacock,Asgardian,false,true,false
Erin Hayley Powell,Asgardian,false,true,false
Jon Quested,Einherjar Guard,false,true,false
Stephanie Riggio,Quinjet,false,true,true
Lachlan Robbie,Special Abilities Driver,false,true,false
Paul Rosenblum,Asgardian,false,true,false
Michael Stent,Asgardian,false,true,false
Lara Thomas,Sakaaran Citizen,false,true,false
Tennille Thomas,Sakaaran Citizen,false,true,false
Josh Torr,Palace Guard #2,false,true,false
Krystal Vayda,Asgardian Female,false,true,false
Stephen Vining,Grandmaster Guard,false,true,false
Jason Virgil,Asgardian Elder,false,true,false
Beatrice Ward,Asgardian Citizen,false,true,false
Ken Watanabe,Asgardian Noble,false,true,false
Mikey Wulff,Grand Master Guard / Asgardian Refugee,false,false,false
Elizabeth Xu,Asgardian,false,true,false
Mike Zarate,Asgardian / Choir,false,false,false
Connor Zegenhagen,Asgardian,false,true,false
