actor,character,named,uncredited,voice
Chris Hemsworth,Thor,true,false,false
Natalie Portman,Jane Foster,true,false,false
Tom Hiddleston,Loki,true,false,false
Anthony Hopkins,Odin,true,false,false
Christopher Eccleston,Malekith,true,false,false
Jaimie Alexander,Sif,true,false,false
Zachary Levi,Fandral,true,false,false
Ray Stevenson,Volstagg,true,false,false
Tadanobu Asano,Hogun,true,false,false
Idris Elba,Heimdall,true,false,false
Rene Russo,Frigga,true,false,false
Adewale Akinnuoye-Agbaje,Algrim / Kurse,true,false,false
Kat Dennings,Darcy Lewis,true,false,false
Stellan Skarsgård,Erik Selvig,true,false,false
Alice Krige,Eir,true,false,false
Clive Russell,Tyr,true,false,false
Jonathan Howard,Ian Boothby,true,false,false
Ramone Morgan,John,true,false,false
Obada Alassadi,Navid,true,false,false
Imaan Chentouf,Maddie,true,false,false
Claire Brown,Volstagg's Wife,false,false,false
Henry Calcutt,Volstagg's Child #1,false,false,false
Ava Caton,Volstagg's Child #2,false,false,false
Abbie McCann,Volstagg's Child #3,false,false,false
Thomas Arnold,Desk Officer,false,false,false
Sam Swainsbury,Stonehenge TV News Reporter,false,false,false
Connor Donaghey,Sad Child,false,false,false
Royce Pierreson,Student,false,false,false
Annabel Norbury,Woman on Platform,false,false,false
Sophie Cosson,Wench #1,false,false,false
Chris O'Dowd,Richard,true,false,false
Justin Edwards,Police Officer #1,false,false,false
Gruffudd Glyn,Police Officer #2,false,false,false
Richard Brake,Einherjar Lieutenant,false,false,false
Stan Lee,Stan Lee,false,false,false
Steve Scott,Steve Scott,true,false,false
Brett Tucker,Einherjar Guard,false,false,false
Talulah Riley,Nurse,false,false,false
Richard Wharton,Asylum Patient,false,false,false
Leonardo Amato,Sel,true,true,false
Alyson Andrews,Student,false,true,false
Jason Beeston,Dark Elf,false,true,false
Gintare Beinoraviciute,City Worker,false,true,false
Conor Boru,Asgardian Guard,false,true,false
Jason Bostridge,Asgardian Man,false,true,false
Jonathan Brooks,Student,false,true,false
Jay E Brown,Police Officer,false,true,false
Caleb Campbell,Einherjar Prison Guard,false,true,false
Greg Chun,Additional Voices,false,true,false
Bern Collaço,Police Officer,false,true,false
Gary Comerford,Diner,false,true,false
Andrew Crayford,Celtic Musician,false,true,false
Adam Critchlow,Einherjar Guard,false,true,false
Tony Curran,Bor,true,true,false
Rydell Danzie,Asgardian Einherjar,false,true,false
Benicio Del Toro,The Collector,true,true,false
Aj DeLeon,Dark Elf,false,true,false
Chris Evans,Loki as Captain America,true,true,false
Chloe Farnworth,Asgardian Waitress,false,true,false
Martin Fox,Police officer,false,true,false
Roshawn Franklin,Jenson,true,true,false
Caroline Garnell,Asgardian Woman,false,true,false
Lana Gautier,Crying Asgardian,false,true,false
Bella Ava Georgiou,Girl with Cameraphone on the Tube,false,true,false
Justin G. Gibson,Celtic Musician,false,true,false
Alex Gillison,Asgard Einharjar,false,true,false
Steven Hack,Patient #2,false,true,false
Erkan Halil,Student,false,true,false
Leigh Holland,Dark Elf,false,true,false
Corey Jovan,Asgardian Guard,false,true,false
Kamay Lau,Vanir Woman,false,true,false
Ophelia Lovibond,Carina,true,true,false
Charles Moss,Asgardian Man,false,true,false
Richard Ochampaugh,Marauder,false,true,false
Alannah Olivia,Library Student,false,true,false
Paul J. Porter,Asgardian Einherjar,false,true,false
Lilian Price,Asgardian Child,false,true,false
James Michael Rankin,Odin's Guard,false,true,false
Evie Ryland,Asgardian Citizen,false,true,false
Shane Salter,Restaurant Customer,false,true,false
Andrew Scott-Marshall,Marauder,false,true,false
Julian Seager,Marauder,false,true,false
Graham Shiels,Einherjar,false,true,false
Matthew Skomo,Asgardian Einherjar,false,true,false
Glen Stanway,Desk Officer,false,true,false
Julian Stone,Voice Actor,false,true,false
Tom Swacha,Asgardian Man,false,true,false
Peter Theobalds,Marauder Warrior,false,true,false
Mariano Venida,Vanir Leader,false,true,false
Paul Warren,Creature Marauder,false,true,false
Richard Whiten,Kemper,false,true,false
Bryan Michael Williams,Student #2,false,true,false
Christian Wolf-La'Moy,Asgardian Guard,false,true,false
