Title,ReleaseYear,Total,Named,Credited,Voice
Iron Man,2008,96,26,63,3
Iron Man 2,2010,138,30,61,1
The Incredible Hulk,2008,102,16,72,1
Thor,2011,90,29,50,1
Captain America: The First Avenger,2011,154,25,95,1
The Avengers,2012,138,23,53,2
Iron Man 3,2013,260,39,110,1
Thor: The Dark World,2013,93,28,39,0
Captain America: The Winter Soldier,2014,240,27,73,3
Guardians of the Galaxy,2014,128,26,72,6
Guardians of the Galaxy Vol. 2,2017,85,34,48,4
Avengers: Age of Ultron,2015,143,34,67,3
Ant-Man,2015,166,30,67,1
Captain America: Civil War,2016,192,25,103,4
Black Panther,2018,136,22,66,1
Spider-Man: Homecoming,2017,139,37,64,1
Doctor Strange,2016,76,22,31,0
Thor: Ragnarok,2017,119,18,43,3
Avengers: Infinity War,2018,105,42,56,4
Ant-Man and the Wasp,2018,178,27,61,0
Captain Marvel,2019,76,30,51,0
Avengers: Endgame,2019,87,30,73,2
Spider-Man: Far From Home,2019,102,14,92,0
