Title,Time,NormalisedTS,Party A,Party B,"Outcome (A, B,  inconclusive)"
Avengers: Age of Ultron,0.98,0.007,Black Widow,Hydra Mooks,Black Widow
Avengers: Age of Ultron,1.02,0.0072,Hawkeye,Hydra Mooks,Hawkeye
Avengers: Age of Ultron,1.08,0.0077,Thor,Hydra Mooks,Thor
Avengers: Age of Ultron,1.13,0.008,Thor,Hydra Mooks,Thor
Avengers: Age of Ultron,1.25,0.0089,Thor,Hydra Mooks,Thor
Avengers: Age of Ultron,1.3,0.0092,Thor,Hydra Mooks,Thor
Avengers: Age of Ultron,1.35,0.0096,Captain America,Hydra Mooks,Captain America
Avengers: Age of Ultron,1.4,0.0099,Captain America,Hydra Mooks,Captain America
Avengers: Age of Ultron,1.45,0.0103,Captain America,Hydra Mooks,Captain America
Avengers: Age of Ultron,1.53,0.0109,Thor,Hydra Tank,Thor
Avengers: Age of Ultron,1.58,0.0112,Hulk,Hydra Mooks,Hulk
Avengers: Age of Ultron,1.72,0.0122,Avengers,Hydra Mooks,Avengers
Avengers: Age of Ultron,1.78,0.0126,Iron Man,Hydra Mooks,Iron Man
Avengers: Age of Ultron,1.88,0.0133,Iron Man,Hydra Shield,Hydra Shield
Avengers: Age of Ultron,2.07,0.0147,Thor,Hydra Mooks,Thor
Avengers: Age of Ultron,2.17,0.0154,Thor,Hydra Mooks,Thor
Avengers: Age of Ultron,2.2,0.0156,Thor,Hydra Mooks,Thor
Avengers: Age of Ultron,2.3,0.0163,Black Widow,Hydra Mooks,Black Widow
Avengers: Age of Ultron,2.33,0.0165,Black Widow,Hydra Mooks,Black Widow
Avengers: Age of Ultron,2.38,0.0169,Black Widow,Hydra Mooks,Black Widow
Avengers: Age of Ultron,2.47,0.0175,Black Widow,Hydra Mooks,Black Widow
Avengers: Age of Ultron,2.55,0.0181,Hawkeye,Hydra Mooks,Hawkeye
Avengers: Age of Ultron,2.6,0.0184,Iron Man,Hydra Mooks,Iron Man
Avengers: Age of Ultron,2.77,0.0196,Captain America,Hydra Mooks,Captain America
Avengers: Age of Ultron,3.7,0.0262,Iron Man,Hydra Mooks,inconclusive
Avengers: Age of Ultron,5.05,0.0358,Hawkeye,Quicksilver,Quicksilver
Avengers: Age of Ultron,5.15,0.0365,Hawkeye,Quicksilver,Quicksilver
Avengers: Age of Ultron,5.35,0.0379,Hydra Mooks,Hawkeye,Hydra Mooks
Avengers: Age of Ultron,5.38,0.0382,Quicksilver,Captain America,Quicksilver
Avengers: Age of Ultron,5.62,0.0399,Hulk,Hydra Mooks,Hulk
Avengers: Age of Ultron,5.75,0.0408,Captain America,Hydra Mooks,Captain America
Avengers: Age of Ultron,5.88,0.0417,Iron Man,Hydra Mooks,Iron Man
Avengers: Age of Ultron,5.95,0.0422,Iron Man,Hydra Mooks,Iron Man
Avengers: Age of Ultron,6.02,0.0427,Iron Man,Hydra Mooks,Iron Man
Avengers: Age of Ultron,6.17,0.0438,Iron Man,Hydra Shield,Iron Man
Avengers: Age of Ultron,6.27,0.0445,Thor,Hydra Mooks,Thor
Avengers: Age of Ultron,6.63,0.047,Thor,Hydra Tank,Thor
Avengers: Age of Ultron,6.63,0.047,Thor,Hydra Mooks,Thor
Avengers: Age of Ultron,6.98,0.0495,Iron Man,Hydra Mooks,Iron Man
Avengers: Age of Ultron,7.08,0.0502,Iron Man,Scientist Mook,Iron Man
Avengers: Age of Ultron,9.77,0.0693,Strucker,Captain America,Captain America
Avengers: Age of Ultron,30.58,0.2169,Ultron's Mooks,Captain America,Ultron's Mooks
Avengers: Age of Ultron,30.6,0.217,Maria Hill,Ultron's Mooks,inconclusive
Avengers: Age of Ultron,30.63,0.2172,Thor,Ultron's Mooks,Thor
Avengers: Age of Ultron,30.73,0.2179,War Machine,Ultron's Mooks,Ultron's Mooks
Avengers: Age of Ultron,30.8,0.2184,Thor,Ultron's Mooks,Thor
Avengers: Age of Ultron,30.9,0.2191,Ultron's Mooks,Hulk,Ultron's Mooks
Avengers: Age of Ultron,31.13,0.2208,Ultron's Mooks,Black Widow,inconclusive
Avengers: Age of Ultron,31.22,0.2214,Captain America,Ultron's Mooks,Ultron's Mooks
Avengers: Age of Ultron,31.32,0.2221,Black Widow,Ultron's Mooks,inconclusive
Avengers: Age of Ultron,31.35,0.2223,Hawkeye,Ultron's Mooks,Ultron's Mooks
Avengers: Age of Ultron,31.43,0.2229,Iron Man,Ultron's Mooks,Iron Man
Avengers: Age of Ultron,31.5,0.2234,Thor,Ultron's Mooks,Thor
Avengers: Age of Ultron,31.73,0.225,Captain America,Ultron's Mooks,Captain America
Avengers: Age of Ultron,31.75,0.2252,Thor,Ultron's Mooks,Thor
Avengers: Age of Ultron,31.77,0.2253,Iron Man,Ultron's Mooks,Iron Man
