Title,Time,NormalisedTS,Party A,Party B,"Outcome (A, B,  inconclusive)"
Captain America: Civil War,2.62,0.0178,The Winter Soldier,Howard Stark,Howard Stark
Captain America: Civil War,5.27,0.0359,Mercenary Mooks,Guard Mooks,Mercenary Mooks
Captain America: Civil War,5.57,0.0379,Mercenary Mooks,Guard Mooks,inconclusive
Captain America: Civil War,5.7,0.0388,Mercenary Mooks,Guard Mooks,Mercenary Mooks
Captain America: Civil War,5.83,0.0397,Captain America,Mercenary Mooks,Captain America
Captain America: Civil War,5.87,0.0399,Captain America,Mercenary Mooks,Captain America
Captain America: Civil War,5.95,0.0405,Captain America,Mercenary Mooks,Captain America
Captain America: Civil War,6.1,0.0415,Falcon,Mercenary Mooks,Falcon
Captain America: Civil War,6.15,0.0418,Falcon,Mercenary Mooks,Falcon
Captain America: Civil War,6.3,0.0429,Scarlet Witch,Mercenary Mooks,Scarlet Witch
Captain America: Civil War,6.67,0.0454,Captain America,Mercenary Mooks,Captain America
Captain America: Civil War,6.9,0.0469,Captain America,Mercenary Mooks,Mercenary Mooks
Captain America: Civil War,6.97,0.0474,Captain America,Mercenary Mooks,Captain America
Captain America: Civil War,7.07,0.0481,Captain America,Mercenary Mooks,Captain America
Captain America: Civil War,7.3,0.0497,Falcon,Mercenary Mooks,Falcon
Captain America: Civil War,7.72,0.0525,Black Widow,Mercenary Mooks,Black Widow
Captain America: Civil War,7.77,0.0529,Black Widow,Mercenary Mooks,Black Widow
Captain America: Civil War,7.88,0.0536,Black Widow,Mercenary Mooks,Black Widow
Captain America: Civil War,8.0,0.0544,Black Widow,Mercenary Mooks,Black Widow
Captain America: Civil War,8.05,0.0548,Crossbones,Black Widow,Crossbones
Captain America: Civil War,8.15,0.0554,Crossbones,Black Widow,Black Widow
Captain America: Civil War,8.28,0.0563,Crossbones,Black Widow,Crossbones
Captain America: Civil War,8.42,0.0573,Black Widow,Mercenary Mooks,Black Widow
