Title,Time,NormalisedTS,Party A,Party B,"Outcome (A, B,  inconclusive)"
Captain America: The Winter Soldier,1.07,0.0079,Captain America,Falcon,Captain America
Captain America: The Winter Soldier,5.57,0.041,Captain America,Mercenary Mooks,Captain America
Captain America: The Winter Soldier,5.68,0.0418,Captain America,Mercenary Mooks,Captain America
Captain America: The Winter Soldier,5.83,0.0429,Captain America,Mercenary Mooks,Captain America
Captain America: The Winter Soldier,6.03,0.0443,Captain America,Mercenary Mooks,Captain America
Captain America: The Winter Soldier,6.08,0.0447,Captain America,Mercenary Mooks,Captain America
Captain America: The Winter Soldier,6.27,0.0461,Captain America,Mercenary Mooks,Captain America
Captain America: The Winter Soldier,6.45,0.0474,Captain America,Mercenary Mooks,Captain America
Captain America: The Winter Soldier,6.82,0.0501,Captain America,Mercenary Mooks,Mercenary Mooks
Captain America: The Winter Soldier,6.83,0.0502,Crossbones,Mercenary Mooks,Crossbones
Captain America: The Winter Soldier,7.82,0.0575,Black Widow,Mercenary Mooks,Black Widow
Captain America: The Winter Soldier,7.97,0.0586,Black Widow,Mercenary Mooks,Black Widow
Captain America: The Winter Soldier,8.47,0.0623,Crossbones,Mercenary Mooks,Crossbones
Captain America: The Winter Soldier,9.38,0.069,Black Widow,Mercenary Mooks,Black Widow
Captain America: The Winter Soldier,10.08,0.0741,SHIELD Mooks,Mercenary Mooks,SHIELD Mooks
Captain America: The Winter Soldier,10.4,0.0765,Captain America,Georges Batroc,Georges Batroc
Captain America: The Winter Soldier,10.77,0.0792,Captain America,Georges Batroc,Georges Batroc
Captain America: The Winter Soldier,10.9,0.0801,Captain America,Georges Batroc,Georges Batroc
Captain America: The Winter Soldier,11.02,0.081,Captain America,Georges Batroc,Captain America
Captain America: The Winter Soldier,11.25,0.0827,Captain America,Georges Batroc,Captain America
Captain America: The Winter Soldier,11.73,0.0863,Captain America,Georges Batroc,Captain America
Captain America: The Winter Soldier,11.78,0.0866,Captain America,Georges Batroc,Captain America
Captain America: The Winter Soldier,11.83,0.087,Captain America,Georges Batroc,Captain America
Captain America: The Winter Soldier,12.0,0.0882,Captain America,Georges Batroc,Captain America
Captain America: The Winter Soldier,12.55,0.0923,Captain America,Georges Batroc,Georges Batroc
Captain America: The Winter Soldier,12.55,0.0923,Black Widow,Georges Batroc,Georges Batroc
Captain America: The Winter Soldier,26.73,0.1965,Nick Fury,Fake Police Mooks,Fake Police Mooks
Captain America: The Winter Soldier,27.32,0.2009,Nick Fury,Fake Police Mooks,inconclusive
Captain America: The Winter Soldier,28.18,0.2072,Nick Fury,Fake Police Mooks,Nick Fury
Captain America: The Winter Soldier,28.6,0.2103,Nick Fury,Fake Police Mooks,Nick Fury
Captain America: The Winter Soldier,29.6,0.2176,Nick Fury,Fake Police Mooks,inconclusive
Captain America: The Winter Soldier,29.93,0.2201,Nick Fury,Fake Police Mooks,Nick Fury
Captain America: The Winter Soldier,30.48,0.2241,Nick Fury,Fake Police Mooks,Fake Police Mooks
Captain America: The Winter Soldier,30.9,0.2272,Nick Fury,Fake Police Mooks,Nick Fury
Captain America: The Winter Soldier,31.2,0.2294,Nick Fury,The Winter Soldier,The Winter Soldier
Captain America: The Winter Soldier,31.92,0.2347,Nick Fury,The Winter Soldier,Nick Fury
Captain America: The Winter Soldier,34.73,0.2554,Nick Fury,The Winter Soldier,The Winter Soldier
Captain America: The Winter Soldier,35.97,0.2645,Captain America,The Winter Soldier,The Winter Soldier
Captain America: The Winter Soldier,45.97,0.338,Captain America,Crossbones,Crossbones
Captain America: The Winter Soldier,45.97,0.338,Captain America,SHIELD Mooks,SHIELD Mooks
Captain America: The Winter Soldier,46.17,0.3395,Captain America,Crossbones,Captain America
Captain America: The Winter Soldier,46.17,0.3395,Captain America,SHIELD Mooks,Captain America
Captain America: The Winter Soldier,46.35,0.3408,Captain America,Crossbones,Crossbones
