Title,Time,NormalisedTS,Party A,Party B,"Outcome (A, B,  inconclusive)"
Captain Marvel,2.53,0.0206,Captain Marvel,Yon-Rogg,Yon-Rogg
Captain Marvel,2.77,0.0225,Captain Marvel,Yon-Rogg,inconclusive
Captain Marvel,2.88,0.0234,Captain Marvel,Yon-Rogg,Yon-Rogg
Captain Marvel,3.03,0.0246,Captain Marvel,Yon-Rogg,Yon-Rogg
Captain Marvel,3.42,0.0278,Captain Marvel,Yon-Rogg,Yon-Rogg
Captain Marvel,3.52,0.0286,Captain Marvel,Yon-Rogg,Captain Marvel
Captain Marvel,12.4,0.1008,Minn-Erva,Skrull Mook,Minn-Erva
Captain Marvel,12.78,0.1039,Captain Marvel,Talos,Talos
Captain Marvel,12.88,0.1047,Yon-Rogg,Skrull Mook,Yon-Rogg
Captain Marvel,12.92,0.105,Minn-Erva,Skrull Mooks,Minn-Erva
Captain Marvel,13.27,0.1079,Yon-Rogg,Skrull Mooks,Yon-Rogg
Captain Marvel,13.47,0.1095,Korath,Skrull Mooks,Korath
Captain Marvel,13.5,0.1098,Yon-Rogg,Skrull Mooks,Yon-Rogg
Captain Marvel,13.53,0.11,Att-Lass,Skrull Mooks,Att-Lass
Captain Marvel,13.58,0.1104,Minn-Erva,Skrull Mooks,Minn-Erva
Captain Marvel,13.6,0.1106,Att-Lass,Skrull Mooks,Att-Lass
Captain Marvel,14.1,0.1146,Captain Marvel,Talos,Talos
Captain Marvel,15.68,0.1275,Captain Marvel,ropes,ropes
Captain Marvel,19.02,0.1546,Captain Marvel,skrull mind reading,Captain Marvel
Captain Marvel,19.13,0.1555,Captain Marvel,Skrull Mooks,Captain Marvel
Captain Marvel,19.22,0.1563,Captain Marvel,Skrull Mooks,Captain Marvel
Captain Marvel,19.93,0.162,Captain Marvel,Talos,Captain Marvel
Captain Marvel,19.97,0.1624,Captain Marvel,Skrull Mooks,Captain Marvel
Captain Marvel,20.0,0.1626,Captain Marvel,Skrull Mooks,Captain Marvel
Captain Marvel,20.2,0.1642,Captain Marvel,Skrull Mooks,Captain Marvel
Captain Marvel,20.42,0.166,Captain Marvel,Skrull Mooks,Captain Marvel
Captain Marvel,20.5,0.1667,Captain Marvel,Skrull Mook,Skrull Mook
Captain Marvel,20.55,0.1671,Captain Marvel,Skrull Mooks,Captain Marvel
Captain Marvel,20.58,0.1673,Captain Marvel,Skrull Mook,Skrull Mook
Captain Marvel,20.65,0.1679,Captain Marvel,Skrull Mooks,Captain Marvel
