Title,Time,NormalisedTS,Party A,Party B,"Outcome (A, B,  inconclusive)"
Guardians of the Galaxy Vol. 2,4.23,0.0311,Groot,Orlonan Mooks,Groot
Guardians of the Galaxy Vol. 2,4.53,0.0333,Guardians,IDM,inconclusive
Guardians of the Galaxy Vol. 2,5.23,0.0385,Star-Lord,IDM,IDM
Guardians of the Galaxy Vol. 2,5.32,0.0391,Rocket,IDM,Rocket
Guardians of the Galaxy Vol. 2,5.47,0.0402,Star-Lord,IDM,IDM
Guardians of the Galaxy Vol. 2,5.6,0.0412,Drax,IDM,IDM
Guardians of the Galaxy Vol. 2,5.73,0.0421,Gamora,IDM,inconclusive
Guardians of the Galaxy Vol. 2,5.9,0.0434,Star-Lord,IDM,inconclusive
Guardians of the Galaxy Vol. 2,6.0,0.0441,Drax,IDM,IDM
Guardians of the Galaxy Vol. 2,6.47,0.0476,Groot,bug,Groot
Guardians of the Galaxy Vol. 2,6.48,0.0476,Groot,Rocket,Rocket
Guardians of the Galaxy Vol. 2,6.72,0.0494,Groot,Orlonan Mook,Orlonan Mook
Guardians of the Galaxy Vol. 2,7.03,0.0517,Rocket,IDM,IDM
Guardians of the Galaxy Vol. 2,7.4,0.0544,Gamora,IDM,inconclusive
Guardians of the Galaxy Vol. 2,7.42,0.0546,Drax,IDM,IDM
Guardians of the Galaxy Vol. 2,7.67,0.0564,Gamora,IDM,inconclusive
Guardians of the Galaxy Vol. 2,7.9,0.0581,Drax,IDM,inconclusive
Guardians of the Galaxy Vol. 2,8.33,0.0612,Star-Lord,IDM,Star-Lord
Guardians of the Galaxy Vol. 2,8.33,0.0612,Rocket,IDM,Rocket
Guardians of the Galaxy Vol. 2,8.57,0.063,Rocket,IDM,IDM
Guardians of the Galaxy Vol. 2,8.75,0.0643,Star-Lord,IDM,IDM
Guardians of the Galaxy Vol. 2,8.92,0.0656,Gamora,IDM,Gamora
Guardians of the Galaxy Vol. 2,19.85,0.146,Sovereign Mooks,Drax,Drax
Guardians of the Galaxy Vol. 2,30.95,0.2276,Mantis,Rocket,Rocket
Guardians of the Galaxy Vol. 2,37.75,0.2776,Ravager Mooks,Rocket,Rocket
Guardians of the Galaxy Vol. 2,38.3,0.2816,Ravager Mooks,Rocket,Ravager Mooks
Guardians of the Galaxy Vol. 2,38.47,0.2829,Ravager Mooks,Rocket,Rocket
Guardians of the Galaxy Vol. 2,39.17,0.288,Ravager Mooks,Rocket,Rocket
Guardians of the Galaxy Vol. 2,39.73,0.2921,Ravager Mooks,Rocket,Rocket
Guardians of the Galaxy Vol. 2,40.0,0.2941,Yondu,Rocket,Yondu
Guardians of the Galaxy Vol. 2,41.85,0.3077,Taserface,Yondu,inconclusive
Guardians of the Galaxy Vol. 2,42.07,0.3093,Nebula,Yondu,Nebula
Guardians of the Galaxy Vol. 2,42.22,0.3104,Nebula,Rocket,Nebula
Guardians of the Galaxy Vol. 2,48.73,0.3583,Ravager Mooks,Ravager Mooks,Ravager Mooks
Guardians of the Galaxy Vol. 2,49.53,0.3642,Taserface,Yondu,Taserface
Guardians of the Galaxy Vol. 2,58.82,0.4325,Ravager Mooks,Yondu,Ravager Mooks
Guardians of the Galaxy Vol. 2,58.82,0.4325,Ravager Mooks,Rocket,Ravager Mooks
Guardians of the Galaxy Vol. 2,61.52,0.4524,Ravager Mooks,Groot,Ravager Mooks
