Title,Time,NormalisedTS,Party A,Party B,"Outcome (A, B,  inconclusive)"
Iron Man 3,22.32,0.1717,Iron Man,Iron Man,Iron Man
Iron Man 3,24.22,0.1863,Happy Hogan,Eric Savin,Happy Hogan
Iron Man 3,24.42,0.1878,Happy Hogan,Eric Savin,Eric Savin
Iron Man 3,33.0,0.2538,Iron Man,Mandarin Aircraft,Mandarin Aircraft
Iron Man 3,33.83,0.2602,Iron Man,Mandarin Aircraft,Mandarin Aircraft
Iron Man 3,34.37,0.2644,Iron Man,Mandarin Aircraft,Mandarin Aircraft
Iron Man 3,34.43,0.2648,Iron Man,Mandarin Aircraft,Mandarin Aircraft
Iron Man 3,34.87,0.2682,Iron Man,Mandarin Aircraft,Mandarin Aircraft
Iron Man 3,35.18,0.2706,Iron Man,Mandarin Aircraft,Mandarin Aircraft
Iron Man 3,35.33,0.2718,Iron Man,Mandarin Aircraft,Mandarin Aircraft
Iron Man 3,35.48,0.2729,Iron Man,Mandarin Aircraft,Iron Man
Iron Man 3,35.82,0.2755,Iron Man,Mandarin Aircraft,Iron Man
Iron Man 3,36.0,0.2769,Iron Man,Mandarin Aircraft,Mandarin Aircraft
Iron Man 3,36.3,0.2792,Iron Man,Mandarin Aircraft,Mandarin Aircraft
Iron Man 3,51.5,0.3962,Ellen Brandt,Iron Man,Ellen Brandt
Iron Man 3,51.9,0.3992,Ellen Brandt,Police Mook,Ellen Brandt
Iron Man 3,52.27,0.4021,Harley Keener,Eric Savin,Harley Keener
Iron Man 3,52.57,0.4044,Ellen Brandt,Good Old Mook,Ellen Brandt
Iron Man 3,52.67,0.4052,Ellen Brandt,Iron Man,Ellen Brandt
Iron Man 3,52.83,0.4064,Ellen Brandt,Iron Man,Ellen Brandt
Iron Man 3,52.88,0.4068,Ellen Brandt,Iron Man,Ellen Brandt
Iron Man 3,52.97,0.4075,Ellen Brandt,Iron Man,Ellen Brandt
Iron Man 3,53.08,0.4083,Ellen Brandt,Iron Man,Iron Man
Iron Man 3,53.8,0.4138,Ellen Brandt,Iron Man,Iron Man
Iron Man 3,54.3,0.4177,Eric Savin,Iron Man,Eric Savin
Iron Man 3,54.8,0.4215,Eric Savin,Harley Keener,Eric Savin
Iron Man 3,55.1,0.4238,Eric Savin,Harley Keener,Harley Keener
Iron Man 3,55.23,0.4248,Eric Savin,Iron Man,Iron Man
Iron Man 3,58.85,0.4527,Trevor Slattery,Mook,Trevor Slattery
Iron Man 3,60.02,0.4617,War Machine,Random Mooks,War Machine
Iron Man 3,66.05,0.5081,Aldrich Killian,Mook,Aldrich Killian
Iron Man 3,66.08,0.5083,Aldrich Killian,Pepper Potts,Aldrich Killian
Iron Man 3,66.87,0.5144,War Machine,Sewing Mooks,War Machine
Iron Man 3,67.22,0.5171,War Machine,Extremis Mook,Extremis Mook
Iron Man 3,70.45,0.5419,Iron Man,Guard Mooks,Iron Man
Iron Man 3,70.48,0.5422,Iron Man,Guard Mooks,Iron Man
Iron Man 3,70.5,0.5423,Iron Man,Guard Mooks,Iron Man
Iron Man 3,70.68,0.5437,Iron Man,Guard Mooks,Iron Man
Iron Man 3,70.72,0.544,Iron Man,Guard Mooks,Iron Man
Iron Man 3,71.17,0.5475,Iron Man,Guard Mooks,Iron Man
Iron Man 3,72.5,0.5577,Iron Man,Trevor Slattery,Iron Man
Iron Man 3,75.17,0.5782,Eric Savin,Iron Man,Eric Savin
Iron Man 3,79.98,0.6152,Aldrich Killian,Maya Hansen,Aldrich Killian
Iron Man 3,81.27,0.6252,Aldrich Killian,War Machine,Aldrich Killian
Iron Man 3,82.25,0.6327,War Machine,Eric Savin,War Machine
Iron Man 3,82.32,0.6332,Aldrich Killian,War Machine,Aldrich Killian
Iron Man 3,83.32,0.6409,Iron Man,Guard Mook,Iron Man
Iron Man 3,83.48,0.6422,Iron Man,Guard Mook,Iron Man
Iron Man 3,83.88,0.6452,Iron Man,Guard Mooks,Iron Man
Iron Man 3,84.02,0.6463,Iron Man,Guard Mooks,Iron Man
Iron Man 3,84.15,0.6473,Iron Man,Guard Mooks,Guard Mooks
Iron Man 3,84.28,0.6483,Iron Man,Guard Mooks,Iron Man
Iron Man 3,84.37,0.649,Iron Man,Guard Mooks,Iron Man
Iron Man 3,84.55,0.6504,Iron Man,Guard Mooks,Iron Man
Iron Man 3,85.1,0.6546,War Machine,Guard Mooks,War Machine
Iron Man 3,85.13,0.6548,War Machine,Guard Mooks,War Machine
Iron Man 3,85.68,0.6591,War Machine,Guard Mooks,War Machine
Iron Man 3,88.82,0.6832,Eric Savin,Secret Service Mook,Eric Savin
Iron Man 3,89.1,0.6854,Eric Savin,Secret Service Mook,Eric Savin
Iron Man 3,89.2,0.6862,Eric Savin,Secret Service Mook,Eric Savin
Iron Man 3,89.25,0.6865,Eric Savin,Secret Service Mook,Eric Savin
Iron Man 3,89.37,0.6875,Eric Savin,Secret Service Mook,Eric Savin
Iron Man 3,89.5,0.6885,Eric Savin,President Ellis,Eric Savin
Iron Man 3,90.2,0.6938,Iron Man,Eric Savin,Iron Man
Iron Man 3,90.32,0.6948,Iron Man,Eric Savin,Iron Man
Iron Man 3,90.52,0.6963,Iron Man,Eric Savin,Eric Savin
Iron Man 3,90.78,0.6983,Iron Man,Eric Savin,Eric Savin
Iron Man 3,90.87,0.699,Iron Man,Eric Savin,Iron Man
Iron Man 3,93.17,0.7167,Iron Man,truck,truck
Iron Man 3,96.98,0.746,Iron Man,Guard Mook,Guard Mook
Iron Man 3,97.22,0.7478,War Machine,light,War Machine
Iron Man 3,98.65,0.7588,Iron Man Mooks,Extremis Mooks,Iron Man Mooks
Iron Man 3,98.77,0.7598,Iron Man Mooks,Extremis Mooks,Iron Man Mooks
Iron Man 3,98.85,0.7604,Iron Man Mooks,Extremis Mooks,Extremis Mooks
Iron Man 3,99.28,0.7637,Iron Man Mooks,Extremis Mooks,inconclusive
Iron Man 3,99.43,0.7648,Iron Man Mooks,Extremis Mooks,Extremis Mooks
Iron Man 3,99.45,0.765,Iron Man Mooks,Extremis Mooks,Iron Man Mooks
Iron Man 3,99.55,0.7658,Iron Man Mooks,Extremis Mooks,Extremis Mooks
Iron Man 3,100.2,0.7708,Iron Man Mooks,Extremis Mooks,Extremis Mooks
Iron Man 3,100.37,0.7721,Iron Man Mooks,Extremis Mooks,Iron Man Mooks
Iron Man 3,101.05,0.7773,Aldrich Killian,Iron Man,Aldrich Killian
Iron Man 3,101.45,0.7804,Aldrich Killian,Iron Man,Aldrich Killian
Iron Man 3,101.67,0.7821,Aldrich Killian,Iron Man,Iron Man
Iron Man 3,101.87,0.7836,Iron Man Mooks,Extremis Mooks,Extremis Mooks
Iron Man 3,101.88,0.7837,Iron Man Mooks,Extremis Mooks,Iron Man Mooks
Iron Man 3,102.18,0.786,Iron Man Mooks,Extremis Mooks,Iron Man Mooks
Iron Man 3,102.47,0.7882,Iron Man Mooks,Extremis Mooks,Extremis Mooks
Iron Man 3,102.78,0.7906,War Machine,Extremis Mooks,War Machine
Iron Man 3,102.93,0.7918,War Machine,Extremis Mooks,Extremis Mooks
Iron Man 3,104.82,0.8063,Iron Man,Aldrich Killian,Iron Man
Iron Man 3,104.97,0.8075,Iron Man,Aldrich Killian,Iron Man
Iron Man 3,104.98,0.8075,Iron Man,Aldrich Killian,Aldrich Killian
Iron Man 3,105.03,0.8079,Iron Man,Aldrich Killian,Aldrich Killian
Iron Man 3,105.07,0.8082,Iron Man,Aldrich Killian,Aldrich Killian
Iron Man 3,105.2,0.8092,Iron Man,Aldrich Killian,Iron Man
Iron Man 3,105.28,0.8098,Iron Man,Aldrich Killian,Iron Man
Iron Man 3,105.43,0.811,Iron Man,Aldrich Killian,Aldrich Killian
Iron Man 3,105.47,0.8113,Iron Man,Aldrich Killian,Iron Man
Iron Man 3,105.53,0.8118,Iron Man,Aldrich Killian,Aldrich Killian
Iron Man 3,105.62,0.8125,Iron Man,Aldrich Killian,Iron Man
Iron Man 3,105.68,0.8129,Iron Man,Aldrich Killian,Aldrich Killian
Iron Man 3,105.78,0.8137,Iron Man,Aldrich Killian,Aldrich Killian
Iron Man 3,105.85,0.8142,Iron Man,Aldrich Killian,Aldrich Killian
Iron Man 3,105.98,0.8152,Iron Man,Aldrich Killian,Aldrich Killian
Iron Man 3,106.88,0.8222,Iron Man,Aldrich Killian,Iron Man
Iron Man 3,108.42,0.834,Pepper Potts,Aldrich Killian,Pepper Potts
Iron Man 3,108.8,0.8369,Iron Man Mooks,Pepper Potts,inconclusive
Iron Man 3,108.95,0.8381,Iron Man Mooks,Pepper Potts,Pepper Potts
Iron Man 3,109.08,0.8391,Pepper Potts,Aldrich Killian,Pepper Potts
Iron Man 3,109.2,0.84,Pepper Potts,Aldrich Killian,Pepper Potts
