Title,Time,NormalisedTS,Party A,Party B,"Outcome (A, B,  inconclusive)"
The Avengers,5.6,0.0392,Loki,Nick Fury,Loki
The Avengers,5.62,0.0393,Loki,SHIELD Mooks,Loki
The Avengers,5.67,0.0397,Loki,SHIELD Mooks,Loki
The Avengers,5.68,0.0397,Loki,Scientist Mook,Loki
The Avengers,5.7,0.0399,Loki,SHIELD Mooks,Loki
The Avengers,5.73,0.0401,Loki,Hawkeye,Hawkeye
The Avengers,5.77,0.0403,Loki,SHIELD Mooks,Loki
The Avengers,5.78,0.0404,Loki,SHIELD Mooks,Loki
The Avengers,7.87,0.055,Hawkeye,Nick Fury,Hawkeye
The Avengers,8.4,0.0587,Hawkeye,Maria Hill,Hawkeye
The Avengers,8.5,0.0594,Hawkeye,Maria Hill,inconclusive
The Avengers,8.88,0.0621,Loki,SHIELD Mooks,Loki
The Avengers,9.43,0.0659,Maria Hill,Hawkeye,inconclusive
The Avengers,9.7,0.0678,Maria Hill,Hawkeye,inconclusive
The Avengers,10.78,0.0754,Nick Fury,Loki,Loki
The Avengers,14.35,0.1003,Black Widow,Soldier Mooks,Black Widow
The Avengers,14.43,0.1009,Black Widow,Soldier Mooks,Black Widow
The Avengers,14.6,0.1021,Black Widow,Soldier Mooks,Black Widow
The Avengers,14.68,0.1027,Black Widow,Soldier Mooks,Black Widow
The Avengers,14.77,0.1033,Black Widow,Soldier Mooks,Black Widow
The Avengers,14.92,0.1043,Black Widow,Soldier Mooks,Black Widow
The Avengers,21.2,0.1483,Captain America,punching bag,Captain America
The Avengers,38.07,0.2662,Hawkeye,Guard Mooks,Hawkeye
The Avengers,38.7,0.2706,Loki,Guard Mook,Loki
The Avengers,38.82,0.2715,Loki,Museum Mook,Loki
The Avengers,39.8,0.2783,Loki,Police Mooks,Loki
The Avengers,41.27,0.2886,Loki,Captain America,Captain America
The Avengers,41.7,0.2916,Loki,Black Widow,inconclusive
The Avengers,41.72,0.2917,Loki,Captain America,inconclusive
The Avengers,41.82,0.2924,Loki,Captain America,Loki
The Avengers,41.97,0.2935,Loki,Captain America,Loki
The Avengers,42.15,0.2948,Loki,Captain America,Captain America
The Avengers,42.18,0.295,Loki,Captain America,Loki
The Avengers,42.4,0.2965,Iron Man,Loki,Iron Man
The Avengers,44.07,0.3082,Iron Man,Thor,Thor
The Avengers,44.9,0.314,Thor,Loki,Thor
The Avengers,47.12,0.3295,Iron Man,Thor,Iron Man
The Avengers,47.75,0.3339,Iron Man,Thor,Thor
