Title,Time,NormalisedTS,Party A,Party B,"Outcome (A, B,  inconclusive)"
The Incredible Hulk,5.0,0.0446,Hulk,Martial Arts Mook,Martial Arts Mook
The Incredible Hulk,17.58,0.157,Abomination,dog,Abomination
The Incredible Hulk,18.72,0.1671,Soldier Mooks,Hulk,Soldier Mooks
The Incredible Hulk,20.43,0.1824,Thaddeus Ross,Hulk,Thaddeus Ross
The Incredible Hulk,20.85,0.1862,Cannery Mooks,Hulk,Hulk
The Incredible Hulk,22.18,0.198,Cannery Mooks,Hulk,Cannery Mooks
The Incredible Hulk,22.35,0.1996,Cannery Mooks,Hulk,Cannery Mooks
The Incredible Hulk,22.9,0.2045,Cannery Mooks,Soldier Mooks,Soldier Mooks
The Incredible Hulk,23.23,0.2074,Cannery Mooks,Hulk,Hulk
The Incredible Hulk,23.45,0.2094,Cannery Mooks,Hulk,Hulk
The Incredible Hulk,23.65,0.2112,Cannery Mooks,Hulk,Hulk
The Incredible Hulk,23.92,0.2136,Soldier Mooks,Hulk,Hulk
The Incredible Hulk,24.02,0.2145,Soldier Mooks,Hulk,Hulk
The Incredible Hulk,24.28,0.2168,Soldier Mooks,Hulk,Hulk
The Incredible Hulk,24.4,0.2179,Soldier Mooks,Hulk,Hulk
The Incredible Hulk,24.68,0.2204,Soldier Mooks,Hulk,inconclusive
The Incredible Hulk,24.95,0.2228,Soldier Mooks,Hulk,inconclusive
The Incredible Hulk,25.2,0.225,Soldier Mooks,Hulk,Hulk
The Incredible Hulk,25.83,0.2306,Soldier Mooks,Hulk,Soldier Mooks
The Incredible Hulk,26.08,0.2329,Soldier Mooks,Hulk,Hulk
The Incredible Hulk,49.07,0.4381,Soldier Mooks,Hulk,Soldier Mooks
The Incredible Hulk,50.75,0.4531,Soldier Mooks,Hulk,Soldier Mooks
The Incredible Hulk,51.05,0.4558,Soldier Mooks,Hulk,Soldier Mooks
The Incredible Hulk,51.38,0.4588,Betty Ross,Soldier Mooks,Betty Ross
The Incredible Hulk,51.45,0.4594,Betty Ross,Soldier Mooks,Soldier Mooks
The Incredible Hulk,52.43,0.4681,Soldier Mooks,Hulk,Soldier Mooks
The Incredible Hulk,52.75,0.471,Soldier Tank,Hulk,Hulk
The Incredible Hulk,52.97,0.4729,Soldier Tank,Hulk,Hulk
The Incredible Hulk,53.05,0.4737,Soldier Tank,Hulk,Hulk
The Incredible Hulk,53.3,0.4759,Soldier Tank,Hulk,Hulk
The Incredible Hulk,53.63,0.4788,Abomination,Hulk,Abomination
The Incredible Hulk,53.72,0.4796,Abomination,Hulk,Abomination
The Incredible Hulk,53.85,0.4808,Abomination,Hulk,Hulk
The Incredible Hulk,53.92,0.4814,Abomination,Hulk,Abomination
The Incredible Hulk,54.1,0.483,Abomination,Hulk,inconclusive
The Incredible Hulk,54.23,0.4842,Abomination,Hulk,Hulk
The Incredible Hulk,54.93,0.4904,Soldier Tank,Hulk,Soldier Tank
The Incredible Hulk,55.83,0.4985,Soldier Tank,Hulk,Hulk
The Incredible Hulk,56.2,0.5018,Abomination,Hulk,inconclusive
The Incredible Hulk,56.48,0.5043,Abomination,Hulk,Hulk
The Incredible Hulk,57.25,0.5112,Aircraft,Hulk,Aircraft
The Incredible Hulk,57.33,0.5119,Aircraft,Hulk,Hulk
The Incredible Hulk,60.5,0.5402,Hulk,the storm,inconclusive
The Incredible Hulk,82.75,0.7388,Soldier Mooks,Hulk,Soldier Mooks
The Incredible Hulk,82.93,0.7404,Abomination,Betty Ross,Abomination
The Incredible Hulk,83.17,0.7426,Abomination,Hulk,Abomination
The Incredible Hulk,84.32,0.7529,Abomination,Soldier Mooks,Abomination
The Incredible Hulk,86.35,0.771,Dr. Samuel Sterns,-,-
The Incredible Hulk,86.58,0.773,Dr. Samuel Sterns,Abomination,Abomination
The Incredible Hulk,86.95,0.7763,Abomination,Soldier Mooks,Abomination
The Incredible Hulk,88.7,0.792,Abomination,cars,Abomination
The Incredible Hulk,89.2,0.7964,Abomination,Police Mooks,Abomination
The Incredible Hulk,89.5,0.7991,Abomination,Soldier Mooks,Abomination
The Incredible Hulk,89.72,0.8011,Abomination,cars,Abomination
The Incredible Hulk,90.0,0.8036,Abomination,cars,Abomination
The Incredible Hulk,90.43,0.8074,Abomination,Soldier Mooks,Abomination
The Incredible Hulk,93.18,0.832,Hulk,Abomination,Abomination
The Incredible Hulk,93.75,0.8371,Hulk,cars,Hulk
The Incredible Hulk,94.02,0.8395,Hulk,Abomination,Hulk
The Incredible Hulk,94.1,0.8402,Hulk,Abomination,Hulk
The Incredible Hulk,94.3,0.842,Hulk,Abomination,Abomination
The Incredible Hulk,94.68,0.8454,Soldier Mooks,Abomination,Soldier Mooks
The Incredible Hulk,94.87,0.8471,Soldier Mooks,Abomination,Soldier Mooks
The Incredible Hulk,95.2,0.85,Soldier Mooks,Abomination,Soldier Mooks
The Incredible Hulk,95.35,0.8513,Hulk,Abomination,Hulk
The Incredible Hulk,95.53,0.8529,Hulk,Abomination,Abomination
The Incredible Hulk,95.87,0.856,Soldier Mooks,Abomination,Abomination
The Incredible Hulk,95.87,0.856,Soldier Mooks,Abomination,Soldier Mooks
The Incredible Hulk,97.43,0.8699,Hulk,Abomination,Abomination
The Incredible Hulk,97.85,0.8737,Hulk,Abomination,Abomination
The Incredible Hulk,98.37,0.8783,Hulk,Abomination,Hulk
The Incredible Hulk,98.63,0.8806,Hulk,fire,Hulk
The Incredible Hulk,98.85,0.8826,Hulk,Abomination,Abomination
The Incredible Hulk,99.13,0.8851,Hulk,Abomination,Abomination
The Incredible Hulk,99.68,0.89,Hulk,Abomination,Hulk
The Incredible Hulk,99.88,0.8918,Hulk,Abomination,Hulk
The Incredible Hulk,100.08,0.8936,Hulk,Abomination,Hulk
The Incredible Hulk,100.2,0.8946,Hulk,Abomination,Abomination
The Incredible Hulk,100.27,0.8953,Hulk,Abomination,Hulk
The Incredible Hulk,100.88,0.9007,Hulk,Abomination,Hulk
