Title,Time,NormalisedTS,Party A,Party B,"Outcome (A, B,  inconclusive)"
Thor: The Dark World,1.38,0.0123,"Bor, Asgardian Mooks",Malekith,"Bor, Asgardian Mooks"
Thor: The Dark World,1.38,0.0123,Bor,Kurse,Bor
Thor: The Dark World,1.38,0.0123,Asgardian Mooks,Kurse,Asgardian Mooks
Thor: The Dark World,1.38,0.0123,Bor,Dark Elf Mooks,Bor
Thor: The Dark World,1.38,0.0123,Asgardian Mooks,Dark Elf Mooks,Asgardian Mooks
Thor: The Dark World,1.38,0.0123,Asgardian Mooks,Malekith,Asgardian Mooks
Thor: The Dark World,1.38,0.0123,Asgardian Mooks,Kurse,Asgardian Mooks
Thor: The Dark World,1.38,0.0123,Asgardian Mooks,Dark Elf Mooks,Asgardian Mooks
Thor: The Dark World,6.15,0.0549,Sif,Marauder Mooks,Sif
Thor: The Dark World,6.2,0.0554,Volstagg,Marauder Mooks,Volstagg
Thor: The Dark World,6.33,0.0565,Sif,Marauder Mooks,Sif
Thor: The Dark World,6.35,0.0567,Sif,Marauder Mooks,Marauder Mooks
Thor: The Dark World,6.35,0.0567,Thor,Marauder Mooks,Thor
Thor: The Dark World,6.65,0.0594,Thor,Marauder Mooks,Thor
Thor: The Dark World,6.77,0.0604,Thor,Marauder Mooks,Marauder Mooks
Thor: The Dark World,6.83,0.061,Fandral,Marauder Mooks,Fandral
Thor: The Dark World,6.87,0.0613,Hogun,Marauder Mooks,Hogun
Thor: The Dark World,6.95,0.0621,Fandral,Marauder Mooks,Fandral
Thor: The Dark World,7.03,0.0628,Sif,Marauder Mooks,Sif
Thor: The Dark World,7.05,0.0629,Thor,Marauder Mooks,Marauder Mooks
Thor: The Dark World,7.13,0.0637,Thor,Marauder Mooks,Marauder Mooks
Thor: The Dark World,7.13,0.0637,Sif,Marauder Mooks,Sif
Thor: The Dark World,7.25,0.0647,Thor,Marauder Mooks,Thor
Thor: The Dark World,8.12,0.0725,Thor,Marauder Tank,Thor
Thor: The Dark World,26.83,0.2396,Jane Foster,Police Mooks,Jane Foster
Thor: The Dark World,30.08,0.2686,Jane Foster,Asgardian Mooks,Jane Foster
Thor: The Dark World,36.93,0.3297,Kurse,Marauder Mooks,Kurse
Thor: The Dark World,37.4,0.3339,Kurse,Asgardian Mooks,Kurse
Thor: The Dark World,38.38,0.3427,Marauder Mooks,Asgardian Mooks,inconclusive
Thor: The Dark World,38.67,0.3453,Volstagg,Marauder Mooks,Volstagg
Thor: The Dark World,38.73,0.3458,Fandral,Marauder Mooks,Fandral
Thor: The Dark World,38.83,0.3467,Volstagg,Marauder Mooks,Volstagg
Thor: The Dark World,39.17,0.3497,Thor,Marauder Mooks,Thor
Thor: The Dark World,40.47,0.3613,Heimdall,Dark Elf Aircraft,Heimdall
Thor: The Dark World,42.42,0.3788,Kurse,Asgardian Mooks,Kurse
Thor: The Dark World,43.93,0.3922,Dark Elf Mooks,Asgardian Mooks,Dark Elf Mooks
Thor: The Dark World,44.08,0.3936,Dark Elf Mooks,Asgardian Mooks,Dark Elf Mooks
Thor: The Dark World,44.32,0.3957,Dark Elf Mooks,Asgardian Mooks,Asgardian Mooks
Thor: The Dark World,44.37,0.3962,Dark Elf Mooks,Asgardian Mooks,Dark Elf Mooks
Thor: The Dark World,44.95,0.4013,Odin,Dark Elf Mooks,Odin
