Title,Time,NormalisedTS,Party A,Party B,"Outcome (A, B,  inconclusive)"
Avengers: Age of Ultron,1.88,0.0133,Iron Man,Hydra Shield,Hydra Shield
Avengers: Age of Ultron,5.05,0.0358,Hawkeye,Quicksilver,Quicksilver
Avengers: Age of Ultron,5.15,0.0365,Hawkeye,Quicksilver,Quicksilver
Avengers: Age of Ultron,5.38,0.0382,Quicksilver,Captain America,Quicksilver
Avengers: Age of Ultron,6.17,0.0438,Iron Man,Hydra Shield,Iron Man
Avengers: Age of Ultron,9.77,0.0693,Strucker,Captain America,Captain America
Avengers: Age of Ultron,32.6,0.2312,Thor,Ultron,Thor
Avengers: Age of Ultron,41.0,0.2908,Ultron,Strucker,Ultron
Avengers: Age of Ultron,43.15,0.306,Quicksilver,Ulysses Klaue,Quicksilver
Avengers: Age of Ultron,44.37,0.3147,Ultron,Ulysses Klaue,Ultron
Avengers: Age of Ultron,45.58,0.3233,Ultron,Ulysses Klaue,Ultron
Avengers: Age of Ultron,45.9,0.3255,Ultron,Ulysses Klaue,Ultron
Avengers: Age of Ultron,46.9,0.3326,Ultron,Iron Man,Ultron
Avengers: Age of Ultron,46.98,0.3332,Ultron,Iron Man,Ultron
Avengers: Age of Ultron,47.1,0.334,Quicksilver,Thor,Quicksilver
Avengers: Age of Ultron,47.17,0.3345,Scarlet Witch,Captain America,Scarlet Witch
Avengers: Age of Ultron,47.52,0.337,Iron Man,Ultron,inconclusive
Avengers: Age of Ultron,47.57,0.3374,Captain America,Quicksilver,Quicksilver
Avengers: Age of Ultron,47.73,0.3385,Thor,Quicksilver,Thor
Avengers: Age of Ultron,47.85,0.3394,Iron Man,Ultron,inconclusive
Avengers: Age of Ultron,48.07,0.3409,Captain America,Quicksilver,Captain America
Avengers: Age of Ultron,48.82,0.3462,Captain America,Quicksilver,Quicksilver
Avengers: Age of Ultron,49.23,0.3491,Hawkeye,Scarlet Witch,Hawkeye
Avengers: Age of Ultron,49.33,0.3499,Quicksilver,Hawkeye,Quicksilver
Avengers: Age of Ultron,52.47,0.3721,Iron Man,Ultron,Iron Man
Avengers: Age of Ultron,52.72,0.3739,Iron Man,Ultron,Iron Man
