Title,Time,NormalisedTS,Party A,Party B,"Outcome (A, B,  inconclusive)"
Captain America: The First Avenger,19.5,0.1573,Peggy Carter,Gilmore Hodge,Peggy Carter
Captain America: The First Avenger,36.62,0.2953,Heinz Kruger,Dr. Abraham Erskine,Heinz Kruger
Captain America: The First Avenger,36.68,0.2958,Heinz Kruger,Peggy Carter,inconclusive
Captain America: The First Avenger,37.57,0.303,Heinz Kruger,Peggy Carter,Peggy Carter
Captain America: The First Avenger,38.77,0.3127,Captain America,Heinz Kruger,Captain America
Captain America: The First Avenger,39.05,0.3149,Captain America,Heinz Kruger,Captain America
Captain America: The First Avenger,39.45,0.3181,Captain America,Heinz Kruger,Captain America
Captain America: The First Avenger,39.7,0.3202,Captain America,Heinz Kruger,Heinz Kruger
Captain America: The First Avenger,40.02,0.3227,Captain America,Heinz Kruger,Captain America
Captain America: The First Avenger,40.57,0.3272,Captain America,Heinz Kruger,Captain America
Captain America: The First Avenger,40.8,0.329,Captain America,Heinz Kruger,Captain America
Captain America: The First Avenger,63.18,0.5095,Captain America,Red Skull,Red Skull
Captain America: The First Avenger,63.25,0.5101,Captain America,Red Skull,Captain America
Captain America: The First Avenger,75.83,0.6115,Captain America,Peggy Carter,Peggy Carter
Captain America: The First Avenger,90.97,0.7336,Captain America,Red Skull,Red Skull
Captain America: The First Avenger,91.37,0.7369,Captain America,Red Skull,Captain America
Captain America: The First Avenger,92.73,0.7478,Captain America,Red Skull,inconclusive
Captain America: The First Avenger,95.5,0.7702,Captain America,Red Skull,Captain America
Captain America: The First Avenger,95.5,0.7702,Peggy Carter,Red Skull,Peggy Carter
Captain America: The First Avenger,95.5,0.7702,Colonel Chester Phillips,Red Skull,Colonel Chester Phillips
Captain America: The First Avenger,97.78,0.7885,Captain America,Red Skull,inconclusive
Captain America: The First Avenger,98.62,0.7953,Captain America,Red Skull,inconclusive
Captain America: The First Avenger,98.78,0.7966,Captain America,Red Skull,Red Skull
Captain America: The First Avenger,98.93,0.7978,Captain America,Red Skull,Captain America
Captain America: The First Avenger,99.15,0.7996,Captain America,Red Skull,inconclusive
Captain America: The First Avenger,99.27,0.8006,Captain America,Red Skull,Captain America
Captain America: The First Avenger,99.37,0.8014,Captain America,Red Skull,Red Skull
Captain America: The First Avenger,99.8,0.8048,Captain America,Red Skull,Captain America
Captain America: The First Avenger,100.07,0.807,Captain America,Red Skull,Captain America
