Title,Time,NormalisedTS,Party A,Party B,"Outcome (A, B,  inconclusive)"
Captain America: The Winter Soldier,1.07,0.0079,Captain America,Falcon,Captain America
Captain America: The Winter Soldier,10.4,0.0765,Captain America,Georges Batroc,Georges Batroc
Captain America: The Winter Soldier,10.77,0.0792,Captain America,Georges Batroc,Georges Batroc
Captain America: The Winter Soldier,10.9,0.0801,Captain America,Georges Batroc,Georges Batroc
Captain America: The Winter Soldier,11.02,0.081,Captain America,Georges Batroc,Captain America
Captain America: The Winter Soldier,11.25,0.0827,Captain America,Georges Batroc,Captain America
Captain America: The Winter Soldier,11.73,0.0863,Captain America,Georges Batroc,Captain America
Captain America: The Winter Soldier,11.78,0.0866,Captain America,Georges Batroc,Captain America
Captain America: The Winter Soldier,11.83,0.087,Captain America,Georges Batroc,Captain America
Captain America: The Winter Soldier,12.0,0.0882,Captain America,Georges Batroc,Captain America
Captain America: The Winter Soldier,12.55,0.0923,Captain America,Georges Batroc,Georges Batroc
Captain America: The Winter Soldier,12.55,0.0923,Black Widow,Georges Batroc,Georges Batroc
Captain America: The Winter Soldier,31.2,0.2294,Nick Fury,The Winter Soldier,The Winter Soldier
Captain America: The Winter Soldier,31.92,0.2347,Nick Fury,The Winter Soldier,Nick Fury
Captain America: The Winter Soldier,34.73,0.2554,Nick Fury,The Winter Soldier,The Winter Soldier
Captain America: The Winter Soldier,35.97,0.2645,Captain America,The Winter Soldier,The Winter Soldier
Captain America: The Winter Soldier,45.97,0.338,Captain America,Crossbones,Crossbones
Captain America: The Winter Soldier,46.17,0.3395,Captain America,Crossbones,Captain America
Captain America: The Winter Soldier,46.35,0.3408,Captain America,Crossbones,Crossbones
Captain America: The Winter Soldier,46.42,0.3413,Captain America,Crossbones,Captain America
Captain America: The Winter Soldier,46.73,0.3436,Captain America,Crossbones,Crossbones
Captain America: The Winter Soldier,46.9,0.3449,Captain America,Crossbones,Captain America
Captain America: The Winter Soldier,64.67,0.4755,Captain America,Crossbones,Captain America
Captain America: The Winter Soldier,66.18,0.4866,Alexander Pierce,Renata,Alexander Pierce
Captain America: The Winter Soldier,71.33,0.5245,Captain America,Sitwell,Captain America
Captain America: The Winter Soldier,73.53,0.5407,The Winter Soldier,Sitwell,The Winter Soldier
Captain America: The Winter Soldier,73.7,0.5419,The Winter Soldier,Falcon,Falcon
Captain America: The Winter Soldier,74.07,0.5446,The Winter Soldier,Falcon,The Winter Soldier
Captain America: The Winter Soldier,74.22,0.5457,The Winter Soldier,Falcon,The Winter Soldier
Captain America: The Winter Soldier,74.47,0.5476,The Winter Soldier,Falcon,The Winter Soldier
Captain America: The Winter Soldier,74.85,0.5504,The Winter Soldier,Captain America,The Winter Soldier
Captain America: The Winter Soldier,75.05,0.5518,The Winter Soldier,Falcon,The Winter Soldier
Captain America: The Winter Soldier,75.32,0.5538,The Winter Soldier,Black Widow,Black Widow
Captain America: The Winter Soldier,75.62,0.556,The Winter Soldier,Black Widow,Black Widow
Captain America: The Winter Soldier,75.78,0.5572,The Winter Soldier,Black Widow,inconclusive
Captain America: The Winter Soldier,78.05,0.5739,The Winter Soldier,Black Widow,The Winter Soldier
Captain America: The Winter Soldier,78.25,0.5754,The Winter Soldier,Black Widow,Black Widow
Captain America: The Winter Soldier,78.52,0.5774,The Winter Soldier,Black Widow,The Winter Soldier
Captain America: The Winter Soldier,78.7,0.5787,The Winter Soldier,Captain America,Captain America
Captain America: The Winter Soldier,78.73,0.5789,The Winter Soldier,Captain America,The Winter Soldier
Captain America: The Winter Soldier,78.87,0.5799,The Winter Soldier,Captain America,Captain America
Captain America: The Winter Soldier,78.98,0.5807,The Winter Soldier,Captain America,The Winter Soldier
Captain America: The Winter Soldier,79.22,0.5825,The Winter Soldier,Captain America,Captain America
Captain America: The Winter Soldier,79.4,0.5838,The Winter Soldier,Captain America,Captain America
