Title,Time,NormalisedTS,Party A,Party B,"Outcome (A, B,  inconclusive)"
Guardians of the Galaxy,8.25,0.0682,Korath,Star-Lord,Korath
Guardians of the Galaxy,8.85,0.0731,Korath,Star-Lord,Star-Lord
Guardians of the Galaxy,9.05,0.0748,Korath,Star-Lord,Korath
Guardians of the Galaxy,9.18,0.0759,Korath,Star-Lord,Star-Lord
Guardians of the Galaxy,17.45,0.1442,Gamora,Star-Lord,Gamora
Guardians of the Galaxy,17.52,0.1448,Gamora,Star-Lord,Star-Lord
Guardians of the Galaxy,17.6,0.1455,Gamora,Star-Lord,Gamora
Guardians of the Galaxy,17.78,0.1469,Rocket,Gamora,Rocket
Guardians of the Galaxy,18.05,0.1492,Rocket,Gamora,Gamora
Guardians of the Galaxy,18.05,0.1492,Groot,Gamora,Gamora
Guardians of the Galaxy,18.15,0.15,Gamora,Star-Lord,Gamora
Guardians of the Galaxy,18.23,0.1507,Gamora,Groot,Gamora
Guardians of the Galaxy,18.45,0.1525,Star-Lord,Gamora,Star-Lord
Guardians of the Galaxy,18.5,0.1529,Star-Lord,Gamora,Gamora
Guardians of the Galaxy,18.58,0.1536,Star-Lord,Gamora,Star-Lord
Guardians of the Galaxy,18.68,0.1544,Groot,Star-Lord,Groot
Guardians of the Galaxy,18.87,0.156,Gamora,Rocket,Gamora
Guardians of the Galaxy,19.0,0.157,Gamora,Groot,Gamora
Guardians of the Galaxy,19.08,0.1577,Gamora,Star-Lord,Star-Lord
Guardians of the Galaxy,19.28,0.1593,Rocket,Star-Lord,Rocket
Guardians of the Galaxy,28.42,0.2349,Gamora,Drax,Drax
Guardians of the Galaxy,31.6,0.2612,Ronan,The Other,Ronan
Guardians of the Galaxy,51.43,0.425,Groot,Drax,Drax
Guardians of the Galaxy,51.47,0.4254,Groot,Drax,Groot
Guardians of the Galaxy,56.52,0.4671,Carina,Everyone,Everyone
Guardians of the Galaxy,59.2,0.4893,Drax,Ronan,Ronan
Guardians of the Galaxy,59.25,0.4897,Drax,Ronan,Ronan
Guardians of the Galaxy,59.37,0.4907,Drax,Ronan,Ronan
Guardians of the Galaxy,59.85,0.4946,Drax,Ronan,Ronan
Guardians of the Galaxy,59.97,0.4956,Drax,Ronan,Ronan
Guardians of the Galaxy,61.42,0.5076,Drax,Ronan,Ronan
Guardians of the Galaxy,61.47,0.508,Drax,Ronan,Drax
Guardians of the Galaxy,61.53,0.5085,Drax,Ronan,Ronan
Guardians of the Galaxy,61.78,0.5106,Nebula,Gamora,Nebula
Guardians of the Galaxy,62.55,0.5169,Nebula,Gamora,Nebula
Guardians of the Galaxy,63.17,0.5221,Drax,Ronan,Ronan
Guardians of the Galaxy,69.67,0.5758,Yondu,Star-Lord,Yondu
Guardians of the Galaxy,85.68,0.7081,Drax,Nebula,Drax
Guardians of the Galaxy,87.0,0.719,Nebula,Gamora,Gamora
Guardians of the Galaxy,87.05,0.7194,Nebula,Gamora,Nebula
Guardians of the Galaxy,87.13,0.7201,Nebula,Gamora,Nebula
Guardians of the Galaxy,88.07,0.7279,Star-Lord,Korath,Korath
Guardians of the Galaxy,88.15,0.7285,Star-Lord,Korath,Korath
Guardians of the Galaxy,88.28,0.7296,Drax,Korath,inconclusive
Guardians of the Galaxy,88.37,0.7303,Drax,Korath,Korath
Guardians of the Galaxy,88.97,0.7353,Gamora,Nebula,Gamora
Guardians of the Galaxy,89.42,0.739,Drax,Korath,Drax
Guardians of the Galaxy,90.45,0.7475,Gamora,Nebula,inconclusive
Guardians of the Galaxy,91.37,0.7551,Gamora,Nebula,inconclusive
Guardians of the Galaxy,91.48,0.756,Gamora,Nebula,Nebula
Guardians of the Galaxy,91.58,0.7569,Gamora,Nebula,Gamora
Guardians of the Galaxy,92.38,0.7635,Star-Lord,Ronan,Star-Lord
Guardians of the Galaxy,92.98,0.7684,Ronan,Guardians,Ronan
Guardians of the Galaxy,93.0,0.7686,Drax,Ronan,Ronan
Guardians of the Galaxy,93.27,0.7708,Rocket,Ronan,Rocket
Guardians of the Galaxy,96.88,0.8007,Rocket,Ronan,Ronan
Guardians of the Galaxy,98.22,0.8117,Drax,Ronan,Drax
Guardians of the Galaxy,98.47,0.8138,Star-Lord,Ronan,Star-Lord
Guardians of the Galaxy,100.27,0.8287,Guardians,Ronan,Guardians
