Title,Time,NormalisedTS,Party A,Party B,"Outcome (A, B,  inconclusive)"
Iron Man,37.55,0.298,Iron Man,Raza,Iron Man
Iron Man,104.38,0.8284,Iron Monger,Coulson,Iron Monger
Iron Man,104.48,0.8292,Iron Monger,Pepper Potts,Pepper Potts
Iron Man,105.28,0.8356,Iron Monger,Pepper Potts,Iron Monger
Iron Man,105.33,0.836,Iron Man,Iron Monger,Iron Man
Iron Man,105.88,0.8403,Iron Man,Iron Monger,Iron Man
Iron Man,106.45,0.8448,Iron Monger,Iron Man,Iron Monger
Iron Man,106.57,0.8458,Iron Monger,Iron Man,Iron Monger
Iron Man,106.68,0.8467,Iron Monger,Iron Man,Iron Monger
Iron Man,106.77,0.8474,Iron Monger,Iron Man,Iron Monger
Iron Man,106.87,0.8482,Iron Monger,Iron Man,Iron Monger
Iron Man,107.1,0.85,Iron Monger,Iron Man,Iron Monger
Iron Man,108.47,0.8609,Iron Monger,Iron Man,Iron Monger
Iron Man,109.45,0.8687,Iron Monger,Iron Man,Iron Monger
Iron Man,109.55,0.8694,Iron Monger,Iron Man,Iron Monger
Iron Man,110.83,0.8796,Iron Monger,Iron Man,Iron Monger
Iron Man,111.53,0.8852,Iron Monger,Iron Man,Iron Monger
Iron Man,112.12,0.8898,Iron Monger,Iron Man,inconclusive
Iron Man,112.28,0.8911,Iron Monger,Iron Man,inconclusive
