Title,Time,NormalisedTS,Party A,Party B,"Outcome (A, B,  inconclusive)"
The Avengers,5.6,0.0392,Loki,Nick Fury,Loki
The Avengers,5.73,0.0401,Loki,Hawkeye,Hawkeye
The Avengers,7.87,0.055,Hawkeye,Nick Fury,Hawkeye
The Avengers,8.4,0.0587,Hawkeye,Maria Hill,Hawkeye
The Avengers,8.5,0.0594,Hawkeye,Maria Hill,inconclusive
The Avengers,9.43,0.0659,Maria Hill,Hawkeye,inconclusive
The Avengers,9.7,0.0678,Maria Hill,Hawkeye,inconclusive
The Avengers,10.78,0.0754,Nick Fury,Loki,Loki
The Avengers,41.27,0.2886,Loki,Captain America,Captain America
The Avengers,41.7,0.2916,Loki,Black Widow,inconclusive
The Avengers,41.72,0.2917,Loki,Captain America,inconclusive
The Avengers,41.82,0.2924,Loki,Captain America,Loki
The Avengers,41.97,0.2935,Loki,Captain America,Loki
The Avengers,42.15,0.2948,Loki,Captain America,Captain America
The Avengers,42.18,0.295,Loki,Captain America,Loki
The Avengers,42.4,0.2965,Iron Man,Loki,Iron Man
The Avengers,44.07,0.3082,Iron Man,Thor,Thor
The Avengers,44.9,0.314,Thor,Loki,Thor
The Avengers,47.12,0.3295,Iron Man,Thor,Iron Man
The Avengers,47.75,0.3339,Iron Man,Thor,Thor
The Avengers,48.02,0.3358,Iron Man,Thor,Iron Man
The Avengers,48.3,0.3378,Iron Man,Thor,Thor
The Avengers,48.45,0.3388,Iron Man,Thor,Iron Man
The Avengers,48.78,0.3411,Iron Man,Thor,inconclusive
The Avengers,48.83,0.3415,Iron Man,Thor,Thor
The Avengers,49.03,0.3429,Iron Man,Thor,Thor
The Avengers,49.12,0.3435,Iron Man,Thor,Iron Man
The Avengers,49.28,0.3446,Iron Man,Thor,Thor
The Avengers,49.37,0.3452,Iron Man,Thor,Iron Man
The Avengers,49.42,0.3456,Iron Man,Thor,Iron Man
The Avengers,49.47,0.3459,Captain America,Thor,Captain America
The Avengers,49.47,0.3459,Captain America,Iron Man,Captain America
The Avengers,49.75,0.3479,Iron Man,Thor,Thor
The Avengers,49.88,0.3488,Captain America,Thor,Captain America
The Avengers,75.3,0.5266,Black Widow,Hulk,Black Widow
The Avengers,76.85,0.5374,Black Widow,Hulk,Black Widow
The Avengers,77.15,0.5395,Black Widow,Hulk,Black Widow
The Avengers,77.27,0.5403,Thor,Hulk,Thor
The Avengers,77.53,0.5422,Thor,Hulk,Thor
The Avengers,77.7,0.5434,Thor,Hulk,Hulk
The Avengers,78.32,0.5477,Thor,Hulk,Hulk
The Avengers,78.63,0.5499,Thor,Hulk,Thor
The Avengers,78.87,0.5515,Thor,Hulk,Thor
The Avengers,79.0,0.5524,Thor,Hulk,Thor
The Avengers,79.63,0.5569,Thor,Hulk,Hulk
The Avengers,80.2,0.5608,Thor,Hulk,Hulk
The Avengers,83.35,0.5829,Black Widow,Hawkeye,Black Widow
The Avengers,83.38,0.5831,Black Widow,Hawkeye,Black Widow
The Avengers,83.47,0.5837,Black Widow,Hawkeye,Black Widow
The Avengers,83.72,0.5855,Black Widow,Hawkeye,Black Widow
The Avengers,85.05,0.5948,Black Widow,Hawkeye,Black Widow
The Avengers,85.23,0.596,Black Widow,Hawkeye,Hawkeye
The Avengers,85.33,0.5967,Black Widow,Hawkeye,Black Widow
The Avengers,85.58,0.5985,Black Widow,Hawkeye,Black Widow
The Avengers,85.93,0.6009,Thor,Hulk cage,Thor
The Avengers,89.53,0.6261,Nick Fury,Captain America,Nick Fury
The Avengers,89.53,0.6261,Nick Fury,Iron Man,Nick Fury
The Avengers,98.97,0.6921,Iron Man,the Tesseract,the Tesseract
The Avengers,101.52,0.7099,Iron Man,Loki,Loki
The Avengers,101.73,0.7114,Iron Man,Loki,Loki
The Avengers,102.27,0.7152,Iron Man,Loki,Iron Man
The Avengers,104.22,0.7288,Thor,Loki,inconclusive
The Avengers,104.6,0.7315,Thor,Loki,inconclusive
The Avengers,105.0,0.7343,Thor,Loki,Loki
The Avengers,105.12,0.7351,Loki,Hawkeye,Loki
The Avengers,105.2,0.7357,Thor,Loki,Thor
The Avengers,105.35,0.7367,Thor,Loki,Thor
The Avengers,107.37,0.7508,Thor,Loki,Thor
The Avengers,107.43,0.7513,Thor,Loki,Thor
The Avengers,117.55,0.822,Hulk,Thor,Hulk
The Avengers,120.15,0.8402,Hulk,Loki,Hulk
The Avengers,120.5,0.8427,Hulk,Loki,Hulk
The Avengers,124.8,0.8727,Black Widow,the Tesseract,Black Widow
