Title,Time,NormalisedTS,Party A,Party B,"Outcome (A, B,  inconclusive)"
The Incredible Hulk,20.43,0.1824,Thaddeus Ross,Hulk,Thaddeus Ross
The Incredible Hulk,53.63,0.4788,Abomination,Hulk,Abomination
The Incredible Hulk,53.72,0.4796,Abomination,Hulk,Abomination
The Incredible Hulk,53.85,0.4808,Abomination,Hulk,Hulk
The Incredible Hulk,53.92,0.4814,Abomination,Hulk,Abomination
The Incredible Hulk,54.1,0.483,Abomination,Hulk,inconclusive
The Incredible Hulk,54.23,0.4842,Abomination,Hulk,Hulk
The Incredible Hulk,56.2,0.5018,Abomination,Hulk,inconclusive
The Incredible Hulk,56.48,0.5043,Abomination,Hulk,Hulk
The Incredible Hulk,82.93,0.7404,Abomination,Betty Ross,Abomination
The Incredible Hulk,83.17,0.7426,Abomination,Hulk,Abomination
The Incredible Hulk,86.58,0.773,Dr. Samuel Sterns,Abomination,Abomination
The Incredible Hulk,93.18,0.832,Hulk,Abomination,Abomination
The Incredible Hulk,94.02,0.8395,Hulk,Abomination,Hulk
The Incredible Hulk,94.1,0.8402,Hulk,Abomination,Hulk
The Incredible Hulk,94.3,0.842,Hulk,Abomination,Abomination
The Incredible Hulk,95.35,0.8513,Hulk,Abomination,Hulk
The Incredible Hulk,95.53,0.8529,Hulk,Abomination,Abomination
The Incredible Hulk,97.43,0.8699,Hulk,Abomination,Abomination
The Incredible Hulk,97.85,0.8737,Hulk,Abomination,Abomination
The Incredible Hulk,98.37,0.8783,Hulk,Abomination,Hulk
The Incredible Hulk,98.85,0.8826,Hulk,Abomination,Abomination
The Incredible Hulk,99.13,0.8851,Hulk,Abomination,Abomination
The Incredible Hulk,99.68,0.89,Hulk,Abomination,Hulk
The Incredible Hulk,99.88,0.8918,Hulk,Abomination,Hulk
The Incredible Hulk,100.08,0.8936,Hulk,Abomination,Hulk
The Incredible Hulk,100.2,0.8946,Hulk,Abomination,Abomination
The Incredible Hulk,100.27,0.8953,Hulk,Abomination,Hulk
The Incredible Hulk,100.88,0.9007,Hulk,Abomination,Hulk
