Title,Time,NormalisedTS,Party A,Party B,"Outcome (A, B,  inconclusive)"
Thor: Ragnarok,5.63,0.0433,Thor,Surtur,Surtur
Thor: Ragnarok,5.77,0.0444,Thor,Surtur,Thor
Thor: Ragnarok,5.87,0.0452,Thor,Surtur,Thor
Thor: Ragnarok,5.92,0.0455,Thor,Surtur,Thor
Thor: Ragnarok,6.03,0.0464,Thor,Surtur,Thor
Thor: Ragnarok,24.03,0.1848,Thor,Hela,Hela
Thor: Ragnarok,24.93,0.1918,Loki,Hela,Loki
Thor: Ragnarok,25.07,0.1928,Thor,Hela,Hela
Thor: Ragnarok,25.63,0.1972,Hela,Volstagg,Hela
Thor: Ragnarok,25.68,0.1975,Hela,Fandral,Hela
Thor: Ragnarok,25.77,0.1982,Hela,Volstagg,Hela
Thor: Ragnarok,25.77,0.1982,Hela,Fandral,Hela
Thor: Ragnarok,30.28,0.2329,Valkyrie,Thor,Valkyrie
Thor: Ragnarok,33.1,0.2546,Hela,Hogun,Hela
Thor: Ragnarok,34.67,0.2667,Hela,Hogun,Hela
Thor: Ragnarok,35.05,0.2696,Heimdall,Hela,Heimdall
Thor: Ragnarok,37.73,0.2902,Valkyrie,Thor,Valkyrie
Thor: Ragnarok,38.85,0.2988,Grandmaster,Cousin Carlo,Grandmaster
Thor: Ragnarok,55.0,0.4231,Hulk,Thor,inconclusive
Thor: Ragnarok,55.03,0.4233,Hulk,Thor,Hulk
Thor: Ragnarok,55.4,0.4262,Hulk,Thor,Hulk
Thor: Ragnarok,55.67,0.4282,Hulk,Thor,Thor
Thor: Ragnarok,56.48,0.4345,Hulk,Thor,Hulk
Thor: Ragnarok,56.98,0.4383,Hulk,Thor,Thor
Thor: Ragnarok,57.12,0.4394,Hulk,Thor,Thor
Thor: Ragnarok,57.23,0.4402,Hulk,Thor,Hulk
Thor: Ragnarok,57.25,0.4404,Hulk,Thor,Thor
Thor: Ragnarok,57.37,0.4413,Hulk,Thor,Thor
Thor: Ragnarok,57.5,0.4423,Hulk,Thor,Thor
Thor: Ragnarok,57.62,0.4432,Hulk,Thor,Hulk
Thor: Ragnarok,57.92,0.4455,Hulk,Thor,Hulk
Thor: Ragnarok,58.05,0.4465,Hulk,Thor,Hulk
Thor: Ragnarok,58.22,0.4478,Hulk,Thor,Thor
Thor: Ragnarok,58.78,0.4522,Hulk,Thor,Thor
Thor: Ragnarok,59.2,0.4554,Grandmaster,Thor,Grandmaster
Thor: Ragnarok,59.67,0.459,Hulk,Thor,Hulk
Thor: Ragnarok,70.3,0.5408,Valkyrie,Hulk,Valkyrie
Thor: Ragnarok,78.8,0.6062,Loki,Valkyrie,Valkyrie
Thor: Ragnarok,79.0,0.6077,Loki,Valkyrie,Loki
Thor: Ragnarok,79.08,0.6083,Loki,Valkyrie,Valkyrie
Thor: Ragnarok,79.83,0.6141,Hela,Valkyrie,Hela
Thor: Ragnarok,80.02,0.6155,Valkyrie,Loki,Valkyrie
Thor: Ragnarok,102.55,0.7888,Thor,Hela,inconclusive
Thor: Ragnarok,103.28,0.7945,Valkyrie,Fenris,Valkyrie
Thor: Ragnarok,103.6,0.7969,Thor,Hela,Thor
Thor: Ragnarok,103.67,0.7975,Thor,Hela,Hela
Thor: Ragnarok,103.82,0.7986,Thor,Hela,Hela
Thor: Ragnarok,104.0,0.8,Thor,Hela,Hela
Thor: Ragnarok,104.25,0.8019,Thor,Hela,Hela
Thor: Ragnarok,104.37,0.8028,Thor,Hela,Hela
Thor: Ragnarok,104.52,0.804,Valkyrie,Fenris,Valkyrie
Thor: Ragnarok,105.55,0.8119,Hulk,Fenris,Hulk
Thor: Ragnarok,105.82,0.814,Hulk,Fenris,Fenris
Thor: Ragnarok,105.95,0.815,Hela,Thor,Hela
Thor: Ragnarok,106.97,0.8228,Hela,Thor,Hela
Thor: Ragnarok,107.45,0.8265,Hela,Thor,Hela
Thor: Ragnarok,109.22,0.8402,Thor,Hela,Thor
Thor: Ragnarok,110.13,0.8472,Fenris,Hulk,Hulk
Thor: Ragnarok,110.9,0.8531,Fenris,Hulk,Fenris
Thor: Ragnarok,111.05,0.8542,Fenris,Hulk,Hulk
Thor: Ragnarok,112.77,0.8675,Thor,Hela,Thor
Thor: Ragnarok,112.83,0.8679,Valkyrie,Hela,Hela
Thor: Ragnarok,112.93,0.8687,Thor,Hela,Thor
Thor: Ragnarok,113.0,0.8692,Thor,Hela,Hela
Thor: Ragnarok,113.25,0.8712,Thor,Hela,Hela
Thor: Ragnarok,113.3,0.8715,Valkyrie,Hela,Hela
Thor: Ragnarok,113.38,0.8722,Hela,Thor,Hela
Thor: Ragnarok,114.85,0.8835,Hela,Skurge,Hela
Thor: Ragnarok,115.7,0.89,Valkyrie,Hela,Valkyrie
Thor: Ragnarok,115.78,0.8906,Thor,Hela,Thor
Thor: Ragnarok,116.45,0.8958,Hulk,Surtur,Hulk
Thor: Ragnarok,116.6,0.8969,Hulk,Surtur,Surtur
Thor: Ragnarok,117.03,0.9002,Hela,Surtur,Hela
Thor: Ragnarok,117.18,0.9014,Hela,Surtur,Hela
Thor: Ragnarok,117.5,0.9038,Surtur,Hela,Surtur
Thor: Ragnarok,118.0,0.9077,Surtur,Asgard,Surtur
