actor,character,named,uncredited,voice
Paul Rudd,Scott Lang / Ant-Man,true,false,false
Michael Douglas,Dr. Hank Pym,true,false,false
Evangeline Lilly,Hope van Dyne,true,false,false
Corey Stoll,Darren Cross / Yellowjacket,true,false,false
Bobby Cannavale,Paxton,true,false,false
Anthony Mackie,Sam Wilson / Falcon,true,false,false
Judy Greer,Maggie Lang,true,false,false
Abby Ryder Fortson,Cassie Lang,true,false,false
Michael Peña,Luis,true,false,false
David Dastmalchian,Kurt,true,false,false
T.I.,Dave,true,false,false
Wood Harris,Gale,true,false,false
Hayley Atwell,Peggy Carter,true,false,false
John Slattery,Howard Stark,true,false,false
Martin Donovan,Mitchell Carson,true,false,false
Garrett Morris,Cab Driver,false,false,false
Gregg Turkington,Dale,true,false,false
Rod Hallett,Hydra Buyer,false,false,false
Joe Chrest,Frank,true,false,false
Joe Bucaro III,Buyer,false,false,false
Jean Louisa Kelly,Buyer,false,false,false
Dax Griffin,Young Pym,true,false,false
Hayley Lovitt,Janet Van Dyne / The Wasp,true,false,false
Norma Alvarez,Spanish Woman,false,false,false
Darcie Isabella Cottrell,Young Daughter,false,false,false
Teddy Williams,Raver,false,false,false
Carol Anne Watts,Raver,false,false,false
Chuck David Willis,Raver,false,false,false
Diana Chiritescu,Raver,false,false,false
Neko Parham,Pool BBQ Dad,false,false,false
Onira Tares,Pool BBQ Mom,false,false,false
Kylen Davis,Pool BBQ Kid,false,false,false
Zamani Wilder,Pool BBQ Kid,false,false,false
Jim R. Coleman,Pym Tech Gate Guard,false,false,false
Desmond Phillips,Pym Tech Security Guard,false,false,false
Aaron Saxton,Pym Tech Security Guard,false,false,false
Michael A. Cook,EMT,false,false,false
Ricki Lander,Gorgeous Blonde,false,false,false
Rus Blackwell,Superior Officer,false,false,false
Johnny Pemberton,Ice Cream Store Customer,false,false,false
Nicholas Barrera,Ernesto,true,false,false
Carlos Aviles,Carlos,true,false,false
Lyndsi LaRose,Emily,true,false,false
Robert Crayton,Peachy,true,false,false
Ajani Perkins,Cop on Speaker,false,false,false
Jessejames Locorriere,Alpha Guard,false,false,false
Zack Duhame,Beta Guard,false,false,false
Kevin Lacz,Vault Guard,false,false,false
Michael Trisler,Vault Guard,false,false,false
Daniel Stevens,Armed Guard,false,false,false
Alex Chansky,Armed Guard,false,false,false
Clay Donahue Fontenot,Armed Guard,false,false,false
Michael Jamorski,Armed Guard,false,false,false
Casey Pieretti,Armed Guard,false,false,false
Antal Kalik,Lab Guard,false,false,false
Adam Hart,Lab Guard,false,false,false
Reuben Langdon,Lab Guard,false,false,false
Todd Schneider,Lab Guard,false,false,false
Kevin Buttimer,Lab Tech,false,false,false
Danny Vasquez,Ignacio,true,false,false
Anna Akana,Writer,false,false,false
Stan Lee,Bartender,false,false,false
Tom Kenny,Hideous Rabbit,false,false,true
Rick Avery,Helicopter Pilot,false,false,false
Erik Betts,Helicopter Pilot,false,false,false
Natalie Stephany Aguilar,Pedestrian,false,true,false
Shafayat Ahmed,Pym Tech Employee,false,true,false
Leilani Amour Arenzana,SF Tenderloin Resident,false,true,false
Joseph Aro,Gangster,false,true,false
Tanner Baker,Pym Technologies Employee,false,true,false
Julio Mario Barriga,Security Guard,false,true,false
Mike Benitez,Dog Owner,false,true,false
Ray Benitez,Shareholder / Buyer,false,false,false
Patrick Constantine Bertagnolli Jr.,Prison Guard,false,true,false
Sean Boncato,Nissan Truck Driver,false,true,false
Bradley Bowen,CIA Agent,false,true,false
Alex Bretow,Scott's Neighbor,false,true,false
DuRa Brown,Uniformed Guard,false,true,false
Cabran E. Chamberlain,Tourist,false,true,false
Raul Colon,Prisoner,false,true,false
Joseph Craig,Raver,false,true,false
John Crosby,Detective,false,true,false
Vincent Cucuzza,Detective,false,true,false
Thomas Dalby,Fort Point Bicyclist,false,true,false
Brian Danker,Opening Scene SFPD Arresting Officer,false,true,false
Varian David,Laundry Man,false,true,false
Matthew Sleepy Davis,Driver,false,true,false
Mike Dobbins,Meter Man,false,true,false
Lori D. Dotson,Pym Tech Employee / Personal Assistant,false,false,false
Patrick Engler,Pedestrian,false,true,false
Chris Evans,Steve Rogers,true,true,false
Gregory Fears,Detective,false,true,false
Terry M. Flowers,Businessman,false,true,false
Shawron Gaffney,Jail Visitor,false,true,false
Hayley Gagner,Pedestrian in Rain,false,true,false
Fred Galle,Limo Driver,false,true,false
Neal Genys,School Kid,false,true,false
Tahseen Ghauri,Pym Technologies Employee,false,true,false
Jeff Glover,PYM Tech Armed Guard,false,true,false
Brian Gonzalez,PYM Tech Valet,false,true,false
Trey Greene,Armed Security Guard,false,true,false
Tim Halpin,Ten Doors Tenderloin,false,true,false
Jas Hardy,Latina Gangster,false,true,false
Roger A. Harrison,Shareholder,false,true,false
Rory Healy,Shareholder,false,true,false
Joel Ezra Hebner,Pymtech Elite Security Guard,false,true,false
Walter Hendrix III,Police Detective Brown,false,true,false
Caleb Hersey,Student,false,true,false
Alphonso A'Qen-Aten Jackson,Prisoner,false,true,false
Kregg Janke,Irish Softball Player,false,true,false
Marie Joelyn,Scientist,false,true,false
Jonathan S. Kennedy,Prison Guard Villegas,false,true,false
Brian Kim,Pedestrian,false,true,false
Christina July Kim,Jogger,false,true,false
Jamie King,Pedestrian,false,true,false
Larry Kitagawa,Fisherman,false,true,false
Andrew Koponen,Police Officer,false,true,false
Eric Kshywonis,SFPD Officer,false,true,false
Kevin Lapham,Shopper,false,true,false
Scott Ledbetter,Officer Green,true,true,false
John Lobato,PYM Tech Employee,false,true,false
Fernando Martinez,Bunker Guard #1,false,true,false
Sam Medina,Bunker Guard #2,false,true,false
Cesar Mendoza,Gabriel,true,true,false
Jordi Mollà,Castillo,true,true,false
Mahal Montoya,Tourist,false,true,false
Marc Moon,Street Guy by Taco Truck,false,true,false
Kurt Morgan,Man in Car,false,true,false
Ed Moy,Delivery Man,false,true,false
Roger Neal,Suited Guard,false,true,false
Bradley Newcomer,Police Officer,false,true,false
Debra Norton-Miller,Pedestrian in Crosswalk,false,true,false
Steve Warky Nunez,Homeless Man,false,true,false
Amor Owens,Shareholder,false,true,false
Chris Pak,Scientist,false,true,false
Richard Pis,Panamaian Soldier,false,true,false
Zoie Quigley,Young Mom,false,true,false
Vanessa Ross,Jogger,false,true,false
Shaker Sangam,Casino Player,false,true,false
Logan Schoenthal,Party Boy,false,true,false
Benito M. Selim,Street Vendor,false,true,false
Blake Sewell,Prisoner,false,true,false
Jason Shwartz,Neighbor,false,true,false
Sophia Smith,Art Gallery Patron,false,true,false
Tamika Smith,Prison Visitor,false,true,false
Jason Speer,Pymtech Supervisor,false,true,false
Sebastian Stan,Bucky Barnes,true,true,false
Ashante P.T. Stokes,Prison Officer,false,true,false
Doug Stroup,Restaurant Patron,false,true,false
Bari Suzuki,Howard Stark Assistant,false,true,false
Jeremy Ray Taylor,Bully,false,true,false
Maurice G. Thomas,PYM Security Guard,false,true,false
Kimberly Tran,Pym Tech Receptionist,false,true,false
Long Tran,Waiter,false,true,false
Jordan Verroi,Security Guard,false,true,false
