actor,character,named,uncredited,voice
Robert Downey Jr.,Tony Stark / Iron Man,true,false,false
Chris Hemsworth,Thor,true,false,false
Mark Ruffalo,Bruce Banner / Hulk,true,false,false
Chris Evans,Steve Rogers / Captain America,true,false,false
Scarlett Johansson,Natasha Romanoff / Black Widow,true,false,false
Jeremy Renner,Clint Barton / Hawkeye,true,false,false
James Spader,Ultron,true,false,false
Samuel L. Jackson,Nick Fury,true,false,false
Don Cheadle,James Rhodes / War Machine,true,false,false
Aaron Taylor-Johnson,Pietro Maximoff / Quicksilver,true,false,false
Elizabeth Olsen,Wanda Maximoff / Scarlet Witch,true,false,false
Paul Bettany,Jarvis / Vision,true,false,false
Cobie Smulders,Maria Hill,true,false,false
Anthony Mackie,Sam Wilson / Falcon,true,false,false
Hayley Atwell,Peggy Carter,true,false,false
Idris Elba,Heimdall,true,false,false
Linda Cardellini,Laura Barton,true,false,false
Stellan Skarsgård,Erik Selvig,true,false,false
Claudia Kim,Dr. Helen Cho,true,false,false
Thomas Kretschmann,Strucker,true,false,false
Andy Serkis,Ulysses Klaue,true,false,false
Julie Delpy,Madame B,true,false,false
Stan Lee,Stan Lee,false,false,false
Henry Goodman,Dr. List,true,false,false
Chris Luca,Fortress Soldier,false,false,false
Brian Schaeffer,Strucker Mercenary,false,false,false
Dominique Provost-Chalkley,Zrinka,true,false,false
Isaac Andrews,Costel,true,false,false
Gareth Kieran Jones,Sokovian Acid Student,false,false,false
Chan Woo Lim,Dr. Cho's Assistant,false,false,false
Minhee Yeo,Dr. Cho's Assistant,false,false,false
Bentley Kalu,Klaue's Mercenary,false,false,false
Julian Bleach,Ballet Instructor,false,false,false
Christopher Beasley,Johannesburg Cop,false,false,false
Vuyo Dabula,Johannesburg Cop,false,false,false
Nondumiso Tembe,Johannesburg Driver,false,false,false
Kabelo Thai,Johannesburg Onlooker,false,false,false
Lele Ledwaba,Johannesburg Onlooker,false,false,false
Mandla Gaduka,Johannesburg Onlooker,false,false,false
Harriet Manamela,Johannesburg Onlooker,false,false,false
Beulah Hashe,Johannesburg Onlooker,false,false,false
Musca Kumalo,Johannesburg Onlooker,false,false,false
Mathapelo September,Johannesburg Onlooker,false,false,false
Antony Acheampong,Johannesburg Elevator Passenger,false,false,false
Chioma Anyanwu,Johannesburg Elevator Passenger,false,false,false
Ben Sakamoto,Cooper Barton,true,false,false
