actor,character,named,uncredited,voice
Chris Evans,Steve Rogers / Captain America,true,false,false
Robert Downey Jr.,Tony Stark / Iron Man,true,false,false
Scarlett Johansson,Natasha Romanoff / Black Widow,true,false,false
Sebastian Stan,Bucky Barnes / Winter Soldier,true,false,false
Anthony Mackie,Sam Wilson / Falcon,true,false,false
Don Cheadle,Lieutenant James Rhodes / War Machine,true,false,false
Jeremy Renner,Clint Barton / Hawkeye,true,false,false
Chadwick Boseman,T'Challa / Black Panther,true,false,false
Paul Bettany,Vision,true,false,false
Elizabeth Olsen,Wanda Maximoff / Scarlet Witch,true,false,false
Paul Rudd,Scott Lang / Ant-Man,true,false,false
Emily VanCamp,Sharon Carter,true,false,false
Tom Holland,Peter Parker / Spider-Man,true,false,false
Daniel Brühl,Zemo,true,false,false
Frank Grillo,Brock Rumlow / Crossbones,true,false,false
William Hurt,Secretary of State Thaddeus Ross,true,false,false
Martin Freeman,Everett K. Ross,true,false,false
Marisa Tomei,May Parker,true,false,false
John Kani,King T'Chaka,true,false,false
John Slattery,Howard Stark,true,false,false
Hope Davis,Maria Stark,true,false,false
Alfre Woodard,Miriam,true,false,false
Michael A. Cook,MRI Tech,false,false,false
Laughton Parchment,Vicar,false,false,false
Jackson Spidell,Josef / Super Soldier #1,false,false,false
Yi Long,Super Soldier #2,false,false,false
Heidi Moneymaker,Super Soldier #3,false,false,false
Aaron Toney,Super Soldier #4,false,false,false
Cale Schultz,Super Soldier #5,false,false,false
Ann Russo,Voice of Zemo's Wife,false,false,true
Gene Farber,Karpov,true,false,false
Florence Kasumba,Security Chief,false,false,false
Cornell John,Attaché,false,false,false
Sven Hönig,Man at Kiosk,false,false,false
Josh Peck,GSG9 Task Force Gunner,false,false,false
Brent McGee,GSG9 Task Force Pilot,false,false,false
Be Satrazemis,German Innkeeper,false,false,false
Blair Jasin,Raft Guard,false,false,false
Oliver Bigalke,Barge Man #1,false,false,false
Rafael Banasik,Barge Man #2,false,false,false
David de Vries,Custodian,false,false,false
John Curran,Funeral Director,false,false,false
Katie Amess,Woman in Lobby #1,false,false,false
Austin Saunders,Woman in Lobby #2,false,false,false
Brett Gentile,Delivery Truck Driver,false,false,false
Matthew Anderson,Choir,false,false,false
Andrew Botchwey,Choir,false,false,false
Chase Bradfield,Choir,false,false,false
Ernest Charles,Choir,false,false,false
Hendricks Coates,Choir,false,false,false
Ethan Condon,Choir,false,false,false
Shen Dynes,Choir,false,false,false
Nathaniel Ellis,Choir,false,false,false
Jariah Ferguson,Choir,false,false,false
Evan Ffrench,Choir,false,false,false
Justin Freeman,Choir,false,false,false
Ralphael Grand'Pierre,Choir,false,false,false
Julian Grimes,Choir,false,false,false
Aaron Hayes,Choir,false,false,false
Austin Hooper,Choir,false,false,false
Amiri Jones,Choir,false,false,false
Myles Joseph,Choir,false,false,false
Stephen Lewis,Choir,false,false,false
Jacob Ludwick,Choir,false,false,false
D'Mahrei McRae,Choir,false,false,false
Ashwin Mudaliar,Choir,false,false,false
Eli Ollinger,Choir,false,false,false
Parker Pape,Choir,false,false,false
Daniel Parada,Choir,false,false,false
Jonah Ruffin,Choir,false,false,false
Darryl Sampson,Choir,false,false,false
Cameron Sardone,Choir,false,false,false
Stanley Sellers,Choir,false,false,false
Miles Selles,Choir,false,false,false
Jacob Sung,Choir,false,false,false
Caden Wilkinson,Choir,false,false,false
Kim Scar,Chinese Newscaster,false,false,false
Jessica Walther-Gabory,German Newscaster #1,false,false,false
Beniamino Brogi,German Newscaster #2,false,false,false
Silvina Buchbauer,News Reporter,false,false,false
Henry Amadi,Busboy,false,false,false
Ugochukwu Ani,Waiter,false,false,false
Michael Anthony Rogers,Secretary Ross's Aide,false,false,false
Damion Poitier,Hero Merc #1,false,false,false
Umar Khan,Hero Merc #2,false,false,false
David E. Brown,Hero Merc #3,false,false,false
Guy Fernandez,Hero Merc #4,false,false,false
Jim Rash,M.I.T. Liaison,false,false,false
Sophia Russo,Teenage Girl,false,false,false
Joe Russo,Dr. Broussard,true,false,false
Stan Lee,FedEx Driver,false,false,false
Amelia Morck,UN Staffer Gibson,true,false,false
Kerry Condon,Voice of Friday,false,false,true
Julianna Guill,Stark's Assistant,false,false,false
Surely Alvelo,Nurse,false,false,false
Brian Schaeffer,Cultural Attaché,false,false,false
Kevin LaRosa Jr.,Helicopter Pilot,false,false,false
Al Cerullo,Helicopter Pilot,false,false,false
Frédéric North,Helicopter Pilot,false,false,false
Chris Jai Alex,IFID,false,true,false
Lindsay Small Barrios,Task Force Agent,false,true,false
Tory L. Beckham,Precision Driver,false,true,false
Jessica Bell,Funeral Mourner,false,true,false
Carsten Berger,U.N. Delegate,false,true,false
Jae Bireley,MIT Student,false,true,false
Tanner Michael Bradberry,Zemo's Son,false,true,false
Jason Bray,MIT Student,false,true,false
Àaron Brewster,Russian Hydra Guard / Agent,false,false,false
Bricine Brown,Nigerian Peddler,false,true,false
Tyler Carden,MIT Grad Student,false,true,false
Lucie Carroll,U.N. Diplomat,false,true,false
Gregory Lee Cason,Councilman,false,true,false
Kevin Christenson,Funeral Mourner,false,true,false
Teo Ciltia,United Nation Delegate,false,true,false
Chuck Clark,Delegate,false,true,false
Robert Clotworthy,Newscaster,false,true,true
Jameson Jamey Copeland,Pub Patron,false,true,false
Nicholas Cordts,Doorman,false,true,false
Marisol Correa,U.N. Official Press,false,true,false
Missy Crowder-Compton,Diplomat,false,true,false
Michael D'Amico,Pallbearer,false,true,false
Laura Dünnwald,Newsreporter,false,true,false
Justin East,Nigerian Tourist,false,true,false
Dirk Ellis,GSG-9 Soldier,false,true,false
Mark Falvo,Reporter,false,true,false
Jeremiah Fewell,Nigerian Pedestrian,false,true,false
Carlos V. Flores,Funeral Mourner,false,true,false
Shawron Gaffney,Nigerian Pedestrian,false,true,false
Candiss Nicole Gandy,MIT Grad Student,false,true,false
Brent Moorer Gaskins,UN Delegate / College Alumni,false,false,false
Martavious Gayles,MIT Grad Student,false,true,false
Devan Gerlach,MIT Graduate Student,false,true,false
Tahseen Ghauri,Upscale Funeral Goer,false,true,false
Jeff Glover,MIT Alumni,false,true,false
Alonso Grandío,Graduate Student,false,true,false
Austin Handle,British Military,false,true,false
Beverly Hanley,UN Delegate,false,true,false
Cody Mark Hanna,Graduate Student,false,true,false
De'Adrian Harmon,Affluent International Traveler,false,true,false
Anthony B. Harris,A Royal Guard,false,true,false
Rory Healy,UN Delegate,false,true,false
Kimberly Hester Huffstetler,MIT Graduate Student,false,true,false
Ifeyinwa,Cafe Patron,false,true,true
Flanagan John,Funeral Mourner,false,true,false
Lainey Kloes,Agent,false,true,false
Steve Knoll,GSG-9 Soldier,false,true,false
Sanya Kongdara,Upscale Man,false,true,false
Michael Koske,MIT Grad Student,false,true,false
Inder Kumar,Jakarta Bidder / Businessman,false,false,false
Dominic M. Lee,Nigerian Pedestrian,false,true,false
Adrian Lockett,Mercenary,false,true,false
Stephanie Long,Reporter,false,true,false
Rogelio Lorenzo,African Merchant,false,true,false
Daniel Lucente,UN Official,false,true,false
Phil Mallon,Tactical Force,false,true,false
Aaron Manning,Upscale Funeral Goer,false,true,false
Dorry Marie,Nigerian Cafe Guest / Pedestrian,false,false,false
Michael Marx,Newsreporter,false,true,false
Alberto Tito Matos Jr.,Upscale Man,false,true,false
Taylor McPherson,German Tech Agent,false,true,false
Michael Mercaldi,Agent,false,true,false
Duane Moseley,Tech,false,true,false
Rob Muller,Reporter,false,true,false
Lon Nease,Funeral Mourner,false,true,false
Bradley Newcomer,German Special Agent,false,true,false
Dennis Oestreich,GSG9 Policeman,false,true,false
Rajeev Pahuja,MIT Professor,false,true,false
Anna Phillips,Ivy League Student,false,true,false
Carl A. Pitts,Auction Bidder,false,true,false
Lare Roberts,Funeral Dignitary,false,true,false
Anthony J Sacco,Upscale Funeral Goer,false,true,false
Patti Schellhaas,MIT Parent,false,true,false
Daniel Patrick Shook,German Agent,false,true,false
Jason Shwartz,Mourner,false,true,false
Mike Sibley,Brigadier General UK Army,false,true,false
Jay Silla,MIT Student,false,true,false
Manesh k Singh,U.N. Delegate Representing India,false,true,false
Yvonne Singh,Lagos Cafe Patron,false,true,false
Jason Speer,Swiss Ambassador,false,true,false
Doug Stroup,MIT Alumni,false,true,false
Chris Theisinger,Vienna Fireman,false,true,false
Travis Thompson,United Nations Aide,false,true,false
Sarai Tinck,MIT Graduate Student,false,true,false
John Vaughan,Police Lab Technitian,false,true,false
Emma Ve,Bidder,false,true,false
Kent Wagner,Upscale Funeral Goer,false,true,false
Erick Wofford,German Tech Agent,false,true,false
Jane Wu,UN Staffer Wu,false,true,false
Kim Yannayon,MIT Graduate Student,false,true,false
Jonathan Yaskoff,London Businessman,false,true,false
Alexander Yassin,U.N. Delegate Representing Indonesia,false,true,false
Alex Zelenka,Upscale Man,false,true,false
