actor,character,named,uncredited,voice
Chris Evans,Captain America / Steve Rogers,true,false,false
Hayley Atwell,Peggy Carter,true,false,false
Sebastian Stan,James Buchanan 'Bucky' Barnes,true,false,false
Tommy Lee Jones,Colonel Chester Phillips,true,false,false
Hugo Weaving,Johann Schmidt / Red Skull,true,false,false
Dominic Cooper,Howard Stark,true,false,false
Richard Armitage,Heinz Kruger,true,false,false
Stanley Tucci,Dr. Abraham Erskine,true,false,false
Samuel L. Jackson,Nick Fury,true,false,false
Toby Jones,Dr. Arnim Zola,true,false,false
Neal McDonough,Timothy 'Dum Dum' Dugan,true,false,false
Derek Luke,Gabe Jones,true,false,false
Kenneth Choi,Jim Morita,true,false,false
JJ Feild,James Montgomery Falsworth,true,false,false
Bruno Ricci,Jacques Dernier,false,false,false
Lex Shrapnel,Gilmore Hodge,true,false,false
Michael Brandon,Senator Brandt,true,false,false
Martin Sherman,Brandt's Aide,false,false,false
Natalie Dormer,Pvt. Lorraine,true,false,false
Oscar Pearce,Search Team Leader,false,false,false
William Hope,SHIELD Lieutenant,false,false,false
Nicholas Pinnock,SHIELD Tech,false,false,false
Marek Oravec,Jan,true,false,false
David Bradley,Tower Keeper,false,false,false
Leander Deeny,Barman,false,false,false
Sam Hoare,Nervous Recruit,false,false,false
Simon Kunz,4F Doctor,false,false,false
Kieran O'Connor,Loud Jerk,false,false,false
Jenna Coleman,Connie,true,false,false
Sophie Colquhoun,Bonnie,true,false,false
Doug Cockle,Young Doctor,false,false,false
Ben Batt,Enlistment Office MP,false,false,false
Mollie Fitzgerald,Stark Girl,false,false,false
Damon Driver,Sergeant Duffy,true,false,false
David McKail,Johann Schmidt's Artist,false,false,false
Amanda Walker,Antique Store Owner,false,false,false
Richard Freeman,SSR Doctor,false,false,false
Katherine Press,Project Rebirth Nurse,false,false,false
Sergio James,Kruger's Aide,false,false,false
Marcello Walton,Undercover Bum,false,false,false
Vincent Montuel,Undercover Bum,false,false,false
Fabrizio Santino,Kruger's Driver,false,false,false
Maxwell Newman,Boy at Dock,false,false,false
Anatole Taubman,Roeder,true,false,false
Jan Pohl,Hutter,true,false,false
Erich Redman,Schneider,true,false,false
Rosanna Hoult,The Star Spangled Singer,false,false,false
Naomi Slights,The Star Spangled Singer,false,false,false
Kirsty Mather,The Star Spangled Singer,false,false,false
Megan Sanderson,Kid in USO Audience,false,false,false
Darren Simpson,Kid in USO Audience,false,false,false
Fernanda Toker,Newsstand Mom,false,false,false
Laura Haddock,Autograph Seeker,false,false,false
James Payton,'Adolph Hitler',false,false,false
Ronan Raftery,Army Heckler,false,false,false
Nick Hendrix,Army Heckler,false,false,false
Luke Allen-Gale,Army Heckler,false,false,false
Jack Gordon,Army Heckler,false,false,false
Ben Uttley,HYDRA Guard / HYDRA Pilot,false,false,false
Kevin Millington,Stark's Engineer,false,false,false
Patrick Monckeberg,Manager Velt,true,false,false
Peter Stark,HYDRA Lieutenant,false,false,false
Amanda Righetti,SHIELD Agent,false,false,false
Jennifer Abbotts,USO Dancer,false,false,false
Michelle Antrobus,USO Dancer,false,false,false
Lucy Dean,USO Dancer,false,false,false
Erin Dusek,USO Dancer,false,false,false
Nicole Evans,USO Dancer,false,false,false
Lizzi Franklin,USO Dancer,false,false,false
Emma Harris,USO Dancer,false,false,false
Rachael Isherwood,USO Dancer,false,false,false
Danielle Kelly,USO Dancer,false,false,false
Nicole May,USO Dancer,false,false,false
Stevie-Jean McGuire,USO Dancer,false,false,false
Anna McNicholas,USO Dancer,false,false,false
Rosie Pethullis,USO Dancer,false,false,false
Jessica Powell,USO Dancer,false,false,false
Rai Quartley,USO Dancer,false,false,false
Sarah Riches,USO Dancer,false,false,false
Holly Rostron,USO Dancer,false,false,false
Caroline Royce,USO Dancer,false,false,false
Stephanie Jayne Thompson,USO Dancer,false,false,false
Lucie Waugh,USO Dancer,false,false,false
Billy Lozowski,USO Drummer,false,false,false
Gregory Paulett,USO Drummer,false,false,false
Adam Birch,USO Drummer,false,false,false
Adam Kent,USO Drummer,false,false,false
Wiliam Morris,USO Drummer,false,false,false
David Sdall,USO Drummer,false,false,false
Paul Simmons,USO Drummer,false,false,false
Marc Wheeler,USO Drummer,false,false,false
Chris Diggle,USO Drummer,false,false,false
Michael Humphrey,USO Drummer,false,false,false
Raed Abbas,Prisoner of War,false,true,false
Esme Allen-Quarmby,New York Child,false,true,false
Colin Alltree,Senator Security,false,true,false
Michael Aston,Businessman,false,true,false
Paul Bergquist,Bookshop Owner,false,true,false
Paul Blackwell,Soldier,false,true,false
Mark Callum,Newspaper Stole Holder,false,true,false
Will Carlson,Reporter,false,true,false
James Chahine,Army Heckler,false,true,false
Will Chambers,Docker,false,true,false
David Chant,U.S. Solider,false,true,false
Jason Alexander Charchan,German Soldier,false,true,false
Robert Clayton,US Marine 4th Battalion,false,true,false
Jack Conway,SHIELD Agent,false,true,false
James Cook,1st Flight Lieutenant - Stark Expedition,false,true,false
James Currie,Commando,false,true,false
Graham Curry,US Marine 4th Battalion,false,true,false
Eddie Davenport,HYDRA Soldier,false,true,false
Paul Davies,Hydra Soldier,false,true,false
Liam Elcoat,Brooklyn Pedestrian,false,true,false
Joshua Ferdinand,US Marine,false,true,false
Scott Ford,German Soldier,false,true,false
Salo Gardner,,false,true,false
Spencer Garrett,Newsreel Announcer,false,true,false
Joe Garvey,HYDRA Guard,false,true,false
Rich Goble,Italian Soldier,false,true,false
Drew Gregory,SHIELD Agent,false,true,false
Salem Hanna,Russian POW,false,true,false
James Hare,US Marine,false,true,false
Leigh Holland,U.S. Soldier,false,true,false
Jacqueline Honulik,Model in Modern NYC,false,true,false
Vera Horton,1930th Citizen,false,true,false
Tim Howard,Soldier,false,true,false
Sonja Isabella,Officer's Wife,false,true,false
Tobias James-Samuels,Producer / Soldier,false,false,false
Todd Von Joel,Hydra Soldier,false,true,false
Jacob Johnston,HYDRA Soldier,false,true,false
Chris Jorie,Reporter,false,true,false
John Samuel Kande,US Soldier,false,true,false
Matt Kohler,HYDRA Soldier,false,true,false
Stan Lee,General,false,true,false
Steve Leighton,Brooklyn Tour Guide,false,true,false
Addison LeMay,SHIELD Agent X,false,true,false
Alan Mandel,Prisoner of War,false,true,false
Josh Margulies,Brooklyn Pedestrian,false,true,false
Anthony Milton,US Soldier,false,true,false
Brian Niblett,Theatre Spectator,false,true,false
Nathan Nolan,SHIELD Lieutenant,false,true,false
Martin Poole,Theatre Spectator,false,true,false
Christopher Poultney,Times Square Pedestrian,false,true,false
Eric Reeve,Reporter,false,true,false
Colin Reilly,US Infantry Soldier,false,true,false
Nathan Robinson,Lab Tech,false,true,false
Shane Salter,Hydra / Military Police,false,false,false
Geoff Searle,US Marine,false,true,false
Drew Sherman,HYDRA Soldier,false,true,false
Colin Stinton,New York Taxi Driver,false,true,false
Michael Swan,Dodgers Announcer,false,true,true
Jayme Swiftt,Soldier,false,true,false
Sy Turner,Hydra Soldier,false,true,false
Matt Tyzack,Scientist,false,true,false
