actor,character,named,uncredited,voice
Benedict Cumberbatch,Dr. Stephen Strange,true,false,false
Chiwetel Ejiofor,Mordo,true,false,false
Rachel McAdams,Dr. Christine Palmer,true,false,false
Benedict Wong,Wong,true,false,false
Mads Mikkelsen,Kaecilius,true,false,false
Tilda Swinton,The Ancient One,true,false,false
Michael Stuhlbarg,Dr. Nicodemus West,true,false,false
Benjamin Bratt,Jonathan Pangborn,true,false,false
Scott Adkins,Lucian / Strong Zealot,true,false,false
Zara Phythian,Brunette Zealot,false,false,false
Alaa Safi,Tall Zealot,false,false,false
Katrina Durden,Blonde Zealot,false,false,false
Topo Wresniwiro,Hamir,true,false,false
Umit Ulgen,Sol Rama,true,false,false
Linda Louise Duan,Tina Minoru,true,false,false
Mark Anthony Brighton,Daniel Drumm,true,false,false
Meera Syal,Dr. Patel,true,false,false
Amy Landecker,Dr. Bruner,true,false,false
Adam Pelta-Pauls,Nurse Billy,true,false,false
Sarah Malin,Dr. Garrison,true,false,false
Eben Young,Dr. Weiss,true,false,false
Kobna Holdbrook-Smith,Physical Therapist,false,false,false
Elizabeth Healey,Concerned Doctor,false,false,false
Guillaume Faure,Reluctant Surgeon,false,false,false
Daniel Dow,Mugger,false,false,false
Stan Lee,Bus Passenger,false,false,false
Ezra Khan,Kamar-Taj Librarian,false,false,false
Kimberly Van Luin,Bullet Patient's Wife,false,false,false
Pat Kiernan,Pat Kiernan,true,false,false
Alister Albert,Junior Doctor,false,true,false
Moya Allen,Alexis Scrub Nurse,false,true,false
Raj Awasti,Street Passerby,false,true,false
Annarie Boor,Orderly,false,true,false
Dante Briggins,Orderly,false,true,false
Jill Buchanan,Physio Patient,false,true,false
John Capel,New York businessman,false,true,false
Sandra Capel,New York Businesswoman,false,true,false
Alice Chen,Hong Kong Woman,false,true,false
Cheryl Chu,Hong Kong Daughter,false,true,false
Bern Collaço,Orderly,false,true,false
Gary Davies,New York construction worker,false,true,false
Ryan Dizon,Hong Kong Son #2,false,true,false
Zachary Dizon,Hong Kong Son #1,false,true,false
Cameron Edwards,Passerby,false,true,false
Daniel Eghan,Hospital Visitor,false,true,false
Juani Feliz,Girl on the Bus,false,true,false
Sian Francis,Claire Scrub Nurse,true,true,false
Ulises Galeano,Pedestrian,false,true,false
Martavious Gayles,Orderly,false,true,false
Chris Hemsworth,Thor,true,true,false
Leigh Holland,Pedestrian,false,true,false
Kevin Hudson,Nurse,false,true,false
Mo Idriss,New York Pedestrian,false,true,false
Tamika Katon-Donegal,Assistant,false,true,false
Faith Logan,Pedestrian,false,true,false
Tyrone Love,Merc Driver,false,true,false
Pezh Maan,Doctor,false,true,false
Shilpa Maskey,Girl in Nepal,false,true,false
Kei Miura,Hong Kong Officer,false,true,false
Sandeep Mohan,Surgeon,false,true,false
Cameron Moon,Sadhu,true,true,false
Shina Shihoko Nagai,Martial Artist / Waitress,false,false,false
Charlie Nevett,Kamar Taj Apprentice,false,true,false
Emeson Nwolie,Man in Street,false,true,false
Jag Patel,Pedestrian,false,true,false
Dean Ridge,Nervous Zelot,false,true,false
Henardo Rodriguez,Pedestrian,false,true,false
Samantha Russell,Apprentice,false,true,false
Rock Ryan,Pedestrian,false,true,false
Michelle Santiago,Driver,false,true,false
Nancy Ellen Shore,New York Pedestrian / Bus Passenger,false,false,false
Tina Simmons,New York Tourist,false,true,false
Rachel Emma Slack,NYC Pedestrian,false,true,false
Clem So,Kamar-Taj Disciple,false,true,false
Fran Targ,Disciple,false,true,false
Ruolan Zhang,Tea Lady,false,true,false
