actor,character,named,uncredited,voice
Chris Pratt,Peter Quill / Star-Lord,true,false,false
Zoe Saldana,Gamora,true,false,false
Dave Bautista,Drax,true,false,false
Vin Diesel,Baby Groot,true,false,true
Bradley Cooper,Rocket,true,false,true
Michael Rooker,Yondu,true,false,false
Karen Gillan,Nebula,true,false,false
Pom Klementieff,Mantis,true,false,false
Sylvester Stallone,Stakar Ogord,true,false,false
Kurt Russell,Ego,true,false,false
Elizabeth Debicki,Ayesha,true,false,false
Chris Sullivan,Taserface,true,false,false
Sean Gunn,Kraglin / On-Set Rocket,false,false,false
Tommy Flanagan,Tullk,true,false,false
Laura Haddock,Meredith Quill,true,false,false
Aaron Schwartz,Young Ego Facial Reference,false,false,false
Hannah Harlow,Sovereign Chambermaid,false,false,false
Hilty Bowen,Sovereign Pilot,false,false,false
Ben Browder,Sovereign Admiral,true,false,false
Alex Klein,Zylak,true,false,false
Luke Cook,Zylak's Frenemy,false,false,false
Evan Jones,Retch,true,false,false
Joe Fria,Oblo,true,false,false
Terence Rosemore,Narblik,true,false,false
Jimmy Urine,Halfnut,true,false,false
Stephen Blackehart,Brahl,true,false,false
Steve Agee,Gef,true,false,false
Blondy Baruti,Huhtar,true,false,false
Richard Christy,'Down There!',false,false,false
Rob Zombie,Unseen Ravager,false,false,false
Sierra Love,Robot Courtesan,false,false,false
Kendra Carelli,Robot Courtesan,false,false,false
Milynn Sarley,Robot Courtesan,false,false,false
Seth Green,Howard the Duck,true,false,true
Molly C. Quinn,Howard's Date,false,false,false
Michael Rosenbaum,Martinex,true,false,false
Rhoda Griffis,Sneeper Madame,false,false,false
Stan Lee,Watcher Informant,false,false,false
David Hasselhoff,The Form of David Hasselhoff,false,false,false
Mac Wells,Officer Fitzgibbon,false,false,false
James Gunn Sr.,Weird Old Man,false,false,false
Leota Gunn,Weird Old Man's Mistress,false,false,false
Elizabeth Ludlow,Easik Mother,false,false,false
Wyatt Oleff,Young Peter Quill,true,false,false
Gregg Henry,Grandpa Quill,true,false,false
Damita Jane Howard,Grandpa Quill's Friend,false,false,false
Ving Rhames,Charlie-27,true,false,false
Michelle Yeoh,Aleta Ogord,true,false,false
Lawrence 'Omega' Edwards,Ravager,false,true,false
John Jacob Anderson,Shran - Ravager,true,true,false
Àaron Brewster,Uniformed Police on Earth,false,true,false
Donny Carrington,Kree Monk,false,true,false
Brian Clackley,Alien,false,true,false
Miley Cyrus,Mainframe,false,true,true
Nea Dune,Lovebot,false,true,false
Duke Edson,Humanoid Ravager,false,true,false
Mike Escamilla,Scrote,true,true,false
Fred,Cosmo the Space Dog,true,true,false
Kevin Galbraith,Ravager,false,true,false
Elan Gale,Blue Ravager,false,true,false
Fred Galle,Sovereign Leader,false,true,false
Tahseen Ghauri,Pedestrian Runner,false,true,false
Jeff Goldblum,Grandmaster,true,true,false
Alphonso A'Qen-Aten Jackson,Ravager,false,true,false
Rodney L. James,Ravager,false,true,false
Don Johnson,Ravager,false,true,false
Michael Koske,Humanoid Ravager,false,true,false
Heather Lupex,Alien,false,true,false
Andrew S. McMillan,Fleeing Pedestrian,false,true,false
Donald K. Overstreet,Aakon Ravager,false,true,false
My'Chyl Purr,Krylorian,false,true,false
Kimberly Rayman,Ego Wife #1,false,true,false
Kelly Richardson,Daisy Kiu,true,true,false
Guillermo Rodriguez,Cop #2,false,true,false
Anthony J Sacco,Man on the Street,false,true,false
Sebastian Siegel,Sovereign Guard,false,true,false
Jason Speer,Weak Ravager,false,true,false
Eddie Terrill,Ravager Humanoid,false,true,false
Josh Tipis,Humanoid Ravager,false,true,false
Stephen Vining,Ravager #7,false,true,false
Chad J. Wagner,Ravenger,false,true,false
Kent Wagner,Sneeper Ravager,false,true,false
Jason Williams,Huge Guard of the Sovereign Nation,false,true,false
Bo Yokely,Fighter Pilot,false,true,false
Cheyanna Lavon Zubas,Robot Courtesan,false,true,false
