actor,character,named,uncredited,voice
Robert Downey Jr.,Tony Stark / Iron Man,true,false,false
Terrence Howard,Rhodey,true,false,false
Jeff Bridges,Obadiah Stane,true,false,false
Gwyneth Paltrow,Pepper Potts,true,false,false
Leslie Bibb,Christine Everhart,true,false,false
Shaun Toub,Yinsen,true,false,false
Faran Tahir,Raza,true,false,false
Clark Gregg,Agent Coulson,true,false,false
Bill Smitrovich,General Gabriel,true,false,false
Sayed Badreya,Abu Bakaar,true,false,false
Paul Bettany,JARVIS,true,false,true
Jon Favreau,Hogan,true,false,false
Peter Billingsley,William Ginter Riva,true,false,false
Tim Guinee,Major Allen,true,false,false
Will Lyman,Award Ceremony Narrator,false,false,true
Tom Morello,Guard,false,false,false
Marco Khan,Guard,false,false,false
Daston Kalili,Guard,false,false,false
Ido Mor,Guard,false,false,false
Kevin Foster,Jimmy,true,false,false
Garret Noël,Pratt,true,false,false
Eileen Weisinger,Ramirez,true,false,false
Ahmed Ahmed,Ahmed,true,false,false
Fahim Fazli,Omar,true,false,false
Gerard Sanders,Howard Stark,true,false,false
Tim Rigby,Viper 1,false,false,false
Russell Richardson,Viper 2,false,false,false
Nazanin Boniadi,Amira Ahmed,true,false,false
Thomas Craig Plumer,Colonel Craig,true,false,false
Robert Berkman,Dealer at Craps Table,false,false,false
Stacy Stas Hurst,Woman at Craps Table,false,false,false
Lauren Scyphers,Woman at Craps Table,false,false,false
Frank Nyi,Engineer,false,false,false
Marvin Jordan,Air Force Officer,false,false,false
Jim Cramer,Jim Cramer,true,false,false
Donna Evans,Woman In SUV,false,false,false
Reid Harper,Kid in SUV,false,false,false
Summer Kylie Remington,Kid in SUV,false,false,false
Ava Rose Williams,Kid in SUV,false,false,false
Vladimir Kubr,Kid in SUV,false,false,false
Callie Croughwell,Kid in SUV,false,false,false
Javan Tahir,Gulmira Kid,false,false,false
Sahar Bibiyan,Gulmira Mom,false,false,false
Patrick O'Connell,Reporter,false,false,false
Adam Harrington,Reporter,false,false,false
Meera Simhan,Reporter,false,false,false
Ben Newmark,Reporter,false,false,false
Ricki Lander,Flight Attendant,false,false,false
Jeannine Kaspar,Flight Attendant,false,false,false
Sarah Cahill,Flight Attendant,false,false,false
Stan Lee,Stan Lee,false,false,false
Justin Rex,Air Force Lieutenant,false,false,false
Zorianna Kit,Zorianna Kit,false,false,false
Lana Kinnear,Stan's Girl,false,false,false
Nicole Lindeblad,Stan's Girl,false,false,false
Masha Lund,Stan's Girl,false,false,false
Gabrielle Tuite,Stan's Girl,false,false,false
Tim Griffin,CAOC Analyst,false,false,false
Joshua Harto,CAOC Analyst,false,false,false
Micah Hauptman,CAOC Analyst,false,false,false
James Bethea,CAOC Analyst,false,false,false
Greg Anthony,Terrorist,false,true,false
Jeffrey Ashkin,Photographer,false,true,false
Dr. Mark W. Berry,News Reporter,false,true,false
Russell Bobbitt,Georgio,true,true,false
Jon Braver,Afghani Fighter,false,true,false
Vianessa Castaños,Fireman's Wife,false,true,false
Mike Cochrane,Gulmira Villager,false,true,false
Crystal Marie Denha,Dubai Beauty,false,true,false
Yonel Dorelis,Himself - USAF Helicopter Pilot,false,true,false
Mellany Gandara,Dubai Girl,false,true,false
Glenn Goldstein,Afghani Insurgent,false,true,false
Halla,House wife at Award Ceremony,false,true,false
Rodrick Hersh,Insurgent,false,true,false
Kristin J. Hooper,Reporter,false,true,false
Samuel L. Jackson,Nick Fury,true,true,false
Chris Jalandoni,Dubai Waiter,false,true,false
Stephen Janousek,Party Guest,false,true,false
Theo Kypri,Insurgent,false,true,false
Laura Liguori,Dancer in Ballroom,false,true,false
Flavia Manes Rossi,Reporter,false,true,false
Anthony Martins,Village Dad,false,true,false
Allison McAtee,Dubai Beauty,false,true,false
Robert McMurrer,Reporter,false,true,false
James M. Myers,Airforce Officer,false,true,false
Nick W. Nicholson,Reporter,false,true,false
America Olivo,Dubai Beauty #1,false,true,false
Sylvette Ortiz,Staff Sergeant,false,true,false
Brett Padelford,Journalist,false,true,false
Ajani Perkins,Voice,false,true,false
Elijah Samuel Quesada,Waiter / Reporter,false,false,false
Chris Reid,Reporter,false,true,false
Toi Rose,News Cameraman,false,true,false
Arne Starr,Dubai Tychoon in hat / Bus Passenger,false,false,false
George F. Watson,Rooftop Fireman,false,true,false
David Zyler,Whiplash One,true,true,true
