actor,character,named,uncredited,voice
Robert Downey Jr.,Tony Stark,true,false,false
Gwyneth Paltrow,Pepper Potts,true,false,false
Don Cheadle,Lt. Col. James 'Rhodey' Rhodes,true,false,false
Scarlett Johansson,Natalie Rushman / Natasha Romanoff,true,false,false
Sam Rockwell,Justin Hammer,true,false,false
Mickey Rourke,Ivan Vanko,true,false,false
Samuel L. Jackson,Nick Fury,true,false,false
Clark Gregg,Agent Coulson,true,false,false
John Slattery,Howard Stark,true,false,false
Garry Shandling,Senator Stern,true,false,false
Paul Bettany,JARVIS,true,false,true
Kate Mara,U.S. Marshal,false,false,false
Leslie Bibb,Christine Everhart,true,false,false
Jon Favreau,Happy Hogan,true,false,false
Christiane Amanpour,Christiane Amanpour,true,false,false
Philippe Bergeron,Detective Lemieux,true,false,false
James Bethea,Security Force #1,false,false,false
Michael Bruno,Security Force #2,false,false,false
Kate Clark,Expo Fan,false,false,false
Luminita Docan,Russian Newscaster,false,false,false
François Duhamel,French Photographer,false,false,false
Larry Ellison,Larry Ellison,true,false,false
DJ AM,Adam Goldstein,true,false,false
Tim Guinee,Major Allen,true,false,false
Eric L. Haney,General Meade,true,false,false
Ali Khan,10 Rings Gangster,false,false,false
Evgeniy Lazarev,Anton Vanko,true,false,false
Stan Lee,Stan Lee,false,false,false
Isaiah Guyman Martin IV,AV Operator,false,false,false
Helena Mattsson,Rebecca,true,false,false
Keith Middlebrook,Expo Cop,false,false,false
Anya Monzikova,Rebeka,true,false,false
Margy Stein,Bambi Arbogast,true,false,false
Olivia Munn,Chess Roberts,true,false,false
Elon Musk,Elon Musk,true,false,false
Bill O'Reilly,Bill O'Reilly,true,false,false
Alejandro Patiño,Strawberry Vendor,false,false,false
Davin Ransom,Young Tony Stark,false,false,false
Karim Saleh,Guard,false,false,false
Brian Schaeffer,Hammer Expo Tech,false,false,false
Phillipe Simon,French Waiter,false,false,false
Jack White,Jack,true,false,false
Melanie Brown,Ironette Dancer,false,false,false
Krystal Ellsworth,Ironette Dancer,false,false,false
Victoria Gracie,Ironette Dancer,false,false,false
Gina Cantrell,Ironette Dancer,false,false,false
Renee Herlocker,Ironette Dancer,false,false,false
Jill Ann Pineda-Arnold,Ironette Dancer,false,false,false
Sandy Colton,Ironette Dancer,false,false,false
Annika Ihnat,Ironette Dancer,false,false,false
Jenny Robinson,Ironette Dancer,false,false,false
Lindsay Dennis,Ironette Dancer,false,false,false
Jennifer D. Johnson,Ironette Dancer,false,false,false
Lindsay Rosenberg,Ironette Dancer,false,false,false
Hannah Douglass,Ironette Dancer,false,false,false
Brooke Long,Ironette Dancer,false,false,false
Rachele Brooke Smith,Ironette Dancer,false,false,false
Nadine Ellis,Ironette Dancer,false,false,false
Kylette Zamora,Ironette Dancer,false,false,false
Ted Alderman,News Cameraman,false,true,false
Donessa Alexander,Birthday Party Guest / Expo Guest,false,false,false
Martin Andris,Expo Greeter,false,true,false
Cassity Atkins,Expo Patron,false,true,false
Ayelet',Model,false,true,false
Russell Vance Bailey,Expo Attendee,false,true,false
Gregory Baldi,Monaco Grand Prix Restaurant Guest,false,true,false
Elya Beer,Bartender,false,true,false
Jordan Bobbitt,Little Girl at EXPO Gala,false,true,false
Chris Borden,Dignitary / Expo Attendee,false,false,false
Lauren C. Brooks,Expo Attendee,false,true,false
Pete Brown,Air Force Major,false,true,false
Basilina Butler,Tony Stark Racing Fan,false,true,false
Elizabeth J. Carlisle,Birthday Party Guest,false,true,false
Michael Cash,VIP Expo Guest,false,true,false
John Ceallach,Captain Anders,true,true,false
Katie Cleary,Beautiful Girl,false,true,false
Ajarae Coleman,Expo Guest,false,true,false
Christian Contreras,Expo attendee,false,true,false
Rosa Costanza,Background,false,true,false
Rick L. Dean,Monte Carlo Race Fan,false,true,false
Timothy 'TJ' James Driscoll,French Prison Guard #2,false,true,false
Josh Driver,Expo Guest,false,true,false
Jasmine Dustin,Watermelon Girl,false,true,false
Max Favreau,Expo Kid,false,true,false
Sam Felman,Stark Expo Attendee,false,true,false
Caitlin Gallo,I Love You girl,false,true,false
Shakira Vanise Gamble,Pepper's Party Guest,false,true,false
Paul Grace,French Prison Guard #1,false,true,false
Clare Grant,Expo Fan,false,true,false
James Granville,Expo Fan,false,true,false
Seth Green,Expo Fan,false,true,false
Kathryn Henzler,Expo Attendee,false,true,false
Cary Huff,VIP Expo Guest,false,true,false
Dustin Jacobs,Expo Attendee,false,true,false
Jennifer Lynne Johnson,Expo Attendee,false,true,false
Ralph Kampshoff,USAF Maj. General Saunders,true,true,false
Robert E. Kerr,Racetrack Photographer,false,true,false
Mark Kubr,Prisoner,false,true,false
Kevin Lapsley,Race Car Fan,false,true,false
Cameron Lee,Senate Page,true,true,false
Jee-Yun Lee,Reporter,false,true,false
Waymond Lee,Expo Guest,false,true,false
Mathew Lorenceau,Prison Guard Chevalier,false,true,false
Christopher Maleki,Reporter,false,true,false
Richard Markman,Photographer at Senate hearing,false,true,false
Matt McColm,Guard,false,true,false
Bryan McCoy,Expo Guest,false,true,false
Heather S. Michaels,Reporter,false,true,false
