actor,character,named,uncredited,voice
Samuel L. Jackson,Nick Fury,true,false,false
Zendaya,Michelle Jones,true,false,false
Jake Gyllenhaal,Quentin Beck / Mysterio,true,false,false
Cobie Smulders,Maria Hill,true,false,false
Tom Holland,Peter Parker / Spider-Man,true,false,false
Marisa Tomei,May Parker,true,false,false
Jon Favreau,Happy Hogan,true,false,false
Angourie Rice,Betty,true,false,false
Martin Starr,Mr. Harrington,true,false,false
Jacob Batalon,Ned,true,false,false
Numan Acar,Magnum,true,false,false
Remy Hii,,false,false,false
Tony Revolori,Flash Thompson,true,false,false
J.B. Smoove,,false,false,false
Hemky Madera,Mr. Delmar,true,false,false
Samantha Mishinski,Student,false,false,false
Zach Barack,,false,false,false
Ruth Horrocks,Tourist,false,false,false
Sonia Goswami,Tourist,false,false,false
Michael Iacono,Airport Kid Traveler,false,false,false
Joseph Long,Mob Boss,false,false,false
Joakim Skarli,London Tourist,false,false,false
Eric Patrick Cameron,Midtown High Student,false,false,false
Hiten Patel,British Station Staff,false,false,false
Peter Bankole,Mob Boss,false,false,false
Davina Sitaram,London Tourist,false,false,false
Jeroen van Koningsbrugge,Dutch Hooligan 1,false,false,false
Joe David Walters,Pawn Shop Owner,false,false,false
Annie Pisapia,Traveler,false,false,false
Tyler Luke Cunningham,Student,false,false,false
Ria Fend,Tourist in Venice,false,false,false
Jessica VanOss,Student,false,false,false
Hannah Kurczeski,Student,false,false,false
Michael de Roos,Dutch Hooligan 2,false,false,false
Giada Benedetti,Italian Custom Officer,false,false,false
Peter Dawson,Tourist in Venice,false,false,false
Antonín Masek,Bellboy,false,false,false
Bruno Bilotta,Mob Boss 2,false,false,false
Komal Charania,Student Boom Operator / High School Student,false,false,false
Daphne Cheung,Passport Clerk,false,false,false
Brian Law,Queens Reporter,false,false,false
Tony Mardon,Londoner,false,false,false
Emmanuel Rodriguez,Airport traveler,false,false,false
Leonys Delossantos,Guy staring at spiderman,false,false,false
Gavin Lee Lewis,Londoner,false,false,false
Adrian Mozzi,Venice Local,false,false,false
Timothy Christian Jansen,High School Student,false,false,false
Rocco Wu,Peter's Art Classmate,false,false,false
Jivan Xander Ramesh,Pedestrian,false,false,false
Ray Rosario,TSA Agent,false,false,false
Sean Coleman,Yearbook Student,false,false,false
Charlie Rhea Esquér,Mexican Survivor,false,false,false
Brendan Murphy,Police Officer,false,false,false
Géraldine Lamarre,Traffic Warden,false,false,false
Jimena Larraguivel,Mexican Villager,false,false,false
Yasmin Mwanza,Classmate,false,false,false
Maria Alexandrova,Tourist in Venice,false,false,false
Camille Kinloch,Midtown High School Student,false,false,false
Sofia Renee,High School Student,false,false,false
Angela Koo,Mob Boss,false,false,false
Sokol Cahani,Mob Boss,false,false,false
Ken Byrd,Post Office Customer,false,false,false
Patrick Holly,Party Goer,false,false,false
Daniel Rennis,Cab Driver,false,false,false
Andrew Dunkelberger,Courier,false,false,false
Al Clark,Cowboy Plane Passenger,false,false,false
Gaylene Butler,Dinner Guest,false,false,false
Mike Ray,Passerby,false,false,false
Anna Benamati,Shop Owner in Venice,false,false,false
Sam Chuck,High School Student,false,false,false
Daniel Ryves,Dad Collecting Kids,false,false,false
Michael Hennessy,Hotel Guest,false,false,false
Ferroz Fernandez,Tourist in Venice,false,false,false
Shafali Rani Chung,London Tourist,false,false,false
Paolo Braghetto,Poliziotto,true,false,false
Dante Brattelli,High School Student,false,false,false
Nicholle Hembra,Saved Londoner,false,false,false
Daham Kandanarrachchi,London Passerby,false,false,false
Jamie Melville,London Worker,false,false,false
Thomas Goodridge,Tourist in Venice,false,false,false
Chris Hyacinthe,Sneezy Tour Guide,false,false,false
Keon Kendrick,Flight Attendant,false,false,false
Luigi Petrazzuolo,Gondolier,false,false,false
Patrick Turner,London Crowd Member,false,false,false
Aleksandrs Petukhovs,London Passerby,false,false,false
Luigi Boccanfuso,Italian builder in Venice,false,false,false
Buddhi Madushan,Tourist,false,false,false
Victoria Coburn,Passerby,false,false,false
Dale Wilder,German Office Worker,false,false,false
Xiao Xue Xu Lin,Passerby,false,false,false
Michal Snajdr,Czech Tourist,false,false,false
Lesdy Vanessa,Tourist,false,false,false
Avondre E.D. Beverley,High school student,false,true,false
Jake Cerny,Airport Traveler,false,true,false
Kristianne-Kaith Domingo,Passerby,false,true,false
Cynthia Garbutt,Charity Dinner Guest,false,true,false
Kath Leroy,Czech Traditional Dancer,false,true,false
Faith Logan,High School Student,false,true,false
Julia Mollin,Flute Player,false,true,false
Amanda Musso,Carnival Hot Girl,false,true,false
Emily Ng,Italian Tourist,false,true,false
Paul Slim,Tourist,false,true,false
