actor,character,named,uncredited,voice
Tom Holland,Peter Parker / Spider-Man,true,false,false
Michael Keaton,Adrian Toomes / Vulture,true,false,false
Robert Downey Jr.,Tony Stark / Iron Man,true,false,false
Marisa Tomei,May Parker,true,false,false
Jon Favreau,Happy Hogan,true,false,false
Gwyneth Paltrow,Pepper Potts,true,false,false
Zendaya,Michelle,false,false,false
Donald Glover,Aaron Davis,true,false,false
Jacob Batalon,Ned,true,false,false
Laura Harrier,Liz,true,false,false
Tony Revolori,Flash,true,false,false
Bokeem Woodbine,Herman Schultz / Shocker #2,true,false,false
Tyne Daly,Anne Marie Hoag,true,false,false
Abraham Attah,Abe,true,false,false
Hannibal Buress,Coach Wilson,true,false,false
Kenneth Choi,Principal Morita,true,false,false
Selenis Leyva,Ms. Warren,true,false,false
Angourie Rice,Betty,true,false,false
Martin Starr,Mr. Harrington,true,false,false
Garcelle Beauvais,Doris Toomes,true,false,false
Michael Chernus,Phineas Mason / The Tinkerer,true,false,false
Michael Mando,Mac Gargan,true,false,false
Logan Marshall-Green,Jackson Brice / Shocker #1,true,false,false
Jennifer Connelly,Karen / Suit Lady,true,false,false
Gary Weeks,Agent Foster,true,false,false
Christopher Berry,Randy,true,false,false
Jorge Lendeborg Jr.,Jason,true,false,false
Tunde Adebimpe,Mr. Cobbwell,true,false,false
Tiffany Espensen,Cindy,true,false,false
Isabella Amara,Sally,true,false,false
Michael Barbieri,Charles,true,false,false
Josie Totah,Seymour,true,false,false
Hemky Madera,Mr. Delmar,true,false,false
Zach Cherry,Street Vendor,false,false,false
Kirk R. Thatcher,Punk on Street,false,false,false
Yu Lew,Car Jacker,false,false,false
Sondra James,Yelling Woman,false,false,false
Bob Adrian,Yelling Man,false,false,false
Gary Richardson,Day Sleeper,false,false,false
Stan Lee,Gary,true,false,false
Joe Hang,Thai Waiter,false,false,false
Wayne Pére,History Teacher,false,false,false
Chris Evans,Steve Rogers / Captain America,true,false,false
Alexa Laraki,Tent Kid,false,false,false
Liza Fagin,Tent Kid,false,false,false
Kerry Condon,Friday,true,false,true
John Penick,Mr. Hapgood,true,false,false
Ethan Dizon,Tiny,false,false,false
Amy Hill,Decathlon Moderator,false,false,false
Miles Mussenden,Park Ranger,false,false,false
Martha Kelly,Tour Guide,false,false,false
Kevin LaRosa Jr.,Helicopter Pilot,false,false,false
Ren Colley,Ferry Kid,false,false,false
Jennifer Kim,Ferry Mom,false,false,false
Ari Groover,Ferry Commuter,false,false,false
Louis Gonzalez,Ferry Commuter,false,false,false
Stewart Steinberg,Ferry Commuter,false,false,false
Andy Powers,Ferry Commuter,false,false,false
Omar Capra,Yeah Spider-Man Guy,false,false,false
Nitin Nohria,Dean Crimson,true,false,false
Vince Foster,Stark Tower Technician,false,false,false
Brian Schaeffer,Stark Tower Employee,false,false,false
Chris Adams,NYC Pedestrian,false,true,false
Mary Liz Adams,Friend of Liz,false,true,false
John Jacob Anderson,German Tourist,false,true,false
Myles Anderson,High School Student,false,true,false
Nicholas Azarian,High School Student,false,true,false
Cassidy Balkcom,Party Girl,false,true,false
Sydney Shea Barker,NYC Commuter,false,true,false
Romar Bennett,Bank Customer,false,true,false
Jb Blaine,Unhappy Teen,false,true,false
Tristian Blair,Decathlon Student,false,true,false
Maiya Boyd,Indian Flower Girl,false,true,false
Dante Brattelli,Homecoming Dance Student,false,true,false
Michael Breath,Drama Club Student,false,true,false
Lauren Brumbelow,Girl on Elevator,false,true,false
Randy Burnett,Firefighter,false,true,false
Hayden Burrell,Little Boy,false,true,false
