actor,character,named,uncredited,voice
Chris Hemsworth,Thor,true,false,false
Natalie Portman,Jane Foster,true,false,false
Tom Hiddleston,Loki,true,false,false
Anthony Hopkins,Odin,true,false,false
Stellan Skarsgård,Erik Selvig,true,false,false
Kat Dennings,Darcy Lewis,true,false,false
Clark Gregg,Agent Coulson,true,false,false
Colm Feore,King Laufey,true,false,false
Idris Elba,Heimdall,true,false,false
Ray Stevenson,Volstagg,true,false,false
Tadanobu Asano,Hogun,true,false,false
Josh Dallas,Fandral,true,false,false
Jaimie Alexander,Sif,true,false,false
Rene Russo,Frigga,true,false,false
Adriana Barraza,Isabela Alvarez,true,false,false
Maximiliano Hernández,Agent Sitwell,true,false,false
Richard Cetrone,Frost Giant Captain,false,false,false
Darren Kendrick,Frost Giant Sentry,false,false,false
Josh Coxx,Frost Giant Hailstrum,false,false,false
Justice Smith,Frost Giant Brute,false,false,false
Joseph Gatt,Frost Giant Grundroth,true,false,false
Luke Massy,Frost Giant Raze,false,false,false
Matt Ducey,Einherjar Guard,false,false,false
Jason Camp,Einherjar Guard,false,false,false
Buddy Sosthand,Agent Delancey,true,false,false
Blake Silver,Techie,false,false,false
Jamie McShane,Agent Jackson,true,false,false
Dale Godboldo,Agent Garrett,true,false,false
Patrick O'Brien Demsey,Agent Cale,true,false,false
Jim Palmer,SHIELD Guard,false,false,false
Seth Coltan,Townie,false,false,false
J. Michael Straczynski,Townie,false,false,false
Ryan Schaefer,Townie,false,false,false
Matt Battaglia,Pete,true,false,false
Stan Lee,Stan the Man,true,false,false
Joel McCrary,Drunk Townie,false,false,false
Isaac Kappy,Pet Store Clerk,false,false,false
Juliet Lopez,Admission Nurse,false,false,false
Rob Mars,Orderly,false,false,false
Carrie Lazar,Viking Mother,false,false,false
Harley Graham,Viking Child,false,false,false
Alexander Wright,Viking Elder,false,false,false
Hilary Pingle,Viking,false,false,false
Shawn-Caulin Young,Viking,false,false,false
Kinsey McLean,Viking,false,false,false
Kelly Hawthorne,Viking,false,false,false
Dakota Goyo,Young Thor,true,false,false
Ted Allpress,Young Loki,true,false,false
Martin Edward Andazola,Townie / Arturo the Grocer,false,false,false
Chris Antonini,Man in Bar,false,true,false
David Bantly,SHIELD Scientist,false,true,false
Vanessa Bednar,Viking Villager,false,true,false
Todd Bethke,Postman,false,true,false
Troy Brenna,Frost Giant,false,true,false
Adam Critchlow,Einherjar Guard,false,true,false
Michelle Csitos,Viking Village Wife,false,true,false
Elizabeth Dean,Asgardian Demigoddess,false,true,false
Rick L. Dean,Asgardian,false,true,false
Pat Duke,Frost Giant Sentry,false,true,true
Jeremy Dunn,Frost Giant,false,true,false
Kimberly Evan,Lady in Waiting to the Queen,false,true,false
Derek Graf,Frost Giant,false,true,false
Brice Harris,Utility Frost Giant,false,true,false
Eric Holloway,Townie,false,true,false
Samuel L. Jackson,Nick Fury,true,true,false
Jasyn Jefferies,Einherjar Guard,false,true,false
Courtney Jones,Asgardian Goddess,false,true,false
Corey Jovan,Asgardian Guard,false,true,false
James Kimball,Einherjar Guard,false,true,false
Julio Leal,Asguard Knight,false,true,false
Raven Lewis,Soldier,false,true,false
Jonaral Martin,Asgardian,false,true,false
Keith Middlebrook,Agent McGuire,true,true,false
Nabil Nona,Roman God,false,true,false
Stephen Oyoung,Einherjar Guard,false,true,false
Martin Palmer,Towns Person,false,true,false
Terry Dale Parks,Nurse,false,true,false
Taylor Reed,Guard of Asland,false,true,false
Jeremy Renner,Clint Barton,true,true,false
Anthony J Sacco,Townie,false,true,false
Tanissa Potrovitza Schoen,Extra in Diner,false,true,false
Shaun V. Scott,Agent Scott Kelly,true,true,false
Walter Simonson,Asgardian,false,true,false
Jimmy Star,Asgardian Guard,false,true,false
Michael E. Stogner,Driver / Pedestrian,false,false,false
Douglas Tait,Frost Giant,false,true,false
Deena Trudy,Guardian Angel,false,true,false
Matthew Trujillo,Bar Back,false,true,false
Clay von Carlowitz,Asgardian Guard,false,true,false
Travis Willingham,Frost Giants,false,true,false
