Character,Frequency
Thanos,89
Iron Man,38
Outrider Mooks,38
Proxima Midnight,30
Cull Obsidian,29
Corvus Glaive,28
Doctor Strange,23
Ebony Maw,21
Spider-Man,20
Hulk,18
Thor,15
Star-Lord,15
Captain America,15
Vision,13
Falcon,12
Black Widow,12
Scarlet Witch,12
Drax,11
Nebula,9
Gamora,7
Black Panther,7
Wong,6
War Machine,5
Cloak of Levitation,5
Mantis,5
Okoye,5
The Winter Soldier,4
Dora Milaje Mooks,4
Dora Milaje Mook,4
Eitri,4
Groot,3
Rocket,3
Outrider Tanks,3
Loki,2
Heimdall,2
The Collector,2
Jabari Mooks,2
Shuri,1
Thanos ships,1
Thaddeus Ross,1
Outrider Aircraft,1
Wakandan Shields,1
Outrider Mook,1
Chitauri Mook,1
Chitauri,1
Gamora's people,1
M'Baku,1
Red Skull,1
