Title,TypeOfMovie,RunThrough,NoOfConflicts,Shannon,CI_m,CI_p
Iron Man,origin story,1,36,5.006385114,4.035550199,6.210774409
Iron Man,origin story,2,81,6.830409808,5.715671929,8.162557041
The Incredible Hulk,origin story,2,92,5.793891817,4.953859812,6.776369066
Iron Man 2,sequel 1,2,112,7.843771972,6.983899153,8.809514198
Thor,origin story,2,95,13.56047038,11.6799902,15.74370815
Captain America: The First Avenger,origin story,2,99,9.956869036,8.575082041,11.56131691
The Avengers,team up,1,92,14.22952334,12.63935523,16.01975186
The Avengers,team up,2,237,14.50924822,13.36444077,15.75212068
Iron Man 3,sequel 2,2,121,13.23429321,11.55322273,15.15997059
Thor: The Dark World,sequel 1,2,106,14.42982749,12.81649338,16.24624732
Captain America: The Winter Soldier,sequel 1,2,149,13.20873664,11.93311601,14.62071797
Guardians of the Galaxy,team up,2,157,15.65451096,14.17682357,17.28622156
Avengers: Age of Ultron,team up,1,180,13.34631939,12.26831679,14.5190448
Avengers: Age of Ultron,team up,2,302,15.14490589,14.03525216,16.34229097
Ant-Man,origin story,2,82,8.620876968,7.213532237,10.30279165
Captain America: Civil War,team up,2,263,16.46273957,15.34334027,17.66380654
Doctor Strange,origin story,2,112,6.932525509,6.139135848,7.828448681
Spider-Man: Homecoming,origin story,2,58,6.999342434,5.603359503,8.743111071
Guardians of the Galaxy Vol. 2,team up,2,127,13.72556085,12.63337773,14.91216559
Thor: Ragnarok,sequel 2,2,197,14.82576707,13.23154783,16.61206777
Black Panther,origin story,2,117,11.77331012,10.38835191,13.34290871
Avengers: Infinity War,team up squared,2,278,26.68473057,24.48686448,29.0798704
Ant-Man and the Wasp,sequel 1,2,110,11.15170772,9.821358091,12.66225954
Captain Marvel,origin story,2,165,11.59398795,10.16932531,13.21823745
