Character,Frequency
Iron Man,179
Captain America,136
Hulk,83
Ultron,81
Black Widow,81
Hawkeye,71
Thor,56
Vision,43
Scarlet Witch,37
Nick Fury,26
Maria Hill,25
Quicksilver,24
War Machine,20
Dr. Helen Cho,18
Laura Barton,16
Friday,13
Strucker,12
Ulysses Klaue,7
Selvig,5
ironlegion,5
Dr. List,5
Madame B,4
fortresssoldier,4
Heimdall,4
Falcon,4
Peggy Carter,3
klauesmercenary,2
Lila Barton,2
# this one is weird:  Stan Lee,2
balletinstructor,1
worldhubtech,1
partyguest,1
soldiers,1
announcer,1
Thanos,1
Zrinka,1
