Character,Frequency
Iron Man,127
Star-Lord,85
Thor,76
Thanos,76
Doctor Strange,57
Gamora,52
Hulk,51
Rocket,48
Spider-Man,46
Scarlet Witch,32
Vision,31
Drax,28
Captain America,25
Pepper Potts,22
Ebony Maw,19
Black Panther,18
War Machine,17
Mantis,17
Eitri,16
Black Widow,15
Okoye,11
Wong,10
Red Skull,10
Falcon,9
The Winter Soldier,8
Thaddeus Ross,8
Nebula,8
Nick Fury,8
Proxima Midnight,8
Loki,7
Groot,7
Maria Hill,6
Shuri,6
The Collector,5
Friday,5
Corvus Glaive,3
M'Baku,3
Cull Obsidian,2
Heimdall,1
Ned,1
gamorasmother,1
jabari,1
domecontrol,1
asgardianpa,1
jabariwarriors,1
childofthanos,1
