Character,Frequency
Black Panther,144
Killmonger,68
Nakia,63
Okoye,60
Thaddeus Ross,59
Shuri,59
Ulysses Klaue,44
Zuri,32
N'Jobu,27
M'Baku,24
T'Chaka,21
W'Kabi,21
Ramonda,20
Griot,8
oaklandkid,7
museumdirector,7
shaman,4
wakandan,4
rivertribeelder,4
downhill,3
miningtribeelder,3
youngblackkid,3
militantleader,3
doramilaje,3
oakland,3
ayo,2
dragonflyer,2
southafricantough,2
The Winter Soldier,2
securityguard,2
merchant,2
Linda,2
Limbani,2
crowd,2
tribeelder,2
bordertribeelder,2
elderlywoman,2
kid,2
