Character,Frequency
Iron Man,184
Captain America,164
Spider-Man,73
Black Widow,68
Falcon,65
The Winter Soldier,45
Zemo,41
Scarlet Witch,35
Vision,32
Agent 13,29
Black Panther,28
Hawkeye,27
War Machine,25
Thaddeus Ross,23
Ant-Man,22
Friday,16
Crossbones,12
Vasily Karpov,11
May Parker,10
newsanchor,8
Howard Stark,7
T'Chaka,7
germaninnkeeper,6
mrsspencer,6
Everett Ross,6
Maria Stark,6
mercenary,4
gsgsoldier,3
mitteacher,3
custodian,2
manonpa,2
zemoswife,2
unstaffer,2
securitychief,1
gsgdriver,1
starksassistant,1
attache,1
fedexdriver,1
manonspeakers,1
priest,1
guard,1
