Character,Frequency
Captain America,189
Peggy Carter,77
The Winter Soldier,45
Red Skull,42
Dr. Abraham Erskine,41
Dr. Arnim Zola,31
Howard Stark,24
Senator Brandt,11
Dum Dum Dugan,10
Gabe Jones,8
Jim Morita,8
towerkeeper,7
fdoctor,7
usosinger,6
shieldlieutenant,6
armyheckler,5
Nick Fury,5
shieldagent,5
Pvt. Lorraine,5
searchteamleader,5
brandtsaide,5
Schneider,4
Roeder,4
Gilmore Hodge,4
commercialannouncer,3
Sergeant Duffy,3
loudjerk,3
Heinz Kruger,3
Hutter,3
shieldtech,3
mother,3
Connie,3
youngboy,3
officer,2
youngdoctor,2
Jan,2
man,2
dodgersannouncer,2
hydralieutenant,2
starksengineer,2
hydratechnicians,1
corporal,1
usogirl,1
antiquestoreowner,1
jaquesdernier,1
randomwoman,1
mandy,1
manontheradio,1
kidsinusoaudience,1
director,1
enlistmentguy,1
hydraguards,1
expoannouncer,1
general,1
soldiers,1
hydrasoldier,1
barkeeper,1
ssrdoctor,1
voicefromearpiece,1
woman,1
facilitymanager,1
taxidriver,1
jacquesdernier,1
guard,1
