Character,Frequency
Captain America,232
Black Widow,116
Nick Fury,74
Falcon,70
Alexander Pierce,56
Crossbones,36
Maria Hill,23
Sitwell,22
Georges Batroc,15
Nick Fury's Car,14
Dr. Arnim Zola,13
The Winter Soldier,13
shieldcomputer,13
Agent 13,12
doctor,9
shieldagent,9
Rockwell,9
Peggy Carter,8
comtech,7
strikeagent,6
charlieweaponstech,5
Senator Stern,5
malenurse,4
councilmansingh,4
Charlie XO,4
appleemployee,4
femalewarveteran,3
Renata,3
shieldtech,3
committeegeneral,3
womanonpa,2
hydradispatch,2
councilwomanhawley,2
femalenurse,2
scudder,2
Councilman Yen,2
manonpa,2
scientist,2
Thor,1
smithsonianguard,1
quinjetpilot,1
bailiff,1
Jack Rollins,1
Sergeant Duffy,1
councilmanhawley,1
pilot,1
computer,1
shieldpilot,1
durand,1
