Character,Frequency
Captain Marvel,213
Nick Fury,111
Yon-Rogg,82
Talos,64
Mar-Vell,35
Maria Rambeau,35
Monica Rambeau,22
director,14
Minn-Erva,11
Korath,10
Bron-Char,8
Supreme Intelligence,8
skrullscientist,8
Coulson,6
Ronan,5
tom,5
Att-Lass,4
locals,4
medicalexaminer,4
kree,3
Agent 13,3
securitycheckpoint,3
biker,2
bartender,2
scanner,2
securityofficer,2
Soren,2
skrulltech,2
skrull,2
security,2
pilot,1
computer,1
carolsbrother,1
Goose,1
cadets,1
drillinstructor,1
carolsfather,1
Soh-Larr,1
boy,1
